Reviews for Fastrack,Age,Gender,Location,        Occupation,Month,Year,Quarter
It's amazing,45-54,M," Amtala, West Bengal",Working Professional,May,2024,Q2
Nice product. Like this,18-24,M," Karad, Maharashtra",Freelancer,January,2021,Q1
Good product,55 and above,M," Gurugram, Haryana",Retired,January,2024,Q1
Value for money with great battery Life,Under 18,M," Bhubaneswar, Odisha",Student,December,2022,Q4
Good,25-34,M," Lucknow, Uttar Pradesh",Working Professional,August,2023,Q3
Go for it,35-44,M," Gautam Buddh Nagar, Uttar Pradesh",Working Professional,November,2022,Q4
Gifted to my wife. She is happy with the watch quality.,35-44,M," Dakshin Rajyadharpur, West Bengal",Working Professional,March,2020,Q1
Nice product,45-54,M," Bhubaneswar, Odisha",Working Professional,February,2024,Q1
Product quality is good....but fitness of wrist is not good and also heavy weight,55 and above,M," Pavali, Tamil Nadu",Retired,November,2022,Q4
"Very good product 👍, price thoda high h bt it's ok",Under 18,F," Bhubaneswar, Odisha",Student,January,2022,Q1
Best quality,55 and above,M," Palghar District, Maharashtra",Retired,September,2024,Q3
Loved it 😊 You can go for it without any doubt.Thank you Fastrack.😌😊,35-44,F," Gautam Buddha Nagar, Uttar Pradesh",Homemaker,May,2020,Q2
Very heavy ...strap is very thick..,Under 18,F," Sircilla, Telangana",Student,January,2020,Q1
Good pr,35-44,M," Siddharthnagar District, Uttar Pradesh",Freelancer,November,2023,Q4
Super 👍,55 and above,M," Wankaner, Gujarat",Retired,February,2020,Q1
Very very nice 👍 product,45-54,M," Jodhpur, Rajasthan ",Freelancer,July,2024,Q3
Great,45-54,F," Rajpur Bazar, West Bengal",Homemaker,April,2020,Q2
Super,55 and above,F," Mysuru, Karnataka",Homemaker,July,2021,Q3
Very good product,35-44,M," Kolkata, West Bengal",Freelancer,March,2022,Q1
Look and specifications 🔥🔥🔥,55 and above,F," Hassan, Karnataka",Homemaker,October,2024,Q4
Not bad,45-54,F," Chennai, Tamil Nadu",Homemaker,January,2021,Q1
Very good product 💯,45-54,F," Rishikesh, Uttarakhand",Homemaker,January,2020,Q1
Super,45-54,F," Tuni, Andhra Pradesh",Homemaker,January,2023,Q1
Battery backup in 10days... Nice,55 and above,F," Nandivaram Guduvancheri, Tamil Nadu",Homemaker,June,2020,Q2
"Received the product today (gunmetal). The product looks amazing in this price tag. Have been using it since morning. The functionalities are smooth.
I personally felt, the gunmetal colour is a bit darker than what I imagined.",18-24,M," Medinipur, West Bengal",Freelancer,July,2022,Q3
So nice pr,35-44,M," New Town, West Bengal",Freelancer,May,2021,Q2
Overall good product.,45-54,M," Bokaro Steel City, Jharkhand",Working Professional,July,2020,Q3
Very good,35-44,M," Kodagu District, Karnataka",Working Professional,July,2021,Q3
So beautiful ❤️❤️,Under 18,M," Umarkote, Odisha",Student,August,2020,Q3
Look Super... Value For Money...Best !!!,35-44,M," Coimbatore, Tamil Nadu",Working Professional,March,2024,Q1
Excellent watch,25-34,M," Mandla, Madhya Pradesh",Freelancer,July,2020,Q3
Good product,35-44,M," Nashik, Maharashtra",Freelancer,August,2022,Q3
Very good. Good battery backup,25-34,M," Purba Bardhaman, West Bengal ",Freelancer,March,2020,Q1
battery backup low,45-54,M," Alwar, Rajasthan",Freelancer,November,2024,Q4
Sound quality very slow,Under 18,M," Kushinagar, Uttar Pradesh",Student,October,2024,Q4
Best quality,25-34,F," Rangpo, Sikkim",Homemaker,November,2024,Q4
I loved the display and build quality it provides at this price rang,18-24,M," Thane, Maharashtra",Working Professional,June,2020,Q2
Watch doesn't work,45-54,F," Gorakhpur, Uttar Pradesh",Homemaker,February,2022,Q1
Osm product,55 and above,M," Udham Singh Nagar District, Uttarakhand",Retired,July,2020,Q3
Value for money,25-34,F," Chennai, Tamil Nadu",Homemaker,November,2023,Q4
Very nice,Under 18,F," Cuttack, Odisha",Student,May,2020,Q2
Nice product,25-34,F," Saharsa, Bihar",Homemaker,April,2021,Q2
Nice product,45-54,F," Ganjam, Odisha ",Homemaker,June,2021,Q2
Overall ok product,Under 18,F," Prakasam, Andhra Pradesh ",Student,January,2022,Q1
It's nyc smart watch,45-54,M," Bhind, Madhya Pradesh",Freelancer,October,2020,Q4
First time use Fastrack watch I feel very good value of money really good product,45-54,M," Bagnan, West Bengal",Freelancer,November,2020,Q4
"Satisfied with overall performance, design, style and purchase. ✨",55 and above,M," Dindigul, Tamil Nadu",Retired,September,2024,Q3
Nice pro,18-24,F," Prayagraj, Uttar Pradesh",Working Professional,November,2022,Q4
The hear rate and other sensors are very weak and Taking long time and if you measure 20 time the reading may come 1 time and the wallpapers are very limited and basic compared to other brands .... remember this is made in china product ...may be branded as Fastrack but this model is not available in their showroom,35-44,F," Bengaluru, Karnataka",Homemaker,December,2023,Q4
Wonderful watch,Under 18,F," Medinipur, West Bengal",Student,November,2022,Q4
Excellent,25-34,M," Bhubaneswar, Odisha",Working Professional,March,2022,Q1
Sound quality is very poor,35-44,M," Lonavala, Maharashtra",Freelancer,July,2020,Q3
awe,18-24,M," Vaishali District, Bihar",Working Professional,July,2021,Q3
Nic,Under 18,F," Shimla, Himachal Pradesh",Student,August,2023,Q3
Excellent,18-24,M," Nizamabad, Telangana",Freelancer,February,2023,Q1
Good,18-24,F," Kunnathur, Tamil Nadu",Working Professional,April,2024,Q2
Super 👌👌👌👌,35-44,M," Kodinar, Gujarat",Working Professional,August,2020,Q3
You can buy,45-54,M," Murshidabad, West Bengal ",Working Professional,February,2020,Q1
good,35-44,M," Mumbai, Maharashtra",Freelancer,September,2023,Q3
Good product and good service by Flipkart,55 and above,M," Sardhana, Uttar Pradesh",Retired,November,2023,Q4
Mast quality.. and mast product Super duper 👍🏻👍🏻👍🏻,45-54,M," Bhubaneswar, Odisha",Working Professional,January,2022,Q1
It's amazing.... just go for it...👍,45-54,F," Bokaro District, Jharkhand",Homemaker,November,2024,Q4
Very good product,45-54,M," New Delhi, Delhi",Working Professional,February,2024,Q1
Good,18-24,M," Vishakhapatnam, Andhra Pradesh",Freelancer,March,2021,Q1
Good smart watch this like it.thankyou filpkart 🥰,18-24,M," Kollam, Kerala ",Working Professional,July,2020,Q3
"Nice product good quality
Thank you fastrack",55 and above,M," Kushalgarh, Rajasthan",Retired,July,2023,Q3
It's totally awesome😍😍,55 and above,M," Dharmanagar, Tripura",Retired,June,2023,Q2
Nice,25-34,M," Hugli District, West Bengal",Working Professional,February,2021,Q1
Excellent Product.,45-54,M," Nadia, West Bengal ",Working Professional,February,2024,Q1
Value for money,55 and above,M," Kolkata, West Bengal",Retired,May,2020,Q2
Average,55 and above,F," Kota, Rajasthan",Homemaker,March,2024,Q1
Fantastic,45-54,M," New Delhi, Delhi",Working Professional,March,2024,Q1
Excellent product 👍👍,45-54,M," Satghara, West Bengal",Freelancer,May,2024,Q2
Excellent,Under 18,M," Sonitpur District, Assam",Student,October,2022,Q4
"Very nice quality and good product
Amazing product battery quality is too good and display also so cool I am soo happy to this product ❤️",35-44,M," Maihar, Madhya Pradesh",Freelancer,September,2023,Q3
Loved it😍,35-44,F," Harindanga, West Bengal",Homemaker,November,2023,Q4
Good product... just go for it...,55 and above,M," Kasaragod, Kerala ",Retired,May,2020,Q2
"A really good smart watch from Fastrack.
Great build quality, looks very premium.
Very sharp and big display with seamless touch.
All the features work really well except for step count which isn't very accurate, it seem to count steps even when you are not walking and just moving your hand while seated but none of the watches in the market do a good job for step count anyway.

For me it's a 5/5.

Might seem over priced for some but the quality you get in return justifes it's price.
If you as...
READ MORE",45-54,M,"  Pune, Maharashtra",Working Professional,December,2022,Q4
Everything is fine but it can not accurately measure steps.Heart rate and sleep measurements are quite accurate.,35-44,M," Kolkata, West Bengal",Working Professional,May,2022,Q2
Superb design and quality,18-24,F," Nasirabad, Rajasthan",Working Professional,December,2021,Q4
Awesome product,25-34,F," Siliguri, West Bengal",Homemaker,July,2022,Q3
"Battery lasts for more than week if always on display is kept off
Amoled display is just awesome....each wallpaper looks stunning
Curved display is excellent
Watch counts few extra steps with arm movement even if u r at rest
Includes all the features helpful in day to day life...
Especially Students can connect phone with watch and can keep phone aside and get imp notification on watch ...thus preventing phone addiction
Overall value for money 🔥🔥",25-34,M," Nagpur, Maharashtra",Freelancer,January,2024,Q1
Awesome strap also good light weight cured display good watch thanks to Flipkart,18-24,F," Thane, Maharashtra ",Working Professional,November,2021,Q4
"I received this watch on 29th Apr'23. I have ordered Teal coloured watch (Just for a change than usual colours). Trust me it looks fabulous and suitable for both Men and Women. This is my initial impression after using it for couple of hours only.
Initial impression:
1) Bigger and Bright Amoled Display
2) Light weight (Bcoz of polycarbonate body)
3) 10/10 for Fitness tracking n accuracy
4) Always on display
5) Fast charging option
6) Speaker n Mic quality is Good
7) Battery backup seems to be...
READ MORE",25-34,M," Cuttack, Odisha",Freelancer,August,2024,Q3
Awesome 👍,25-34,M," Patna, Bihar",Freelancer,July,2023,Q3
"Looking 👍
In hand feel 👍
Sound quantity 👍
Display 👍
Starp quality 👍
Overall nice in this price range",Under 18,M," Patna, Bihar",Student,August,2021,Q3
"Overall good and value of money. U can buy without any hesitation.
If you see my feedback plz like my feedback 🙂",35-44,M," Dakshin Dinajpur District, West Bengal",Working Professional,January,2024,Q1
Just amazing 😍,35-44,F," Durllabhganj, West Bengal",Homemaker,July,2020,Q3
"This watch has a premium look and also Flipkart is giving no cost emi, so just grab it and feel it.one of the best product in Flipkart.",18-24,M," Kolkata, West Bengal",Freelancer,June,2020,Q2
Value for money 😍,18-24,M," Firozpur, Punjab ",Freelancer,March,2024,Q1
This is best for the as This is the best watch for iOS as it has numerous number of faces via the Fastrack Reflex World app on paired Android or iOS smartphones. The Fastrack Limitless Revolte FS1 Bluetooth 5.3 connectivity and packs inbuilt speakers and microphones. It good purchase at a good price,35-44,M," Gwalior, Madhya Pradesh",Working Professional,February,2023,Q1
This is good product,35-44,M," Darbhanga, Bihar",Working Professional,November,2021,Q4
"Display is way better then expected,very simple user interface.Build is okay but was expecting better design being a fastrack brand.Haven't tested its performance as well as battery life.
Will ride a review again after a month or so.Overall nice product.",Under 18,M," Kolasib, Mizoram",Student,April,2022,Q2
I love this 🥰,35-44,M," Araria, Bihar",Freelancer,June,2020,Q2
Always on display mode enable was difficult. Touch screen is not working properly while trying to toggle on AOD feature. Overall touch quality is average compared to other brands,35-44,M," Bengaluru, Karnataka",Freelancer,September,2022,Q3
"After using 7 days... Bettery performance is almost perfect and all are features nice 👍 Thanks Fastrack and Flipkart😍🤗🇮🇳
#I leave in Odisha, Odisha people big heart ❤️",35-44,M," Badamba, Odisha",Working Professional,October,2020,Q4
"Battery life is too good . And look is also very good.. love this
But price is little high for this product .
It's price should be under 2999. But ok
For this fastrack logo its price is little high.

Overall very nice product",55 and above,M," Kanchrapara, West Bengal",Retired,July,2020,Q3
"Hey, guys want to share you something good regarding this world-class watch it has an amazing High-quality Display with Boasting up to a 4.978 cm (1.96) Super AMOLED arched display, the Fastrack Revoltt FS1 Pro Smartwatch provides a clear and vibrant visual, allowing us to easily view its features and functionalities. I really like the design and finish of the watch. it is worth buying at this price, and you would not regret it believe me.",25-34,F," Gwalior, Madhya Pradesh",Homemaker,May,2024,Q2
Worth of money,55 and above,M," Sivaganga, Tamil Nadu",Retired,October,2022,Q4
"I am very impressed with its performance. The sound quality is excellent, the battery life is long-lasting, the design is sleek and comfortable, and the touch controls are easy to use. The app also allows me to customize the equalizer settings and access other features. I would recommend it to anyone looking for a premium audio experience. Other Watch Functions are In-Built Alarm, Stopwatch, Timer, Auto Stress Monitor, 24*7 HRM, SpO2, Sleep Tracker, Women's Health, Activity Tracker, 110+ Mult...
READ MORE",45-54,F," Gwalior, Madhya Pradesh",Freelancer,July,2022,Q3
Design Is Good 👍😊,25-34,M," Bilaspur, Chhattisgarh",Working Professional,February,2020,Q1
Good product,Under 18,F," Dehradun, Uttarakhand",Student,March,2023,Q1
Good product,55 and above,F," Muzaffarpur, Bihar",Homemaker,September,2021,Q3
"One of the very best products in the market!! Especially from a brand like Fast-track! Just go for it.. the display, the structure , the curvy 2.5D design, light weight, and super amoled display! Price is a bit high but i am pretty satisfied with the quality they have served. Pretty big screen, easily visible display in sunlight, good BT calling, speaker is also pretty cool.
One thing that could be improved more is it's sports mode, health associated features and a bit more of special featur...
READ MORE",Under 18,M," Kalyani, West Bengal",Student,October,2024,Q4
Perfect watch at this budget segment.,45-54,M," West Godavari, Andhra Pradesh",Freelancer,December,2022,Q4
"Titan Fastrack Revoltt is a watch of the next level when it comes to the following
1. Premium Curve Design
2. The display is the best with 466x 502 pixel
3. Strap is very comfortable
4. In one glance it looks premium
5. Battery backup is decent
6. Sound quality while BT calling is very crisp

Cons:
1. Sensors need to be calibrated
2. In this price segment the watch frame could have been metallic instead of plastic",35-44,M," Kolkata, West Bengal",Working Professional,June,2022,Q2
"I got this watch 4 days before and what I like about is that The Fastrack Revoltt FS1 Pro comes with a rectangular dial. It is built with polycarbonate material.
And very best thing is Fastrack has come up with an arched display for this smartwatch, and this curve makes it really comfortable and convenient on such a big dial.
The smartwatch comes with a water resistance rating of IP68 and can survive underwater up to a depth of 1.5 meters for half an hour.
Also it comes with 200+ cloud-based ...
READ MORE",55 and above,F," Gwalior, Madhya Pradesh",Homemaker,February,2024,Q1
Nice product from fastrack again so happy prove it once again in Smartwatch division.👍🏻 Display quality also nice look like bend.,35-44,M," Chennai, Tamil Nadu",Working Professional,March,2023,Q1
"For the price this is a great watch, very feature rich. The fact that at this price watch has a great storage and an AMOLED screen among others, make this a good watch. On the other hand, it has SingleSync BT Calling and most of all you can save your Favourite Contacts (Android - 100, iOS - 50) with Quick Replies (Android). it is something most awaited . Great watch in this series.",25-34,F," Gwalior, Madhya Pradesh",Homemaker,August,2022,Q3
Battery 🪫 Drain very fast.,55 and above,M," Thane, Maharashtra",Retired,January,2023,Q1
Tnx Flipkart This offer Price am so happy thank you flipkart☺️☺️☺️🙂🤩🤩🙂,55 and above,M," Pashchim Champa, Chhattisgarh",Retired,August,2020,Q3
This is my dream watch ⌚ Fastrack fs1pro,55 and above,M," Kharagpur, West Bengal",Retired,January,2024,Q1
Very good 😊💯 smart watch ⌚⌚,45-54,M," Nadia, West Bengal ",Freelancer,February,2023,Q1
Instead of other brands watch this watch is wonderful n this arched display is very attractive.,35-44,M," Deoria, Uttar Pradesh",Working Professional,May,2023,Q2
Value for Money😊,55 and above,M," Dumka, Jharkhand",Retired,October,2021,Q4
It is best product in fastrack fs1 pro smart watch,25-34,M," Berhampur, Odisha",Freelancer,January,2020,Q1
"Fastrack Revoltt FS1 Pro has a new Watch face: and I am Impressed. So many to choose from. I'm using it app to connect the watch to my OnePlus mobile. if I will talk about Accuracy: Most of us look only for a few parameters in general. Steps, calories, heartbeat, etc. I feel everything is fine so far. I'm a gym person so I'm yet to check on other features in this category.
Overall, this is the best buy in this price range. It has everything you wish for in an 'everyday use' smartwatch. I've ...
READ MORE",55 and above,F," Gwalior, Madhya Pradesh",Homemaker,January,2020,Q1
🫡🫡🫡best in batery backup and display **,55 and above,M," New Delhi, Delhi",Retired,June,2020,Q2
Doesn't have slim and curve body.. Not for ladies at all.. display is awesome,25-34,F," Thane, Maharashtra",Homemaker,December,2023,Q4
"Nice product The watch is a decent piece of hardware. The body is superb and gives a premium feel. It has no flaws in the software. The sports mode is superb. All you get to know is the status of sports as it has 100+ sports modes, with NitroFast Charging with 10 min Charge = 1 Day Battery and Up to 7 Days of Battery Life. Advanced 110+ Sports Modes, 200+ Watchfaces, In-Built Games | AI Voice Assistant, Weather updates you can get here in this premium watch.",55 and above,M," Gwalior, Madhya Pradesh",Retired,June,2024,Q2
very good 👍,55 and above,M," Sonatikiri, West Bengal",Retired,September,2021,Q3
"This is one of the best smartwatches to get under 3995 right now and has no complaints. It has really good speakers with high-quality audio and can store local music and supports Other Multimedia Features with Music Control. So everyone just goes for it without a doubt. it has Other Fitness Features Auto Stress Monitor, 24*7 HRM, SpO2, Sleep Tracker, Women's Health, Activity Tracker, and 110+ Multisports.",18-24,F," Gwalior, Madhya Pradesh",Working Professional,July,2023,Q3
"Display is awesome and features also cool
Build quality is poor",35-44,M," Hyderabad, Telangana",Working Professional,April,2020,Q2
The product is value for money but I was little disappointed with the battery. Over all the watch is wonderful and it's range i also amazing,55 and above,F," Bengaluru, Karnataka",Homemaker,October,2022,Q4
"I Got my new watch today and i can experience the utmost convenience and functionality with the Fastrack Revoltt FS1 Pro Smartwatch. Featuring up to a 4.978 cm (1.96) Super AMOLED arched display, this smartwatch offers a clear and vivid visual experience. This smartwatch delivers an exceptional visual experience by rendering bold colours with a high pixel resolution. Furthermore, with its arched design, this smartwatch provides an optimal viewing experience that is both immersive and visually...
READ MORE",18-24,M," Gwalior, Madhya Pradesh",Freelancer,September,2024,Q3
"The watch display is so big, and the colour , sharpness is very good👍

The speaker is very loud 👌

The dual noice cancel mic is very good 👌👌

The strap quality is top notch 👌👌

The watch look allover is very nice 👌👌

The ui and smoothness is very good 👌👌

The watch have 200+ watch faces 👌👌




OVERALL THE WATCH IS VERY NICE FOR ME 👌👌👌

BUT THE REVIEW IS FIRST DAY IMPRETON 🤡🤡",45-54,F," New Town, West Bengal",Homemaker,November,2021,Q4
"Needs Improvement :
1. Steps are automatically increasing while driving and sitting.
2. Notifications aren't showing for all apps.
3. BPM increasing very high while doing free exercise.
4. Watch faces for activity are very few

Other thing are working fine and look wise is very nice.",35-44,M," Jamshedpur, Jharkhand",Freelancer,March,2021,Q1
Very good product as expected thank you fast-track and Flipkart.,25-34,F," Moga, Punjab",Homemaker,October,2023,Q4
"As promised during the event this watch really has High Pixel Resolution with Fastrack Revoltt FS1 Pro as it Offers a high pixel resolution, this smartwatch renders bold colors for an exceptional visual experience. And with fast charging the battery is up to 7 days. extremely amazing.",25-34,M," Gwalior, Madhya Pradesh",Working Professional,October,2020,Q4
Nice watch thanks flipcart and fastrack,45-54,M," Hyderabad, Telangana",Freelancer,November,2022,Q4
"The product is awesome and is a TATA . One can blindly buy it. I will give you a detailed review.

1. Battery - 5 days 4/5
2. BT Calling - wonderful -5/5
3. Fitness applications -95% accurate- 5/5
4. Health applications -95% accurate -5/5
5. Display - awesome - 5/5
6. Sound quality - 5/5
7. Call clarity -5/5
8. Screen response -good 5/5
9. Appearance - good 5/5
10. Build quality - good 5/5
11. Heart rate, SPo2,stress, sleep - good 5/5.
12. Find my phone -good 5/5
13. Fast track app- awesome...
READ MORE",18-24,M," Srikalahasti, Andhra Pradesh",Freelancer,March,2020,Q1
"Good smart watch
Display: Good colours and brightness also good. Animation wallpapers should be improved.
Battery: very good battery backup, company sad 2 to 3 days backup with Bluetooth calling but I am a extreme user so I get nearly 2 days but don't warry if you are a light or medium user you will get more then 3 days with Bluetooth calling.
Design: fantastic design as it has a different style then others and quality is good.
Features: i think in my opinion company should provide some more ...
READ MORE",Under 18,M," Durgapur, West Bengal",Student,November,2022,Q4
My wrist is so thin but still this watch looks awesome on my hand......,55 and above,M," Pilibhit, Uttar Pradesh",Retired,January,2024,Q1
Just amazing..classy product,Under 18,F," Kolkata, West Bengal",Student,May,2023,Q2
"I got my premium new Fastrack Revoltt FS1 Pro with High-quality Display as it has Boasting up to a 4.978 cm (1.96) Super AMOLED arched display, the Fastrack Revoltt FS1 Pro Smartwatch provides clear and vibrant visuals, allowing you to easily view its features and functionalities. I am in love with this premium watch, extremely amazing",45-54,F," Gwalior, Madhya Pradesh",Homemaker,July,2021,Q3
When watch connect to mobile and I'm watching videos or music then sound automatically up down and it not control,18-24,M," Aurangabad, Maharashtra ",Working Professional,June,2021,Q2
Best quality..best style..,Under 18,M," Kolkata, West Bengal",Student,June,2020,Q2
"Overall,the product is quite good if you get it around 2.5k . Display is applauding ,sharp as well as bright. Personally,I don't have any issues regarding it's plastic build. However,metal case would be good at this range. Calling option is quite good, voice quality is tremendous,the best in this segment. Lastly,Brand Do matters. Fastrack is such an iconic brand you can't simply ignore. Go for it,love this.
Point to be noted, if you turn off the 24/7 heart rate monitor ,you will get excellent...
READ MORE",45-54,M," Balurghat, West Bengal",Working Professional,August,2024,Q3
I was searching for a watch with AOD and BT calling and I found that in this watch. I'm very satisfied with this product.,Under 18,M," Hyderabad, Telangana",Student,August,2023,Q3
"Superb quality , big display smooth ✨",Under 18,M," Sehore, Madhya Pradesh",Student,March,2023,Q1
"Awesome, Genuine product love it, Go for it if you planning to buy smartwatch .😍☺",55 and above,M," Jhunjhunun, Rajasthan",Retired,March,2020,Q1
I'm gifted my x girlfriend now She is very happy and has made me happy too..😉,Under 18,M," Gaya, Bihar",Student,April,2021,Q2
"This Watch is Very Beautiful, Value For Money I am Very Happy 😊",Under 18,M," Thane, Maharashtra",Student,October,2024,Q4
Best in this price range.... calculator missing,25-34,M," Patna, Bihar",Freelancer,July,2021,Q3
Awsome product 💥,25-34,F," Dinhata, West Bengal",Homemaker,January,2022,Q1
Great watch with all features. Good look and value for money.,55 and above,M," Palakkad, Kerala ",Retired,March,2024,Q1
Nice Product but the Dial is too Big,Under 18,M," Kolkata, West Bengal",Student,March,2024,Q1
"This smartwatch fastrack revoltt pro FS1 includes advanced health monitoring features such as continuous stress monitoring, auto sleep tracking, and 24*7 heart rate monitoring. It also has smart notifications and an AI voice assistant, making it easy to stay connected and productive. The watch is also IP68 dust and water-resistant, adding to its durability.",Under 18,F," Gwalior, Madhya Pradesh",Student,January,2023,Q1
"I buyed this watch for my husband and he like it the most . This watch features an advanced chipset that ensures smooth connectivity and lightning performance. It also have equipped with SingleSync Bluetooth calling and has an inbuilt mic and speaker. With over 200 watch face options and 110 sports modes, the Fastrack Revoltt FS1 Pro combines function with fashion. And all the features is most important for him and useful and best companion for him is is",25-34,F," Gwalior, Madhya Pradesh",Homemaker,November,2020,Q4
OS is lagging. Strap is not lengthy. Not fitting to my wrist. At 4k i was expecting much from fast track,18-24,M," Hyderabad, Telangana",Freelancer,February,2020,Q1
"Pros of fastrack revoltt FS1 pro is :
Fastrack Revoltt FS1 Pro offers fast charging
The smartwatch comes with over 110+ sports modes
The Fastrack Revoltt FS1 Pro carries an IP68 rating.
The smartwatch has over 110+ sports modes as well as several smart health monitoring sensors like stress monitoring, auto sleep tracking, and 24x7 heart rate monitoring. It also supports over 200 watch faces. And this is the most wonderful thing about this watch . Must buy product",18-24,F," Gwalior, Madhya Pradesh",Freelancer,December,2020,Q4
Very good product but battry is too bad I charged 94 % at 11am after my uses it is 60% at 11 pm means 12 hr= it is drained 34 % so bad and one more thing it's display touch response is so delay very bad.overally it is featured and very good display.,45-54,M," Bhubaneswar, Odisha",Working Professional,March,2020,Q1
"The main disadvantage is while ridding bike, it is also counting steps, seems it is sensing the vibration of bike as steps. As a result it is calculating calories burn, which is not in practical.",45-54,M," Sonamukhi, West Bengal",Working Professional,May,2023,Q2
"Display 5/5
Features 3/5
Sound quality 3/5
Looks 4/5

Everything is good but some things I noticed that
1. Display touch is ok ok, I have another watch in this price range and touch is very smooth.
2. Smart watch mic quality is ok ok.
3. Need to be improved in software design
4. The heart rate monitor is very poor, it monitors my heart 145 during the meditation",35-44,M," Pimpri Chinchwad, Maharashtra",Working Professional,June,2022,Q2
Product is really nice but battery 🔋 drains very fast.,35-44,F," Arwal District, Bihar",Homemaker,September,2020,Q3
"Display is OSM 👌 but Earlier in watch music plays but new update music does not play in watches

This is bad update

Otherwise everything is good",45-54,F," Kota, Rajasthan",Homemaker,September,2021,Q3
Good for wide wrist,35-44,M," Chandauli, Uttar Pradesh",Freelancer,April,2020,Q2
Good 👍,Under 18,M," Ahmedabad, Gujarat",Student,July,2021,Q3
Product is good,Under 18,F," Hugli District, West Bengal",Student,April,2020,Q2
Awesome,55 and above,M," Kolkata, West Bengal",Retired,July,2022,Q3
Value for money product.,25-34,M," Baripada, Odisha",Working Professional,May,2023,Q2
Good product 👍,Under 18,F," Dhule, Maharshtra ",Student,March,2021,Q1
"Very nice products, value for money love it 🥰",55 and above,M," Nagaon, Maharashtra",Retired,March,2021,Q1
Battery display all are good....need some features like bluetooth turn on off and screen lock...AOD IS VERY GOOD,Under 18,M," Mumbai, Maharashtra",Student,May,2022,Q2
"Product is good overall and value for money in Flipkart. Calculator function keys are not working well.
Tough sensor is moderate.",35-44,M," Chennai, Tamil Nadu",Freelancer,February,2023,Q1
Nice watch in price of 2000 you can buy now but raise to view is miner slow but it can be fixed by update,35-44,M," Saharsa, Bihar",Working Professional,August,2021,Q3
"Nice Product.
Highly Recommend......",Under 18,F," Krishna Hugli, West Bengal",Student,November,2020,Q4
Good purchase 😊😊,55 and above,M," Mughalsarai, Uttar Pradesh",Retired,July,2021,Q3
Good product for 2k range,45-54,M," Dhanbad, Jharkhand ",Freelancer,April,2022,Q2
Good product,35-44,M," Hosur, Tamil Nadu",Working Professional,May,2022,Q2
good display,25-34,M," Jamnagar, Gujarat",Working Professional,December,2023,Q4
Best,35-44,M," Lakhipur Goalpara District, Assam",Working Professional,June,2023,Q2
"***Fastrack FR1****Review****👌💐AMJS

Display 5/5👍 ( 💫💫💫💫💫)
Activity Tracking 4/5👌 (💫💫💫💫)
Design 5/5👍 (💫💫💫💫💫)
Battery 4/5👌 (💫💫💫💫)
Brightness 5/5👌 (💫💫💫💫💫)
Sound 4/5👍 (💫💫💫💫)
Function 5/5👌 (💫💫💫💫💫)
Public Presentation 5/5👌 (💫💫💫💫💫)
Opening Price for Sale 5/5👌 (💫💫💫💫💫)",55 and above,M," Noida, Uttar Pradesh",Retired,October,2023,Q4
"This is amazing watch . Unique functions like call , show outdoor and fitness activities and made of new digital advance technology. So classy and elegant look. Useful in everwhere. Love it",35-44,M," Jalandhar, Punjab",Freelancer,September,2024,Q3
"Giving Review a Day of Use.1.Design is fabulous. Love the design very attractive and cool.2.Strap is very smooth and comfortable.3. Battery backup is little bit good.4. Display is average. Is not good all.5. Watch little bit Larger. If ur your hand is thin, may be it will be bigger for you.",Under 18,M," Allahabad, Uttar Pradesh",Student,May,2023,Q2
Best watch . Watch looks so good . Shows accurate result . Gym time i always use this watch . Belt quality is also nice .,55 and above,F," Karad, Maharashtra",Homemaker,May,2021,Q2
The watch is good and specially i liked the watch faces Touch response working well and display quality is also good Totally value for money..,25-34,F," Kalyan, Maharashtra",Homemaker,November,2022,Q4
Nice product i love it,45-54,M," Sagar, Madhya Pradesh",Freelancer,June,2024,Q2
"Very beautiful watch, battery life is also good, features are unique and looks stylish. Worth the price",Under 18,F," Varanasi, Uttar Pradesh",Student,June,2022,Q2
Go for it,35-44,M," New Delhi, Delhi",Working Professional,October,2023,Q4
"Value for money product
Fit perfectly
Looking premium in quality

Quality is better 80/100
Sound quality is best 95/100
Display 75/100
Packaging/ boxing 99/100
Charger quality 50/100

Blue colour - dial and best is totally mismatched
No calculator
No gps
No compass
Product of TATA but not made in India it's a Chinese Product",25-34,F," Thane, Maharashtra",Homemaker,January,2021,Q1
Such a perfect watch for my match.... activity are 100 types of which is all different the look n colour is just fantastic super lightweight and super good quality....the circle shape of dial is just ossum,45-54,F," Mumbai, Maharashtra",Homemaker,June,2020,Q2
"Beautiful smartwatch looking perfect fiting preety and battery backup is good fitness accuracy is perfect
alerting every hour for hydration.
Overall perfect fitness and affordable watch",Under 18,F," Kalyan, Maharashtra",Student,July,2022,Q3
Battery backup for one day only.. so not satisfoed with the battery and features like tracking stress and mood is not working.,45-54,F," New Delhi, Delhi",Homemaker,April,2022,Q2
Wow features amazing colour nd battery back so good,35-44,F," Jaipur, Rajasthan",Homemaker,March,2022,Q1
Fastrack is always brand but battery pack up is less other wise worth money,18-24,M," Bengaluru, Karnataka",Working Professional,June,2022,Q2
