Reviews for Apple Watch ,Age,Gender,Location,Occupation
"Finally bought it ⌚️😄
Looks GooD feels GooD 👌🏼",55 and above,M," Madurai, Tamil Nadu",Retired
"After used Apple Watch Series 4, today purchased Apple Watch Series 7⌚️; Awesome😍🔥 Smart Watch! None other smart watch cant reach Apple Watch Perform! Accuracy level High!",45-54,M," Erode, Tamil Nadu",Freelancer
Awesome thank you,35-44,F," Tiruchirappalli, Tamil Nadu",Homemaker
Great Product,25-34,M," Dindigul, Tamil Nadu",Working Professional
Awesome display. Really love the performance and display size. Also the fast charging is superb.,Under 18,F," Visakhapatnam, Andhra Pradesh",Student
Awesome Watch,55 and above,F," Salem, Tamil Nadu ",Homemaker
Nice but little costly☺️,18-24,M," New Delhi, Delhi",Freelancer
"I have upgraded from Apple series 3 to series 7, this made a lot of difference to me …..definitely worth the money….One time investment,Battery backup almost 2 days.
Bigger screen.
Bigger battery.",35-44,F," Hyderabad, Telangana",Homemaker
"The best smart watch in the world. Period. I have Samsung Galaxy Watch and this as well and I can say that Apple Watch is way better in terms of its smooth touchscreen and user interface. Battery Life is pretty decent. Lasts a whole day with moderate to heavy usage and 2 if light usage Call quality is very good as well. All apps and sensors are optimized. 41mm looks good on people with petite wrists. The only downside I can think of is that Samsungs Classic Watch has thick rotating bezels wh...
READ MORE",25-34,M,"  Pune, Maharashtra",Working Professional
All gud but speaker is little bit noisy,25-34,M," Hyderabad, Telangana",Freelancer
Nice product,45-54,M," Cherthala, Kerala",Working Professional
I really love this watch must try,35-44,M," Visakhapatnam, Andhra Pradesh",Freelancer
"Looks premium and display is great, battery backup is average.",35-44,M," Gautam Buddha Nagar, Uttar Pradesh",Freelancer
Perfect,55 and above,M," Bhopal, Madhya Pradesh",Retired
"For fitness enthusiasts. Worth every Pen, Maharashtrany",25-34,F," Ranchi, Jharkhand",Homemaker
"Experience Was Really Amazing.
1.Design and functions are smooth
2.Full Charge Takes 2hrs
3.Battery Backup Was Not Really Good.
4.Other wise All Features working as i expected
5.Must Buy Guyz You Love This.",25-34,M," Raniganj, West Bengal",Working Professional
"Got the Awesome Apple Watch 7 Series at the Awesome price, Thanks to The seller and Flipkart for the best deal...Kudos",18-24,M," Patna, Bihar",Working Professional
One of the best smart watches by Apple,18-24,F," Tirunelveli, Tamil Nadu",Working Professional
Perfect watch. Perfect looks. Perfect delivery by flipkart.,35-44,F," Ghaziabad, Uttar Pradesh",Homemaker
Amazing!!!!,25-34,M," Bikaner, Rajasthan",Working Professional
overall good......,Under 18,M," Ballia, Uttar Pradesh ",Student
Super 👌🏻👌🏻👌🏻,45-54,F," Tirur, Kerala",Homemaker
The best smart watch ever produced,18-24,M," Kolkata, West Bengal",Working Professional
This is my first digital watch and the experience is great because I had a dream to buy an apple watch and today it came true. Thanks to Apple and Flipkart for being part of my Happiness. 😊♥️,55 and above,M," Lalitpur, Uttar Pradesh",Retired
Very Perfect and nice watch speed and display is awesome.,55 and above,M," Amritsar, Punjab",Retired
Earth is lucky for having Apple,45-54,M," North Barrackpur, West Bengal",Working Professional
"This is the first Apple Watch that I have used in my eight years in the tech media industry, so I was extremely fascinated at first. The Apple Watch Series 7 looks premium and offers a sturdy build at the same time.",18-24,M," Greater Noida, Uttar Pradesh",Freelancer
The watch and it’s functionalities are really amazing.,18-24,M," Ranchi, Jharkhand",Freelancer
Nice smartwatch but price is on higher side,Under 18,M," Chennai, Tamil Nadu",Student
The best,55 and above,M," Bengaluru, Karnataka",Retired
"An incredibly amazing deal and of course it's Apple, you will never get disappointed. Worth purchasing in such a good deal. Thanks to Flipkart",25-34,F," New Delhi, Delhi",Homemaker
"My wrist is small but 45 mm look perfect on my wrist
Amazing smart watch From Apple , thanks Flipkart.",35-44,M," Bengaluru, Karnataka",Freelancer
watch design and fucntions are too amazing 🤗 really loved it !! ❤️,55 and above,M," Haridwar, Uttarakhand",Retired
Super and excellent.Thanks to Flipkart and Apple.,Under 18,M," Dhubri, Assam",Student
"Cut long story short-
1-Your body already gives you the sign before illness, so if you do't ignore them, then you do't need this watch.
2- this is not as accurate as medical equipments so no use medically.
3- you can get many attractive and show stoppers watches below 20K so still you do't need this because design is not very good.
4- and if you want phone call and notification then take a break, your phone is enough..
5- but of course if you need a status symbol, a show off, then this is one...
READ MORE",35-44,M," Lucknow, Uttar Pradesh",Freelancer
Gud love it,55 and above,M," Varanasi, Uttar Pradesh",Retired
Very nice,25-34,M," Kurukshetra, Haryana",Working Professional
Best watch,18-24,F," Noida, Uttar Pradesh",Working Professional
"Great watch looks so premium and sturdy hard quality used, looks amazing on your wrist,almost loaded with all the required features.
Thanks flipkart and the seller",25-34,M," Chandigarh, Punjab",Freelancer
"Good product to have it . I will never disappoint you on your decision to buy. It is more then what I have expected from it.

Pros
1. Displays and features mind blowing.
2. Calls are super clear when you receive calls.
3. Reminds of everything for what you have on notifications.
4. Designs and screen size is sleek and Lar, Uttar Pradeshge compare to older versions.

Con

1. Higher price.
2. Need to have AirPods to enjoy apple echo system.",35-44,F," Bengaluru, Karnataka",Homemaker
Brilliant and most stylish bigger display ever feature in smartwatch.Numero uno👌👌👌,18-24,F," Bhubaneswar, Odisha",Working Professional
The best Apple Watch display ever.. waited so long to buy this..,18-24,F," Hyderabad, Telangana",Working Professional
"This is my first Apple Watch, Wonderful Watch, But Little bit Disappointed with battery life.",35-44,M," Tanuku, Andhra Pradesh",Freelancer
"Watch is very good, it had lots of features, the only corn is battery life , you have charge everyday if you are a normal user.
I purchased 41mm which look small in my wrist. I would recommend 44mm for boys.",25-34,M," Bengaluru, Karnataka",Freelancer
Display Quality and OS is awesome. Love the technology,Under 18,M," Purba Medinipur, West Bengal ",Student
"4 stars just because Flipkart packaging was worst. When it is an expensive product, why don’t you cover it with extra care and with extra paper support. Packing should be improved.
Apple watch is at its best",55 and above,M," Bengaluru, Karnataka",Retired
"2 YEAR UPDATE
This has been working efficiently for the past 2 years, NEVER HAD A GLITCH",Under 18,M," Chennai, Tamil Nadu",Student
Best for girls. Premium look of gold worth to buy.,55 and above,M," New Delhi, Delhi",Retired
"Not updated software,not pairing with my phone",35-44,F," Gurgaon, Haryana",Homemaker
Best deal at best price !,35-44,M,"  Pune, Maharashtra",Working Professional
Good,18-24,M," Visakhapatnam, Andhra Pradesh",Working Professional
Best from Apple!,Under 18,M," Bengaluru, Karnataka ",Student
Thank you filpcart I'm very happy good service,25-34,F," Hyderabad, Telangana",Homemaker
Amazing,Under 18,M," Byasanagar, Odisha",Student
Not recommended when it comes to battery life . You need to charge this daily basis . Also activity specification and alters are less compared to other brands,18-24,F," Avittathur, Kerala",Working Professional
Amazing product but battery life is not so much good..,25-34,M," Narnaul, Haryana",Freelancer
Good,55 and above,M," Thoothukkudi, Tamil Nadu ",Retired
This smart watch have lots of features and track my activities properly. One small constrain is I have to charge daily.,18-24,M," Mathur, Maharashtra",Working Professional
"Just awesome!
Display is brilliant.touch is very smooth.
Overall fantastic smart watch @ apple",25-34,M," Dhanbad, Jharkhand",Working Professional
Best product and worth for money,Under 18,M," Hyderabad, Telangana",Student
This watch you have to buy with Heavy heart because it is expensive one but rest every feature and money value you get in unmatched,55 and above,M," Bengaluru, Karnataka",Retired
"Awesome product. Like always sync b/w Apple Watch and phone is great and super fast smooth.
But only thing is battery draining faster.",45-54,M," Tadepalli, Andhra Pradesh",Freelancer
Best smart watch forever,35-44,M," Kolkata, West Bengal",Working Professional
Thanks Flipkart I am happy 😊,35-44,F," Lucknow, Uttar Pradesh",Homemaker
"Nice one
Go for it!!",45-54,M," Damoh District, Madhya Pradesh",Working Professional
Great product and must buy.,55 and above,M," Ernakulam, Kerala ",Retired
Best Watch hai,35-44,M," Pulwama, Jammu and Kashmir",Working Professional
Nothing is good enough to replace Apple Watch :),Under 18,M," Vadodara, Gujarat",Student
Nice product,35-44,F," Jalandhar, Punjab",Homemaker
The best watch for your Apple iPhone. Grabbed it for 42k. esim functionality is handy,55 and above,M," Hyderabad, Telangana",Retired
Nice Apple Watch,45-54,M," Dehri, Bihar",Freelancer
Awesome,45-54,M," Hyderabad, Telangana",Freelancer
"Reason to opt for Apple Watch 6 in Stainless Steel.
1. You like heavier watches.
2. You are okay with generic colors like Silver/StainlessSteel or Black/Graphite or Gold.
3. You are planning to keep the watch for a few years.
4. You are known to occasionally/accidently hit things or bump into with watch.
5. Stainless version only come with GPS and Cellular.
With Stainless steel, you don't get colors like blue/red/rose gold etc.
Apple also uses Sapphire Crystal for the glass/screen which...
READ MORE",18-24,M," Bengaluru, Karnataka",Working Professional
Nice smart watch I was looking for. good features.very sturdy. Not even a scratch when it accidentally fell from 6 feet height .Working fine after that. Great deal price from Flipkart. Very happy with the purchase👍,55 and above,M," Salem, Tamil Nadu",Retired
"Genuine product, got it for a very best price.",55 and above,M," Anantapur, Andhra Pradesh",Retired
Nice product,35-44,M," Zahirabad, Telangana",Working Professional
"Overall satisfied. It’s not a gadget but a seamless addon to apple ecosystem which helps to keep motivating on being active, healthy and keeps away from iPhone when not in need. Stainless steel graphite is treat to eyes looks premium and settled gives the authentic watch feel. Also comes with extra durability due to sapphire glass, steel and ceramic case which is better than aluminium. Add nice choice of bands, loops to suit daily formal and casual wears.

Cellular doesn’t work with Airtel pr...
READ MORE",18-24,F," Hyderabad, Telangana",Working Professional
Bestest watch,55 and above,M," Lucknow, Uttar Pradesh",Retired
Awesome,35-44,M," East Godavari, Andhra Pradesh",Working Professional
"I ordered watches for all my family members..
What an amazing product it is indeed..
I mean.. Rolex Rado no one can stand infront of apple..
Best combination of luxury & smart. I can check my ECG, blood oxygen level..
amazing..",18-24,M," Noida, Uttar Pradesh",Freelancer
great product.,18-24,M," Patna, Bihar",Freelancer
Apple is apple awesome.,55 and above,M," Pimpri Chinchwad, Maharashtra",Retired
Good,18-24,F," Bengaluru, Karnataka",Working Professional
Very good watch. Just ever time i feel while using apple product that prices are too high for all the features they are providing,25-34,F," Mumbai, Maharashtra",Homemaker
"I ordered watches for all my family members..
What an amazing product it is indeed..
I mean.. Rolex Rado no one can stand infront of apple..
Best combination of luxury & smart. I can check my ECG, blood oxygen level..
amazing..",35-44,M," Noida, Uttar Pradesh",Working Professional
"I ordered watches for all my family members..
What an amazing product it is indeed..
I mean.. Rolex Rado no one can stand infront of apple..
Best combination of luxury & smart. I can check my ECG, blood oxygen level..
amazing..",35-44,M," Noida, Uttar Pradesh",Working Professional
Awesome Watch,55 and above,F," Ahmedabad, Gujarat",Retired
Looks premium and special,25-34,M," Bengaluru, Karnataka",Working Professional
Battery to bad,Under 18,F," Mumbai, Maharashtra",Student
