Reviews for Boult,Age,Gender,Location,        Occupation,Month,Year,Quarter
Firstly I was thinking that this is the 1st smartwatch of boult company should I buy this one or or not and so on... Then I have decided to buy it after some days. I received it today. This watch is really superb!!! Everything is just perfect !! But it is not reading step count correctly that's the big problem. And some extra specifications are also there... I loved it so much 😍😍 Don't think too much this watch is bestest watch in this price range 😍😍 thank you boult and flipkart 😍🤗,45-54,F," Solapur, Maharashtra",Homemaker,September,2023,Q3
I Love it...,35-44,M," Morbi, Gujarat",Working Professional,June,2020,Q2
Value for money,Under 18,M," Contai, West Bengal",Student,December,2020,Q4
It working well.,25-34,F," Mahabub Nagar, Telangana",Homemaker,August,2023,Q3
"This is very good product. value for money features is a awesome and design is so beautiful and display is fantastic and Lar, Uttar Pradeshge display",55 and above,M," Navi Mumbai, Maharashtra",Retired,May,2020,Q2
"Battery 🔋 life 5se 6day
Nice product 👍
Calling time 36 hr",55 and above,M," Banka District, Bihar",Retired,August,2024,Q3
Very good product in this price range. Design and look is also hot in first impression...🔥,45-54,M," Nashik, Maharashtra",Working Professional,April,2020,Q2
Totally Awesome Best smart watch,Under 18,M," Jharia Khas, Jharkhand",Student,May,2023,Q2
"It doesn't track the steps, health monitoring is useless",55 and above,F," Mysuru, Karnataka",Homemaker,October,2020,Q4
Good,55 and above,M," Karaikudi, Tamil Nadu",Retired,April,2022,Q2
Best of other watch👌👌👌,Under 18,M," Siwan, Bihar ",Student,February,2022,Q1
"Everything is awesome 😎👍..
Battery drain little bit fast..",35-44,M," Parbhani, Maharashtra",Freelancer,December,2023,Q4
very good quality,18-24,M," Kanpur Dehat, Uttar Pradesh",Working Professional,November,2020,Q4
"Great in this price if u want more attractive and more features with more accessibility .. buy above 10k watch ..
Otherwise use it as normal 😉 be happy keep smiling",Under 18,M," Gorakhpur, Uttar Pradesh",Student,February,2024,Q1
Value for money,Under 18,M," Chennai, Tamil Nadu",Student,May,2024,Q2
Value for money....,25-34,M," Pallichal, Kerala",Freelancer,May,2022,Q2
Its a good product I'm impressed and its very nice,55 and above,M," Vanavasi, Tamil Nadu",Retired,April,2020,Q2
Wow.....nice watch,25-34,M," New Delhi, Delhi",Freelancer,January,2021,Q1
Nice product,55 and above,M," Dhanbad, Jharkhand",Retired,March,2021,Q1
Design is very attractive 😍😍,18-24,M," Ashta, Madhya Pradesh",Freelancer,March,2023,Q1
Nice watch . Everything thik perfect,45-54,F," New Delhi, Delhi",Homemaker,July,2021,Q3
Nice product!! Smooth touch... Worth it,35-44,F," Parasuvaikkal, Kerala",Homemaker,March,2020,Q1
Superb,Under 18,F," Sukdal, West Bengal",Student,December,2022,Q4
"Bought this on the first day of Sale
Prompt delivery the very next day. Thanks to Flipkart.
Watch looks very nice and display is good
Call function works without any hindrance
Overall a value for money product
1999 is a rocking price
Guys , please go for it without any second thoughts",Under 18,M," Tvs Plant Hosur, Tamil Nadu",Student,January,2024,Q1
Awesome 👍 my 🖤 watch ☺️,55 and above,M," Sirsa, Haryana",Retired,August,2020,Q3
Very nice product.. Go for it! Value for money...,18-24,M," South Twenty Four Parganas District, West Bengal",Freelancer,September,2024,Q3
Good features watch.....you can blindly go for it,25-34,F," Kamakshyanagar, Odisha",Homemaker,February,2023,Q1
Excellent product from Boult.... It is terrific watch... I used from last seven days.Battery back up is very impressive.. Call quality and sound is outstanding in this price range... Very light weight... Very useful for beginners who first time use a smart watch... It's comfortable for thin wrist person also... But always use it with a screenshot protector which is easily available in your nearest shop..,Under 18,M," Burdwan, West Bengal",Student,April,2024,Q2
"Best product value of money and green colour is best colour of watch 😘😍😘😘😍.
I love this watch fill best choice 😇😇😘😍",35-44,F," Lakhimpur, Uttar Pradesh",Homemaker,September,2021,Q3
Very good and best price watch,35-44,M," Chittoor, Andhra Pradesh ",Working Professional,August,2023,Q3
"Its just awesome at this price❤️
Especially calling feature.",25-34,M," Kollam, Kerala ",Freelancer,September,2023,Q3
Very nice,25-34,M," Hyderabad, Telangana",Working Professional,April,2020,Q2
"1.Activities tracking is not properly work and also need to be review the design and improve.
2.Charging battery is good as per manufacturers catalog mentioned .
3.Mic speaker is working effectively in the good way.
4.Price money is the good but need to be design improvement.
5.feature is the very poor like as local brand showing and feel like that when operating the watch need to be develope the features software.",55 and above,M," Gopalganj, Bihar",Retired,June,2020,Q2
Best quality provided by Boult Love you Boult,55 and above,M," Jaunpur, Uttar Pradesh",Retired,October,2021,Q4
Great ,18-24,M,"Mumbai, Maharashtra ",Student,January,2023,Q1
"Very much comfortable and it looks good and appealing. Also, it has various features within such a small device so its amazing",18-24,M,"Mumbai, Maharashtra",Student,May,2020,Q2
This device is quite good and easy to operate and also it is accurate and shows accurate heart rate and steps walked by me. Also there is not any problem when I pick up the call from my watch. So the overall experience is very good. ,18-24,M,"Mumbai, Maharashtra",Student,January,2023,Q1
Idk abt health.....not used that much but overall a moderate device ,18-24,F,"Thane, Maharashtra",Student,July,2023,Q3
It is good,18-24,M,"Thane, Maharashtra",Student,September,2024,Q3
"Its quality is very good, i have used them for more than 2 years but they are still functional. These boat product has increased my faith on boat products.",18-24,M,"Thane,Maharashtra",Student,August,2022,Q3
"Using a wearable health device has been a valuable experience as it allows me to track my daily activity levels, sleep patterns, and heart rate effortlessly",18-24,F,"Thane,Maharashtra",Student,May,2021,Q2
"Its good 
its very easy to track your health",18-24,F,"Malappuram Kondotty, Kerala",Student,November,2022,Q4
Nil,18-24,F,Kerala,Student,October,2023,Q4
"It helps in calorie count, step count and a lot other things, but Charging it is a problem. It takes a lot of time to charge, and sometimes you don't know if it is Charging properly.",18-24,F,"Kalyan, Maharashtra ",Student,May,2020,Q2
It’s  better,18-24,M,"Dombivali, Maharashtra ",Student,March,2022,Q1
I use the boat smartwatch but it doesnt give any of such accurate information about heart rate or smtg like that. ,18-24,F,"Mumbai, Maharashtra ",Student,April,2022,Q2
Good,45-54,F,"Kalyan, Maharashtra",Homemaker,August,2020,Q3
Wearable health devices provide real-time insights and can be extremely useful during emergencies by alerting users to critical health conditions. Their convenience and reliability make them invaluable tools for personal health management.,18-24,F,"Mumbai, Maharashtra ",Student,April,2021,Q2
Nice,18-24,M,"Thane, Maharashtra ",Student,March,2023,Q1
Its good.Works well though I don't use it much ,18-24,F,"Pune, Maharashtra ",Student,November,2023,Q4
"Screen - 8/10
Battery - 7/10
Sensor - 5/10
Call - 9/10
Over all good product. Value for money 👌",25-34,M," Medinipur, West Bengal",Freelancer,August,2023,Q3
It's nice ☺️,25-34,M," Durgapur, West Bengal",Freelancer,October,2022,Q4
This is amazing and value for money 🤑🤑🤑,35-44,M," Mandya, Karnataka",Freelancer,July,2024,Q3
Very good watch I like it,25-34,M," Halisahar, West Bengal",Homemaker,February,2020,Q1
"Product is okay 👍
Battery 🔋 also sooo good
Display that's the wonderful one in this product 👍😊
Mic 🎤🎙️
Sometimes wakeup display don't works 😢🤕😷
Speaker🔊
Answering and calling 🤙💥
Totally worth it 👍😎
Total ratings 4.7/5",45-54,M," Dharmapuri, Telangana",Working Professional,August,2023,Q3
Best in class unbelievable for this price classy look with all features 😍😍😍,18-24,M," Belthara Road, Uttar Pradesh",Freelancer,August,2021,Q3
awesome product 😍. and faster Delivery 🚚,18-24,M," Nadia, West Bengal ",Freelancer,March,2021,Q1
Very nice,Under 18,F," Dabhra District, Chhattisgarh",Student,September,2020,Q3
"Boult crown is to good better design built quality much better, value for money so buy smart watch",Under 18,M," New Delhi, Delhi",Student,December,2020,Q4
Superb,45-54,M," Bamanpukur, West Bengal",Working Professional,December,2021,Q4
I loved this product osm looking value for money 😍,55 and above,M," Hyderabad, Telangana",Retired,May,2022,Q2
"As per price same as regular smartwatch with calling option Looks premium regular options like spo2, hr ,sleep moniter, and calculator",25-34,M," Hyderabad, Telangana",Freelancer,January,2024,Q1
Fabulous product must buy very affordable and come with all features very lovely 🤩🤩🤩🤩🤩,35-44,M," Kalna, West Bengal",Working Professional,June,2021,Q2
"Value for money 💰
Very happy this product
Only use boult product great job 👏 👍",25-34,M," Thane, Maharashtra",Freelancer,January,2021,Q1
The value of money good product,35-44,M," Kolar, Karnataka",Working Professional,July,2022,Q3
Amazing product ☺️,Under 18,M," Nalgonda District, Telangana",Student,April,2021,Q2
Same product came as expected,18-24,F," Hisar, Haryana",Working Professional,February,2023,Q1
Very nice product,25-34,M," Akola, Maharashtra",Working Professional,December,2022,Q4
Value of money,35-44,F," Purba Champa, Chhattisgarh",Working Professional,August,2024,Q3
"Very Epic Watch !!!!
Many Features !!
Worth It Product 👍",45-54,M," Singrauli, Madhya Pradesh ",Working Professional,September,2023,Q3
"Cool looking colors and fully loaded features
Thanks flipkart for available this amazing watch at your store with offer price and fastest delivery",55 and above,F," Palghar District, Maharashtra",Homemaker,February,2021,Q1
Nice product,Under 18,M," Chakan, Maharashtra",Student,May,2024,Q2
Best watch on this price,25-34,F," Noida, Uttar Pradesh",Homemaker,June,2024,Q2
Best quality 6 to 8 day battery🔋 backup,18-24,M," Amravati, Maharashtra ",Freelancer,May,2024,Q2
Product is very good nice wearing feel nice colour metal build good features but during walking wrist to wake feature doesn't work speaker is loud value for money,55 and above,M," Kolkata, West Bengal",Retired,February,2022,Q1
"GOOD QUALITY FOR BOULT CROWN SMART WATCH

BEST PRICE BEST QUALITY

GOOD THANK YOU BOULT

BIGGEST SCREEN 😍

SOUND QUALITY VERY LOUD 🔊

AND BUILD QUALITY METAL BODY iS GOOD 👍

BATTERY LIFE IS GOOD 🔋

APP CONNECTIVITY IS GOOD 🔗

AI FUNCTION VERY NICE 🤗

OUT DOOR SIDE FOR LOOKING VERY GOOD OTHER PEOPLE FOR REACH EAST WATCH LOOKING GOOD 🥳

TOTAL IS VERY VERY GOOD 👌",55 and above,M," Vellore, Tamil Nadu ",Retired,January,2024,Q1
Wow...... Very Good Product I'm Happy 😊 Thank you Boult.....🥰❤️,18-24,M," Kendrapara, Odisha ",Working Professional,February,2021,Q1
Very very nice product on flipkart very beautiful product 👌😍,25-34,M," Satna, Madhya Pradesh",Working Professional,March,2023,Q1
All is good except the response time to see the time when you raise the wrist is longer then normal,35-44,M,"  Pune, Maharashtra",Freelancer,November,2020,Q4
"In this watch find phone is not working
In detail as follows:
My device is connect to my phone but i go to the option find my device it not working in watch but when i got in mobile boultfit app then in watch find phone is working it is only one isuue other all right",18-24,M," Kaij, Maharashtra",Working Professional,June,2022,Q2
Love this watch...speaker is very loud and screen quality I also great...,55 and above,M," Thiruvananthapuram, Kerala",Retired,January,2022,Q1
Ok,Under 18,M," Changlang District, Arunachal Pradesh",Student,May,2022,Q2
Super smartwatch 🤯,55 and above,M," Bengaluru, Karnataka",Retired,January,2020,Q1
Nice product 😃❤️,18-24,M," Kharar, Punjab",Working Professional,January,2022,Q1
"Really nice❣️ product from boult....
This is the best in this budget...
Battery life and Display are good...
Design also so good...",55 and above,M," Mathur, Maharashtra",Retired,July,2020,Q3
"Good product ❤
No problem 🙂
I am so happy😊😁",55 and above,M," New Delhi, Delhi",Retired,May,2023,Q2
Nice good Boult Crown 1.95 👍🏻👍🏻❤️,Under 18,M," Khordha, Odisha ",Student,January,2020,Q1
"Bluetooth Pair Not Working Properly
Really I am Disappointed 😔 to",55 and above,M," Kalyan, Maharashtra",Retired,September,2022,Q3
Value for money,45-54,F," Jatani, Odisha",Homemaker,November,2021,Q4
"Build quality 4/5
Display 5/5
Battery 5/5
Calling audio quality 5/5
Speaker quality also too good for this price
And value for money",35-44,M," Thanjavur, Tamil Nadu",Working Professional,June,2021,Q2
Bad quilty after few days watch button don't work,25-34,M," Berhampore, West Bengal",Working Professional,February,2024,Q1
Love it.,35-44,F," Kotyada, Andhra Pradesh",Homemaker,March,2023,Q1
Good product much buy 💥🔥,45-54,F," Bengaluru, Karnataka",Homemaker,September,2022,Q3
so laggy and hang struck in sunny summer bumper is hard comfort is not so good and iron is got litely rusting after use of 1 year .but normal usage it is best smart watch and battery is good for normal usage .look is good .,25-34,F," Thozhur, Tamil Nadu",Homemaker,March,2021,Q1
Bad,18-24,F," Narsipatnam, Andhra Pradesh",Working Professional,May,2020,Q2
Wonderful product 🔥,45-54,M," Kolkata, West Bengal",Working Professional,December,2020,Q4
"(+)
Quality Was Very Super
BT calling was Good
Value for many
Calculator and game was good
(-)
Battery is slightly slow
Strap quality was poor
App watch faces are very poor",35-44,M," Alangulam Tirunelveli, Tamil Nadu ",Working Professional,January,2021,Q1
Super 👌 👍 😍 🥰,35-44,F," Hanamkonda, Telangana",Homemaker,August,2023,Q3
Most valuable product,25-34,M," Howrah, West Bengal",Freelancer,October,2022,Q4
Best product fully satisfied value for money awesome set by Boult in such low price,25-34,F," Siliguri, West Bengal",Homemaker,May,2022,Q2
"Super watch in Boult Crown Watch ⌚,the best low price watch ⌚ and s 👌Bullet quality good HD display 900nits full brightness 🔅 Crown Control, Bluetooth 🤙 calling and dial pad, app supporting, 100 more than watch faces and sports mode, heart rate, SPO2, sleep monitor, steps and Kalori measurement, F period reminder 🎗️ and all rounder watch ⌚ I am really impressed, good quality and low budget best watch, value for money.",Under 18,M," Namakkal, Tamil Nadu",Student,November,2022,Q4
"Nice watch good battery backup but wrist raise feature not working properly
But good watch value for money",18-24,F," Kota, Rajasthan",Working Professional,September,2024,Q3
Ek dam best 👌 quality he,18-24,M," New Delhi, Delhi",Working Professional,January,2020,Q1
Nice product,25-34,M," Fatehpur, Uttar Pradesh",Freelancer,September,2024,Q3
Value for money it's a fabulous product,25-34,M," Ahmadnagar, Maharashtra",Working Professional,November,2022,Q4
All is ok but raise to awake feature is slow 5s and it's actually feel slow when you use,25-34,F," Purba Bardhaman, West Bengal ",Homemaker,December,2023,Q4
Very good product value of money,25-34,M," Ludhiana, Punjab ",Freelancer,February,2021,Q1
The product is awesome in this price range... everything is working properly...can tell you more after 1 month of use,18-24,F," Varanasi, Uttar Pradesh",Working Professional,March,2024,Q1
After 3 days of delivery the watch start to hang,Under 18,M," Dindigul, Tamil Nadu",Student,September,2023,Q3
The product is too good 😊👍,Under 18,M," New Delhi, Delhi",Student,October,2021,Q4
"At this price range surely go for this product .
UI is so smooth .
Display is good at this price.
There are four games available in this watch and it runs very smooth.
You can check blood pressure, blood oxygen level and heart rate monitor this three works properly but maybe not accurate.
The most thing l like from the watch is speaker quality it's damn good.( Note :But if you play the song in full volume the charge goes very fast )",Under 18,M," Payyannur, Kerala",Student,August,2020,Q3
Very nice product I am so happy the watches very beautiful ❤️,55 and above,M," Chhindwara, Madhya Pradesh ",Retired,May,2022,Q2
Nice product,Under 18,F," Bengaluru, Karnataka",Student,December,2020,Q4
Activity tracking is not up to the mark. Great battery and fast charging. Heart rate and spo2 sensors are also slow. Although the watch is value for money,35-44,M," New Delhi, Delhi",Working Professional,December,2021,Q4
Bast of bast watch,55 and above,M," Nadia, West Bengal ",Homemaker,August,2021,Q3
The watch is not woke up properly,45-54,F," Kunigal, Karnataka ",Homemaker,February,2020,Q1
"Overall product is awesome according to the price range 🤘🤗
Satisfied 😃",45-54,M," Muzaffarpur, Bihar",Freelancer,February,2020,Q1
Nice product good quality🥰🥰🥰,45-54,M," Tiruppur, Tamil Nadu",Freelancer,March,2020,Q1
Overall good with few flaws. Activity tracker is not overall accurate but does the jobs. Speaker sound felt a bit on the lower side but you can go for it.,55 and above,M," Mumbai, Maharashtra",Retired,October,2021,Q4
Good 👍 what's,35-44,M," Solapur, Maharashtra",Freelancer,April,2023,Q2
Products are so good all are good but rise to active watch sensors are not work all time and slow working.,35-44,F," Mumbai, Maharashtra",Homemaker,September,2021,Q3
"1. the look of the watch is very nice
2. watch battery works great
3. Reduces overall watch activity to excellent
4. very good watch for its price
5. The call future of the watch is very good and the speaker is also very good
And thank you 😊 Flipkart for fast delivery 🚚",55 and above,M," Pakur, Jharkhand  ",Retired,December,2020,Q4
"Calling, sounds, game, ects is very good at the beginning",45-54,F," Kolaghat, West Bengal",Homemaker,December,2022,Q4
I like this watch,18-24,M," Bangaon, West Bengal",Student,May,2021,Q2
Screen wake up time is slow. But otherwise features is good,45-54,M," Pinarayi, Kerala",Working Professional,October,2021,Q4
"Nice design like apple watch
Big battery upto 7 days
super connectivity
Strap is good
Speaker is loud with call and audio",25-34,M," Sitamarhi, Bihar ",Working Professional,September,2020,Q3
Liked it,Under 18,M," Rajgarh Churu District, Rajasthan",Student,November,2021,Q4
Value of money is verygood. Super clarity and good product,45-54,F," Parassala, Kerala",Homemaker,July,2022,Q3
"I had Samsung galaxy watch, whose mother board crashed just in four years. So I thought of not spending so much money on such unreliable products and their service center asking for huge amount for repair. I surveyed and ordered few online products but their data provided were incorrect. Ultimately I ordered Boult Crown, I find its chip to be providing absolutely correct measurements which I have compared with other medical instruments. Hope it's other models do also have the same chip. If...
READ MORE",45-54,F," New Delhi, Delhi",Homemaker,February,2022,Q1
Good,Under 18,M," Srikakulam, Andhra Pradesh ",Student,November,2020,Q4
Perfect 🤌,55 and above,M," Varanasi, Uttar Pradesh",Retired,November,2023,Q4
"Value for money. The watch is very great, display was also nice and the game is also nice.bt calling is average",18-24,M," Ludhiana, Punjab",Freelancer,September,2021,Q3
Good product value for money,25-34,F," Varanasi, Uttar Pradesh",Homemaker,February,2020,Q1
Looking premium ❤️,18-24,M," Vidisha, Madhya Pradesh",Freelancer,February,2024,Q1
"After a week I have a great experience with this smartwatch

1.Battery life is very good.
2. Various features available like an apple ultra smart watch. It has 8 UI styles.
3. Attractive and beautiful watch faces.
4. Great sound quality.
5.Full HD display quality. It has highest brightness display.
6.Lots of sports modes.
7. Strongest zinc alloy metallic frame.
8. Great calling system.
9. Great Al voice assistant.
10. It looks like an apple ultra smart watch.",45-54,M," Kodinar, Gujarat",Working Professional,September,2024,Q3
"Product in the price segment of 1500 is great .The overall features and build quality is superb.Blood Pressure monitoring is not reliable even a bit else other tracking features can be trustworthy for around 90%.Please don't consider this watch only for Blood pressure monitoring because it never gives you any nearly accurate reading due to which you may suffer in future.Overall package provided in this price segment by Boult is good and you must consider it if you need an eye catchy device li...
READ MORE",55 and above,M," Lucknow, Uttar Pradesh",Retired,January,2024,Q1
Nice product colour is awesome 👍👍😎 best Quality,Under 18,M," Kolar, Karnataka ",Freelancer,September,2023,Q3
Super 👍👍👍👌,45-54,F," Vizianagaram, Andhra Pradesh",Homemaker,May,2021,Q2
"Amazing product from boult
Made in India 🇮🇳
The look and design is too good 👍 😍",Under 18,F," Gopi Ganj, Uttar Pradesh",Student,December,2023,Q4
"Highly recommended for this price range
I am really happy to buy this product
Thank you Flipkart",18-24,M," Chennai, Tamil Nadu",Working Professional,November,2022,Q4
Brand Name BOULT is enough for genuine gadgets Awesome Smartwatch at very attractive price.,45-54,F," Mumbai, Maharashtra",Homemaker,September,2022,Q3
Good,55 and above,M," Bengaluru, Karnataka",Retired,July,2023,Q3
"Provide cloth strapes
For good
No more suggestions.
Excellent product,🤩",35-44,M," Nagpur, Maharashtra",Freelancer,January,2020,Q1
Very good. Product .. value for money,55 and above,M," Nadia, West Bengal",Retired,November,2020,Q4
Good,45-54,F," Tirupathur Vellore, Tamil Nadu ",Homemaker,March,2022,Q1
Good product 👍 all activities is super,35-44,M," Palakkodu, Tamil Nadu",Freelancer,October,2024,Q4
Nice watch but battery performance is low 0nly runs up to 5 days,55 and above,M," Jamkhandi, Karnataka",Retired,September,2022,Q3
"Writing this review after using the device continuously for the whole week. It quite good if you're looking for a budget smartwatch, it's good looking, strap is good, screen is good, battery life is also very good and will enhance your look but if you're looking for a good activity tracker smartwatch it isn't for you, put some more money and go for a good one!!",Under 18,M," Samastipur, Bihar",Student,December,2024,Q4
This watch is very nice and it has great features and it is full waterproof smart watch.,55 and above,M," Gonda, Uttar Pradesh ",Retired,October,2020,Q4
"Watch is excellent..
But rate is slightly high",18-24,M," Malkangiri District, Odisha",Freelancer,August,2020,Q3
"The metal buckle could have been more solid and sturdy, it feels cheap and it is so thin (low quality) that it might break someday.

Apart from this, no issues with the watch. Absolute VFM product with most used features and decent battery life (should last 4-5 days with low usage).",25-34,M," New Delhi, Delhi",Homemaker,August,2020,Q3
Lovely,18-24,F," Jasidih, Jharkhand",Working Professional,May,2023,Q2
Very nice product ❤️,45-54,M," Garnota Industrial Area, Himachal Pradesh",Working Professional,November,2024,Q4
It's awesome.. with greater price,35-44,F," Bengaluru, Karnataka",Homemaker,October,2020,Q4
Worth for the price,35-44,F," Hyderabad, Telangana",Homemaker,July,2020,Q3
Good 😍😍😍,18-24,F," Torpa, Jharkhand",Working Professional,August,2024,Q3
Very nice .... Quality,18-24,M," Gingee, Tamil Nadu",Freelancer,February,2023,Q1
"Very very good product
Thanks flpcart 👌👍",18-24,M," Moradabad, Uttar Pradesh",Working Professional,December,2020,Q4
Over all good.,Under 18,M," Kannur District, Kerala",Student,January,2022,Q1
Good product 👌👌👌,55 and above,M," Daman, Daman and Diu",Retired,November,2020,Q4
Amazing,55 and above,M," Chengannur, Kerala",Retired,July,2021,Q3
"Budget Friendly!
If you're in search of Smart Band + Smart Watch both combined then try this, definitely. As per price the features given are adequate.
Don't think much. Go for it.",18-24,M," Palghar District, Maharashtra",Freelancer,January,2022,Q1
Nice👍 products,35-44,M," Bhubaneswar, Odisha",Working Professional,September,2024,Q3
"Super quality.
Light wait
Activate tracking are almost property working.",35-44,F," Kolkata, West Bengal",Homemaker,September,2020,Q3
Best value price,45-54,M," Mariani, Assam",Freelancer,March,2024,Q1
Product is good.at this price range,45-54,M," Bengaluru, Karnataka",Working Professional,July,2022,Q3
Awesome watch at this price.Battery back up is good. lightweight. All features are working properly. But screen in not so smooth. But Good Watch at this price. Happy😊,25-34,F," Bhopal, Madhya Pradesh",Homemaker,February,2022,Q1
Value for money watch ^_^ just go for it.,25-34,M," Rewa, Madhya Pradesh",Working Professional,September,2021,Q3
Very very very nice looking good 👍,25-34,M," Alok City, Daman and Diu",Freelancer,June,2023,Q2
Worth,55 and above,M," Bengaluru, Karnataka",Retired,September,2022,Q3
"Reply nice 👍 products I like this Boult cosmic.
And package is mostly better 😉",18-24,F," Palari, Chhattisgarh",Working Professional,April,2021,Q2
Money worth,Under 18,M," Kochi, Kerala",Student,April,2020,Q2
Super product and Worth for money Fast delivered in flipkart thank you😍,25-34,M," Coimbatore, Tamil Nadu",Working Professional,May,2023,Q2
Very attractive design and value for money.....,25-34,F," Asansol, West Bengal",Homemaker,February,2022,Q1
Wow that good product i have buy it ..it good design,55 and above,M," Chirang District, Assam",Retired,October,2022,Q4
"I just loved the cosmic watch.
really Healful and it comes with amazing features as well.
very happy purchasing the cosmic watch",25-34,F," Beed, Maharashtra",Homemaker,May,2024,Q2
Best product,55 and above,M," Gurgaon, Haryana",Retired,April,2021,Q2
Good product 👍,18-24,M," Navi Mumbai, Maharashtra",Freelancer,December,2023,Q4
Value for money,55 and above,M," Karur, Tamil Nadu ",Retired,November,2024,Q4
Good looking watch with many features,25-34,F," Dowleswaram, Andhra Pradesh",Homemaker,July,2022,Q3
"It is good for this range.


Thank you Boult.",25-34,M," New Delhi, Delhi",Freelancer,October,2023,Q4
Best,25-34,M," Bengaluru, Karnataka",Working Professional,June,2024,Q2
Super best watch,Under 18,M," Kozhikode, Kerala",Student,December,2022,Q4
"This is amezing smartwatch
His features sooo good
Design, Battery 🔋 life are aslo amezing ...",55 and above,M,"  Pune, Maharashtra ",Retired,January,2024,Q1
Value for many I like this,55 and above,F," Udalguri District, Assam",Homemaker,October,2022,Q4
"Everything is fine, be it the battery or the display. Boult's work is visible on it.",35-44,M," Jhajjar, Haryana",Working Professional,June,2024,Q2
"Osm and Tura, Meghalayast",25-34,M," Haridwar, Uttarakhand",Working Professional,September,2020,Q3
Just WOW!!,25-34,M," Bengaluru, Karnataka",Working Professional,April,2021,Q2
Good product 😇😛👍,35-44,F," Sarthebari, Assam",Homemaker,September,2020,Q3
Very nice product,Under 18,M," Hindupur, Andhra Pradesh",Student,January,2023,Q1
Good 👍,35-44,M," Kamshet, Maharashtra",Working Professional,November,2023,Q4
Battery 🔋 is poor. And watch good,35-44,M," District Budaun, Uttar Pradesh",Working Professional,December,2020,Q4
"😊😊 Value for money 😊😊😊
This watch is very impressive because
1. good looking in this price range
2. Slim and fit in any outfit
3. Activities tracking
4. Screen 3d or very decent looking
5. And many mote reasons like massage , call, notification. Drinking water, sitting alarm , excise, music control .
Please boult cosmic add calculator or games
Overall ☞ i recommend for by this watch ☜
Thank you boult cosmic and flipkart 🔥🔥",35-44,F," Palanpur, Gujarat",Homemaker,June,2021,Q2
Great quality in such a price. Easy to connect and access. Its my first smartwatch! Lets c how it goes!,Under 18,M," Lucknow, Uttar Pradesh",Student,December,2021,Q4
Good Product.,55 and above,F," Hosapete, Karnataka",Homemaker,July,2024,Q3
Very good..,25-34,F," Gwalior, Madhya Pradesh",Homemaker,November,2024,Q4
Value for money,45-54,M," Kolkata, West Bengal",Freelancer,October,2020,Q4
Nice product,Under 18,M," Dewas, Madhya Pradesh",Student,September,2022,Q3
Nice watch,55 and above,M," Belgaum, Karnataka ",Retired,September,2022,Q3
Nice product 👍,25-34,M," Haldia, West Bengal",Freelancer,April,2023,Q2
Best watch,25-34,M," Patna, Bihar",Freelancer,December,2020,Q4
"Nice products in this range
Too good product",55 and above,M," Kanpur Nagar, Uttar Pradesh",Retired,March,2022,Q1
Super....,35-44,F," Salipur, Odisha",Homemaker,August,2022,Q3
Superb nice,25-34,M," Hazaribagh, Jharkhand",Freelancer,July,2021,Q3
BEST QUALITY 🔥✌️,18-24,F," Mankapur, Uttar Pradesh",Working Professional,May,2023,Q2
It's really cool 😇,18-24,M," Sheikhpura, Bihar ",Freelancer,April,2024,Q2
Best watch at this price..The step counter is accurate and overall performance and touch is smooth..Loved it❤️,35-44,M," Pathanamthitta, Kerala ",Freelancer,October,2021,Q4
Worth it 🥰,18-24,M," Cuttack, Odisha",Working Professional,October,2022,Q4
Awesome Watch with a Premium Finish,18-24,M," Bengaluru, Karnataka",Working Professional,January,2022,Q1
Nice good product,Under 18,F," Yamunanagar, Haryana",Student,April,2020,Q2
Super,45-54,M," Lalpet, Tamil Nadu",Freelancer,September,2023,Q3
Good condition,25-34,F," Ranchi, Jharkhand ",Homemaker,October,2023,Q4
Superb Watch so nice working looks good,Under 18,M," Bagalkot, Karnataka",Student,November,2024,Q4
Worth of cost,Under 18,M," Krishnagiri, Tamil Nadu",Student,November,2020,Q4
Awasome product quality good,Under 18,F," Kadiri, Andhra Pradesh",Student,September,2021,Q3
Nice product 👍,Under 18,M," Malda, Madhya Pradesh",Student,July,2020,Q3
Best quality product,25-34,F," Mantha, Maharashtra",Homemaker,December,2021,Q4
Super,55 and above,F," Bengaluru, Karnataka",Homemaker,January,2024,Q1
Very nice watch,35-44,F," Makardaha, West Bengal",Homemaker,August,2024,Q3
Awesome product 👏,25-34,M," Ujjain, Madhya Pradesh",Freelancer,September,2020,Q3
Worth buying 🤩😘,18-24,F," Bengaluru, Karnataka",Working Professional,January,2024,Q1
Overall best one under this range..... Features are little less... Battery is good... Display also,55 and above,F," Udupi, Karnataka ",Homemaker,November,2023,Q4
Good product,Under 18,M," Bhopal, Madhya Pradesh",Student,April,2024,Q2
It's good,55 and above,F," Alappuzha, Kerala ",Homemaker,February,2020,Q1
"very good product
pictures of this watch look like full screen without bassel
but its not bassel less
but am happy🥰🥰🥰",25-34,F," Puthenvelikkara, Kerala",Homemaker,March,2022,Q1
That's my 1st smartwatch i buy. Overall my experience is best. At my budget it is the best smartwatch.,55 and above,M," Jamshedpur, Jharkhand",Retired,December,2024,Q4
"Excellent watch, bulit quality wonderful, all things in this watch is just awesome.",55 and above,M," Udaipur, Rajasthan",Retired,June,2023,Q2
"Happy.... Superb purchased from Flipkart 🙂😊
Worth of money 💵",45-54,M," Bengaluru, Karnataka",Working Professional,January,2021,Q1
