Reviews for Boat,Age,Gender,Location,        Occupation,Month,Year,Quarter
"Good looking watch, stylist. Very elegant look. Superb battery backup. Very bright display as expected. Different health parameter measurement including sleep tracker also doing well. But you can depend on it when there is a health immergency. Exercise, while walking step monitoring almost correct. Only thing is you can here noisy sound while on bluetooth call. So in a crowded place you can't manage a call from your wrist. Otherwise it's a very good smart watch. I am satisfied. I recommend an...
READ MORE",55 and above,M," Gwalior, Madhya Pradesh",Retired,May,2023,Q2
"Top quality.
The fitting is nice.
Boat never fails to impress.
Nice display, nice design, nice strap.
Highly recommendable product.",35-44,M," Murshidabad, West Bengal ",Working Professional,January,2024,Q1
"Good smartwatch in this price. The built quality is nice, very attractive design. Also the battery is worth mentioning. The features are also amazing. Overall a handy smartwatch.",35-44,M," Murshidabad, West Bengal ",Working Professional,May,2023,Q2
good product have 2 game but dont have calculator in it,Under 18,F," Jabalpur, Madhya Pradesh",Student,August,2024,Q3
This product is good,55 and above,M," Siliguri, West Bengal",Retired,February,2024,Q1
The watch is fine. But not much future has been given. Battery back up is also good. Its design is very good.,Under 18,M," Mumbai, Maharashtra",Student,February,2021,Q1
Wow lovely this one it's so beautiful and looking nice very high level facility battery backup very long time and water resistant buildup very strong quality matterial colour so cool fasting charging lovely product value of money 💰,18-24,M," Amethi Sultanpur, Uttar Pradesh ",Working Professional,August,2021,Q3
Not good products battery back is very bad,55 and above,M," Ghaziabad, Uttar Pradesh",Retired,February,2021,Q1
"This smartwatch offers an impressive HD display and responsive turn-by-turn navigation, making it perfect for on-the-go tracking. The Bluetooth calling feature is convenient, and the sleek black metal strap adds a stylish, modern touch.",18-24,M," Bhawani Mandi, Rajasthan",Freelancer,December,2024,Q4
"I am impressed by the overall look and feel .This smartwatch is a versatile and reliable companion for everyday use. With its vibrant display, BT calling, functional crown, and durable metal-built construction, it seamlessly adapts to your lifestyle. Whether you're hitting the gym, in the office, or out for a run, this smartwatch accurately tracks your activities. The convenience of BT calling keeps you connected without constantly reaching for your phone, while the functional crown simplifi...
READ MORE",55 and above,M," Gwalior, Madhya Pradesh",Retired,June,2023,Q2
This smartwatch gives premium look in hand all functions works perfectly as expected must buy,55 and above,M," Gaya, Bihar",Retired,April,2024,Q2
This watch comes with great design and it has crown functional which is quite good for me to change its watch faces. It has navigation system which works quite amazing while using it. Its bluetooth calling works very well . Its battery backup is too long that it can lasts upto 8 days.,25-34,M," Lucknow, Uttar Pradesh",Freelancer,February,2021,Q1
"This watch is best
Look 👀 this wow",25-34,M," Vadodara, Gujarat ",Freelancer,December,2024,Q4
The watch is very nice. All the features are working. My friends liked the product and asked me for the link to order. I recommend buying the item; it is budget-friendly. Watch is wearable with all the outfits. The watch matches well with the traditional outfits. Even the tracker is good,45-54,M," Gwalior, Madhya Pradesh",Freelancer,December,2022,Q4
"Best Watch .
And Fast Delivery..",35-44,M," Madhepura, Bihar ",Working Professional,December,2020,Q4
"Watch is one of my favorites gadgets of all time as it fetched my so many compliments whenever I wear it. Bluetooth calling, Reading notification, monitoring health like blood oxygen and heart rate. It has love sport cricket, diy watch and different modes to set your watch.",18-24,F," Lucknow, Uttar Pradesh",Working Professional,April,2020,Q2
"Watch has big display, functional crown and such stylish look thatbit looks really great while wearing. There are so many features like Bluetooth calling which works great and you can even get notifications on it and a bug screen and smooth user interface helps in managing notifications smoothly. Battery also runs quite long and it is dust, Splash and sweat Resistance too.",45-54,F," Lucknow, Uttar Pradesh",Homemaker,March,2024,Q1
"Watch looks really stylish and it totally goes with my work attire. Color this watch provide is really great for casual wear and formal wear too. Watch has Bluetooth calling feature, it also helps in tracking myndaily activities. I use it through my workout routine as it is dust, sweat and splash Resistance too.",45-54,M," Lucknow, Uttar Pradesh",Homemaker,September,2021,Q3
"The sport lunar watch is really nice. It has good features. That's good navigation features as well. I ordered steel belt , which is really nice.",18-24,F," Kalyan, Maharashtra",Working Professional,September,2023,Q3
"I found the boat Smartwatch to be a solid choice with its sleek design and robust fitness tracking capabilities. The display is vibrant and easy to read, and I appreciate the water resistance feature for added durability during workouts. The long battery life is also a definite plus. In this price this watch is awesome. Its metal body provides this attractive look",25-34,F," Gwalior, Madhya Pradesh",Homemaker,November,2023,Q4
"This is my first-time ownership of a smartwatch, and I would say, it is a pretty nice watch.
Pros: Smooth, Heart Rate sensor actually works, gives accurate readings (most of the time), Navigation works very well, Bluetooth calling works like a charm",25-34,F," Indore, Madhya Pradesh",Homemaker,December,2024,Q4
"This is really an amazing smart watch just loved to have this. Its quality is too good. Its perfomance is really appreciated. Amazing battery life. Too much comformtable. Looke so premium. Highly recommended
Thank you Boat and thank you Flipkart for this amazing product",18-24,F," Gwalior, Madhya Pradesh",Working Professional,October,2022,Q4
"This watch really classy and have amazing features too. I can track so many things like my daily activity, heart rate, blood oxygen etc things. It's battery also runs quite long too.",Under 18,M," Lucknow, Uttar Pradesh",Student,December,2023,Q4
"the quality as well as feature of the watch. HD display is crisp and clear, Bluetooth calling works perfectly and notifications are working. Strap quality is good.
Overall the watch is worth the money. The package was delivered in safe packing and earlier than expected. Happy with the",45-54,M," Gwalior, Madhya Pradesh",Freelancer,July,2022,Q3
"Color of this smartwatch is awesome and lovely,good connectivity also calling function is awesome and so fast
Value of money",Under 18,M," Gaya, Bihar",Student,March,2024,Q1
"This is a great gadget for someone who like stylish products That has so many features. There is Bluetooth calling, notification on it, functional crowns, monitor heart rate and blood oxygen etc. Thinsg on it. Built is quite durable and is dust, sweat and splash Resistance too.",55 and above,F," Lucknow, Uttar Pradesh",Homemaker,August,2023,Q3
"This watch has so many useful features like bluetooth calling which is great for someone who travels alot, getting text and notification on it and monitoring health parameter like heart rate, blood oxygen etc and this definitely gives very premium vibes.",45-54,M," Lucknow, Uttar Pradesh",Freelancer,December,2024,Q4
Using this watch since quite few weeks and it got so mnay compliments on how hold this one looks. Bluetooth Calling and notification are two features that is super helpful and this is also dust sweat and splash resistance.,45-54,M," Lucknow, Uttar Pradesh",Working Professional,September,2020,Q3
"Watch looks really stylish weather it's officewear or casual wear. It has so many
Features like bluetooth calling which is great for someone who travels alot and you
can also check notification on it, track heart rate, blood oxygen etc things at the same time.",45-54,M," Lucknow, Uttar Pradesh",Freelancer,August,2021,Q3
"This watch is definitely a worth purchasing gadget as it is stylish and goes with lot of office wear and casual wear. It is quite helpful features just like bluetooth calling, getting notification on it, tracking different health parameter like blood oxygen and heart monitoring etc and battery runs quite long too.",45-54,M," Lucknow, Uttar Pradesh",Working Professional,November,2020,Q4
"Watch is one my favourite gadgets as it has Bluetooth Calling which is a great features special if you are something who travel alot and battery backup is also good so it runs quite a long too. You can check notification on it, monitor hear rate and blood oxygen, daily steps and check live sport score on it too.",25-34,M," Lucknow, Uttar Pradesh",Working Professional,October,2022,Q4
"Watch looks very classy and is comfortable to wear and It goes along with all my outfits weather it's officewear or casual wear. Bluetooth Calling let's you check your calls. It is also great for monitoring health parameter like blood oxygen, heart rate and daily steps .",18-24,M," Lucknow, Uttar Pradesh",Working Professional,June,2021,Q2
"Watch have a stylish looking Desing, it looks very good with my office wear and even with casual wear too. There are so many helpful feature like Bluetooth Calling, getting notification on watch, tracking different health parameter like blood oxygen an heart rate etc.",35-44,M," Lucknow, Uttar Pradesh",Working Professional,May,2023,Q2
"This watch looks very classy and has really good features. I love how comfortable it is to wear and how stylish it looks. Bluetooth Calling and getting notification on it are my favourite features that are really helpful and I also enjoy tracking my steps, heart rate etc things",Under 18,F," Lucknow, Uttar Pradesh",Student,December,2022,Q4
Watch looks really stylish and has so many features like bluetooth calling which let's you receive call on it and even check notification on it. I even monitor my health parameter like blood oxygen and heart rate monitoring and watching my steps.,Under 18,F," Lucknow, Uttar Pradesh",Student,June,2020,Q2
Watch looks stylish and has quite features too. Bluetooth Calling is such a helpful feature in daily use and you can also check notification in it as it has a good big screen and very smooth user interface to use. You can also monitor blood oxygen and heart rate on it too.,35-44,M," Lucknow, Uttar Pradesh",Freelancer,February,2022,Q1
"Watch is very stylish looking and goes well with office wear and casual wear too. It has Bluetooth Calling that comes handy to check and receive calls and also you can see notification in it too. You can monitor your health parameter like heart rate and blood oxygen and this watch is dust, sweat and splash resistance too....",35-44,M," Lucknow, Uttar Pradesh",Working Professional,February,2020,Q1
"Watch is of great desing and quality,display is quite big and overall it look stylish. You can monitor health parameters like blood oxygen,Heart rate, Bluetooth calling and get notification on it. Battery backup is quite long and had live sport score too.",55 and above,F," Lucknow, Uttar Pradesh",Homemaker,July,2023,Q3
"Watch is a stylish gadget and it has so many features like big display, smooth user interface, functional crown etc that makes using this watch so easy. Bluetooth calling is definitely the best feature that I use most and even checking out notification on it.",25-34,F," Lucknow, Uttar Pradesh",Homemaker,March,2024,Q1
"This watch comes with amazing features like Bluetooth calling, functional crown and navigation are quite helpful for me. This watch faces comes with DIY system which is very unique and good one. Its design and built quality is so better. Its battery backup is quite long as well that it can runs up to 8 days.",Under 18,M," Lucknow, Uttar Pradesh",Student,October,2022,Q4
"Watch looks really stylish and it packed with features. It has a big display and function crown and 700+active modes too. You can track so many features like heart rate, blood and oxygen monitoring. Bluetooth calling is definitely my favorite feature as I travel alot.",18-24,M," Lucknow, Uttar Pradesh",Working Professional,August,2023,Q3
"This watch looks very stylish in my wrist. It goes with all outfits like gym wear, casual wear and formal wear too. It has features like turn by turn navigation which is quite helpful for navigating any places. Its bluetooth calling works very well while driving. So Highly recomended.",18-24,M," Lucknow, Uttar Pradesh",Freelancer,July,2024,Q3
"Definitely recommended this watch to corporate people as it looks really stylish while wearing and you get so many compliments on it. It is also jam packed with so many features like advances Bluetooth calling, live sport score, etc. I track my Daily activities on it too like steps, Heart rate and blood oxygen monitoring etc.",45-54,M," Lucknow, Uttar Pradesh",Freelancer,October,2022,Q4
"This watch looks very amazing on my wrist. It's features helps with so many things like bluetooth calling , monitering the heart rate and oxygen level as well. This watch has so many watch faces. Its built quality is top notch. Value for money product.",25-34,M," Lucknow, Uttar Pradesh",Working Professional,January,2023,Q1
"I am quite impressed with quality and features of this watch, it looks stylish and goes with all my outfit weather it is office wear or casual wear. This has Bluetooth calling and you can even check notification on it. User Interface is so smooth and screen is so big that it's easy to use it and you can track so many health parameters on it at the same time.",25-34,M," Lucknow, Uttar Pradesh",Working Professional,October,2023,Q4
"This watch is perfect for me as it comes with bluetooth calling which is very helpful for me while driving. It's display looks quite classy on my wrist. It's battery is so long that it can lasts upto 8 days. It have so many features like navigation, heart rate etc . Highly recommended",35-44,F," Lucknow, Uttar Pradesh",Homemaker,September,2024,Q3
"Watch in this color is such a Staple gadget to have as it goes with almost all your outfits ,even your office wear, your casuals and even occasion wear too. There are so many features like functional crown, sports mode, live sport score etc which makes it quite useful and beat has to be Bluetooth calling.",18-24,M," Lucknow, Uttar Pradesh",Freelancer,May,2023,Q2
"I have gifted this watch to my wife. This watch comes with so many features like bluetooth calling, DIY watch faces etc. It has 700+ active modes which is quite good for my wife. It's battery backup is quite long that it can lasts upto 7 days....",45-54,M," Lucknow, Uttar Pradesh",Working Professional,October,2024,Q4
"Watch is great quality and totally a investment as it goes perfectly with my office wear as well my casual wear. It has so many features and my favorite has to be Bluetooth calling as it comes really handy while I am traveling and cannot reach my phone. It also has so many watch faces, you can check live sport score, it is dust, sweat and splash Resistance too.",25-34,M," Lucknow, Uttar Pradesh",Freelancer,December,2024,Q4
"This is the best watch I have ever purchased in this range. It have so many features like SOS emergency, functional crown etc. It is best for it's navigation system. It's display is 1.39 cm which is quite good for me and it's user interface works very well....",Under 18,M," Lucknow, Uttar Pradesh",Student,May,2020,Q2
I loved this watch very much. Its round dial is so attractive. Its screen quality is very good. Connectivity between watch and phone is very easy. Health app are more accurate. Navigation is also very helpful. Thanks For this watch..,18-24,M," Purba Medinipur, West Bengal",Working Professional,May,2022,Q2
"The look of this watch is very good and of supreme quality
The personality it adds is awesome
Feels awesome specially it's rotating dial
Loved this watch too much",35-44,M," Haldia, West Bengal",Freelancer,July,2020,Q3
this bluetooth calling watch are so amazing literally i am becoming fond of boat watches as it is so budget friendly and build quality is superb,35-44,F," Navi Mumbai, Maharashtra",Homemaker,July,2020,Q3
"Recently have purchased boat Luna discovery smartwatch and I'm impressed with the Boat Smartwatch! This affordable timepiece packs a punch with features like heart rate monitoring, GPS, and water resistance. The 1.6-inch curved touchscreen display is vibrant and responsive. Battery life is long lasting While app selection is limited, its fitness tracking and notification features shine. A great value-for-money option for fitness enthusiasts and budget-conscious buyers. The strength of the wat...
READ MORE",35-44,M," Gwalior, Madhya Pradesh",Working Professional,July,2020,Q3
"This watch looks stylish especially on workwear and even with casuals it looks good. Watch has so many features like functional crown, watchface, Bluetooth calling, Heart rate and blood oxygen monitoring etc that are quite helpful. It has good battery backup and is dust , sweat and splash Resistance too.",45-54,M," Lucknow, Uttar Pradesh",Working Professional,May,2024,Q2
I loved it,35-44,F," Ahmedabad, Gujarat",Homemaker,July,2024,Q3
Value for money.,Under 18,F," Pondicherry, Puducherry",Student,May,2024,Q2
Nyc,25-34,F," Morigaon District, Assam",Homemaker,July,2020,Q3
"Amazing product
Some things to improve like longer battery, games should be in it
Thank you...",18-24,F," Upper Assam Division, Assam",Working Professional,April,2022,Q2
Very good product,45-54,F," Magadh Division, Bihar",Homemaker,August,2022,Q3
Awesome,45-54,M," Kota, Rajasthan",Freelancer,August,2023,Q3
"The watch is good. Battery drains little fast.
Worth for money...",45-54,F," Erode, Tamil Nadu",Homemaker,November,2021,Q4
My daughter love this product and it is work very nice. Thank you flipkart 😊,45-54,F," Motihari, Bihar",Homemaker,March,2021,Q1
This is not good charging,18-24,M," Bengaluru, Karnataka",Working Professional,July,2023,Q3
Nice product,25-34,M," Ganjam, Odisha ",Freelancer,August,2021,Q3
Boat is good product mind blowing jabardasth.....🌹🌹🌹,Under 18,M," Kolkata, West Bengal",Student,July,2023,Q3
Very,35-44,M," Amanganj Panna District, Madhya Pradesh",Working Professional,April,2023,Q2
Nice 👍,35-44,M," Ramgarh, Rajasthan ",Working Professional,September,2020,Q3
Good,45-54,F," Santipur, West Bengal",Homemaker,February,2022,Q1
Belt quality is very low...,35-44,F," Kolkata, West Bengal",Homemaker,January,2023,Q1
"Only look is good..rest all is worst..navigation is worst battery drain in 1 day.
Not value for money",25-34,M," New Delhi, Delhi",Freelancer,July,2022,Q3
Price range best smart watch,18-24,M," Mundargi, Karnataka",Freelancer,March,2023,Q1
Battery suddenly get 100 percent instantly then get discharged in few minutes . Battery is not good.,18-24,M," Bokaro Steel City, Jharkhand",Working Professional,February,2024,Q1
Raise to wake not work properly otherwise it is superb features are good,35-44,M," Bijapur, Karnataka ",Working Professional,July,2021,Q3
"Very nice
I like it",Under 18,F," Asansol, West Bengal",Student,December,2022,Q4
Very nice,35-44,M," Patna, Bihar",Freelancer,July,2022,Q3
I bought this smartwatch a week ago and I am very happy with it. It has a beautiful AMOLED display that is bright and clear. It has so many features that are truly helpful to my daily busy life. The touch screen is responsive and easy to use. Truly loved it. From metal build to durable designs.,55 and above,F," Siliguri, West Bengal",Homemaker,January,2023,Q1
"It is very amazing quality product and price is also good.
Looking is very amazing and themes is also attractive. Calling system is very supperb with good sount quality. I like this smartwatch very much. Value of money product.",18-24,M," Dausa, Rajasthan",Freelancer,August,2024,Q3
"Awesome Product 😎
All Features Are Very Excitement 🥰",35-44,M," Jena, Jharkhand",Freelancer,December,2021,Q4
"The Boat Utima Prism Smart Watch combines functionality and style bringing a host of features to your wrist. Packed with smart technology it aims to elevate your fitness tracking communication and lifestyle experience. In this review we will delve into the key aspects of this smartwatch assessing its design performance fitness tracking capabilities and overall value for money.

Design and Display:
The Boat Utima Prism boasts a sleek design with a square-shaped dial which gives it a modern and...
READ MORE",Under 18,M," Siliguri, West Bengal",Student,November,2022,Q4
Best watch,35-44,F," Sobhaganj, West Bengal",Homemaker,February,2022,Q1
"Display is Good
Battery is Good to
Build Quality:- plastic not metal

Sensors are as usual bad. They are showing BPM reading of my cooler.😂
calculator not available
Game not available
Go for it.
If your Health tracking is not priority
Although They all are digital watch at this price range not smart watch ❌",35-44,F," Patna, Bihar",Homemaker,July,2023,Q3
Battery capacity lower,25-34,M," Sri Madhopur, Rajasthan",Working Professional,July,2024,Q3
Nice product. But battery 🔋 life not good.,55 and above,M," Noida, Uttar Pradesh",Retired,July,2022,Q3
"I am totally amazed by the features, battery life of this smart watch,. A seamless bluethoot calling feature which makes picking call so accessible from the watch the software is very good feel great to wear it",18-24,M," Surat, Gujarat",Freelancer,August,2024,Q3
Battery quality very poor,45-54,M," Kolkata, West Bengal",Working Professional,September,2023,Q3
Nice..,Under 18,M," Pimpri Chinchwad, Maharashtra",Student,July,2023,Q3
Awesome,18-24,M," Prayagraj, Uttar Pradesh",Freelancer,January,2021,Q1
"Good product value for money 💰 🤑
Must buy",18-24,F," Vasai Virar, Maharashtra",Working Professional,August,2023,Q3
Wow,35-44,F," Lucknow, Uttar Pradesh",Homemaker,November,2023,Q4
Not bad 🙃,Under 18,M," Purba Bardhaman, West Bengal ",Student,February,2024,Q1
So beautiful watch,55 and above,F," Medinipur, West Bengal",Homemaker,July,2022,Q3
Good Product... But the App is laggy and watch faces are very limited,18-24,M," Kolkata, West Bengal",Working Professional,January,2024,Q1
Stainless steel strap is good quality and Awesome product such a valuable Money.,35-44,F," Chennai, Tamil Nadu",Homemaker,December,2023,Q4
Best product of boat. Battery backup is good as they mention. Voice quality of call is awesome. Best for gift.,35-44,M," Surat, Gujarat",Working Professional,February,2021,Q1
Nice product 😃,18-24,M," Ahmedabad, Gujarat",Freelancer,September,2022,Q3
Good product good price,55 and above,M," Durg, Chhattisgarh",Retired,May,2024,Q2
Overall it's a good product.,35-44,M," Durgapur, West Bengal",Freelancer,March,2022,Q1
Very good for boat awesome watch,45-54,M," Ashwaraopet, Telangana",Freelancer,September,2023,Q3
Good performance in watch and resenble cost,55 and above,M," Hindupur, Andhra Pradesh",Retired,July,2023,Q3
Loved it,35-44,F," Puruliya, West Bengal ",Freelancer,November,2021,Q4
"Little Disappointed Because In Boat Storm Wall Smartwatch There is music System, You Can Listen Music In Watch While That is Cheaper Than This.
I Thought Since The Brand Is Same And It is Little Costlier Also The There Must Be All The Features of Storm Wall and I Went For It..
Overall It's Good...",25-34,M," Vasai Virar, Maharashtra",Working Professional,September,2020,Q3
Value for money,45-54,M," Kalyani, West Bengal",Working Professional,January,2020,Q1
Osm watch ⌚,Under 18,F," Gonda, Uttar Pradesh ",Student,September,2022,Q3
"Display quality is very nice 👍
Perfect ultra HD wallpaper",45-54,M," Ramanagara, Karnataka",Freelancer,May,2020,Q2
Awesome product value of money,35-44,M," Mehandipur, Rajasthan",Retired,May,2020,Q2
"This was my gift from my father, and I LOVE THIS! The Boat ultra prism is really helping me see my health stats, sleep habits, and my heart rate. This is exactly what I needed to keep myself accountable. It has everything you need to be successful at being healthy, especially the readiness score, stress management, and health metrics. I appreciate the goals to set, and I'm loving tracking my calories and water intake as well. I highly recommend the Boat ultra prism Smartwatch.",45-54,M," Maithon, Jharkhand",Working Professional,June,2023,Q2
Good product,18-24,M," Bengaluru, Karnataka",Freelancer,September,2023,Q3
Super,Under 18,M," Anantapur, Andhra Pradesh ",Student,November,2023,Q4
Nice watch ⌚,25-34,M," New Delhi, Delhi",Freelancer,February,2023,Q1
"Amazing look, design or cloure",45-54,F," Nalagarh, Himachal Pradesh",Working Professional,July,2020,Q3
Colour and service are too good 😊👍😊👍,55 and above,F," Aligarh, Uttar Pradesh",Homemaker,April,2021,Q2
Best quality at this price. Nice display quality and nice strap quality...,Under 18,M," Kalna, West Bengal",Student,March,2023,Q1
Nice 👍,55 and above,F," Dhanbad, Jharkhand ",Homemaker,May,2024,Q2
Good,45-54,M," Sujangarh, Rajasthan",Freelancer,September,2024,Q3
"Nice watch
Nice display
Smart look
Amazing look
Nice watch function
Nice watch features",55 and above,M," Dhar, Madhya Pradesh",Retired,September,2022,Q3
Nice Product and Gentle Gestures for Hands,25-34,M," Tumakuru, Karnataka",Freelancer,November,2024,Q4
"Top 5 reasons to buy this watch
1 Amoled display,
2 U will get Calling Feature in this price segment
3 Always on Display (u can on/off from Notification bar)
4 Music Control (With Volume Up/Down)
5 600+ Dial Theme in app",55 and above,M," Muzaffarpur, Bihar",Retired,April,2023,Q2
Very nice 👍🙂 smart watch is very very very beautiful ❤️❤️❤️❤️❤️,25-34,M," Kolkata, West Bengal",Working Professional,May,2024,Q2
This amoled big display watch looks so good on my wrist its battery backup is so good. Its sports mode works good while you do physical activity. Its calling feature works very well. Highly recommended.,35-44,M," Lucknow, Uttar Pradesh",Working Professional,November,2023,Q4
Just love it ☺️,45-54,F," Jajapur, Odisha ",Homemaker,February,2022,Q1
"The watch has a premium look with a sleek metal finish. The rubber strap quality is also wonderful.
The sturdy design makes it wearable during workouts and it feels quite comfortable for wearing while sleeping as well.
The display clarity and wake up gesture response time are impressive. The quality of 1.96 display is awesome and its visible in direct sunlight as it is an Amoled display.
Speaker quality is also great with clear audio quality and volume.",25-34,F," Vasai Virar, Maharashtra",Homemaker,June,2024,Q2
Nice,25-34,F," Purba Bardhaman, West Bengal ",Homemaker,November,2023,Q4
Best smart watch I have used quality of this boAt Ultima Prism watch is amazing it's work very well it's looking very premium built quality is superb display is also too good call quality is superb packing also too good overall very good smart watch value for money deal must buy.,45-54,M," New Harsud, Madhya Pradesh",Working Professional,December,2023,Q4
"Nice quality, battery backup is super.display is super .good quality smart watch.value for money .must buy this product.also overall good .",35-44,F," Mayurbhanj District, Odisha",Homemaker,February,2021,Q1
Value of money. Very nice watch. I like it features is very good I am happy 😊 with this watch.,25-34,F," Una, Himachal Pradesh",Homemaker,May,2024,Q2
Display very good,25-34,M," Kolkata, West Bengal",Working Professional,October,2021,Q4
Battery 🔋 breakup poor,18-24,M," Mirzapur Cum Vindhyachal, Uttar Pradesh",Freelancer,January,2023,Q1
Battery problem,45-54,F," Barpeta, Assam",Homemaker,January,2023,Q1
Balanced products value of money,18-24,F," North Twenty Four Parganas District, West Bengal",Working Professional,December,2020,Q4
Very good looking,35-44,F," Kaimur Bhabua, Bihar ",Homemaker,June,2023,Q2
"Battery is very bed , full charge battery work only 3 hours",35-44,M," Chandrapur District, Maharashtra",Working Professional,May,2022,Q2
Nice,45-54,M," Paschim Medinipur, West Bengal ",Freelancer,September,2020,Q3
Superb,45-54,M," New Delhi, Delhi",Freelancer,March,2021,Q1
Nice 👍👍👍👍👍👍 watch,25-34,M," Chamoli District, Uttarakhand",Working Professional,February,2022,Q1
"The product is quite disappointing because its battery doesn't even last for two days, and sometimes I encounter display issues where it won't wake up when I raise my wrist.",55 and above,F," Chikodi, Karnataka",Homemaker,August,2023,Q3
Ok,25-34,F," Raipur, Chhattisgarh",Homemaker,November,2022,Q4
Super,Under 18,M," Palakkad, Kerala ",Student,July,2021,Q3
Nice 👍,35-44,M," Barasat, West Bengal",Working Professional,October,2022,Q4
Worst quality item. Waste of money. Touch is not working properly. Once purchased there is no option for return.,25-34,M," Cuttack, Odisha",Freelancer,April,2024,Q2
Bad watch battery not backup properly please don't buy this product,18-24,M," Asansol, West Bengal",Working Professional,January,2021,Q1
Nice product,18-24,M," Kalaigaon Town Part, Assam",Working Professional,March,2022,Q1
Battery backup normal......btw 👍🏻 nice,55 and above,M," Ajnala, Punjab",Retired,September,2020,Q3
"Battery saver nice
And look excellent",25-34,M," Medinipur, West Bengal",Working Professional,June,2022,Q2
Nice product,45-54,M," Ahmedabad, Gujarat",Freelancer,December,2023,Q4
"Really pathetic, 2 day battery life",18-24,M," Vengola, Kerala",Working Professional,December,2020,Q4
It was very nice and it has nice display,18-24,F," Bettiah, Bihar",Working Professional,August,2022,Q3
"After using it for 10 days here are some pros and cons I want to share.
Pros
1- Very good and bright display
2- All the tracking parts like walk heart rate o2 and others are perfect.
3- Wide variety of watch faces to choose from.
4- Kinda fast charging.
5- Good sound and vibration for incoming calls and messages
Cons
1- Battery drains super fast if your device is connected via bluetooth to your phone then it'll hardly take 6-7 hours to drain battery from 100% to 30%",55 and above,M," Jamshedpur, Jharkhand",Retired,September,2024,Q3
Good,Under 18,M," Ranaghat, West Bengal",Student,May,2021,Q2
Good,25-34,M," Purba Medinipur, West Bengal",Freelancer,February,2024,Q1
Nice to,35-44,M," Satara, Maharashtra ",Freelancer,December,2024,Q4
This product is awesome,25-34,F," Bhubaneswar, Odisha",Homemaker,January,2024,Q1
"Very nice, it's suits me 🤗
Value for money",Under 18,M," Uttar Dinajpur District, West bengal",Student,November,2020,Q4
"Nice product, value for money 🤑🤑💰💰",18-24,M," Rajkot, Gujarat",Freelancer,August,2023,Q3
Nice,18-24,F," Kota, Rajasthan ",Working Professional,April,2023,Q2
Average wat,35-44,F," Konkan Division, Maharashtra",Homemaker,April,2022,Q2
"A really nice product, but the battery lasts just 2 days with AOD enabled.",35-44,M," Kolkata, West Bengal",Freelancer,August,2021,Q3
"Very good display and build quality is really good.
Activity tracking is good and considering the price paid it is worth.
Battery backup is around 10 days without calling enabled
Looks very good with metallic finishing. Go for it.",35-44,M," Ghaziabad, Uttar Pradesh",Working Professional,August,2021,Q3
Good,25-34,M," Imphal, Manipur",Freelancer,August,2024,Q3
"This one from boat is the feature full smartwatch. The HD display is fantastic, the metallic straps add a premium feel to the overall look of the watch. All the necessary sport modes are available. The best part is the app support provided for controlling and operating the watch. Overall perfect one under the price range, go for it!",Under 18,M," Meerut, Uttar Pradesh ",Student,July,2021,Q3
It's look is very luxurious and I am using it and it is very helpful to me even in dark when I walk. I could easily connect my phone in it and could listen songs from it. In fact it is my companion moving along with me wherever I go. In another word it is like shade that follows you. I can also know about my health by knowing my heart beat as well as my BP. I thank the maker who put his sole heart and mind in it. Battery life is also good.Value for money..,35-44,M," Ratia, Haryana",Retired,August,2020,Q3
I recently gifted this to my friend and she loves it. The premium and stylish design especially with the cherry blossom strap immediately caught her eye. The AMOLED display is clear and makes it easy to check notifications and fitness stats. She loves the Bluetooth calling feature which lets her make calls without her phone. The battery lasts up to 7 days so she does not have to charge it often. Highly recommended.,25-34,F," Saharanpur, Uttar Pradesh",Homemaker,June,2021,Q2
"The boAt Ultima Regal Smartwatch combines style and functionality with its stunning 2.01 AMOLED display and intuitive crown navigation. The Bluetooth calling feature works seamlessly, ensuring connectivity on the go, while the SOS mode adds a layer of security. With 100+ sports modes, it caters to fitness enthusiasts effectively. Overall, it's a reliable and versatile smartwatch for everyday and fitness use.",35-44,M," New Delhi, Delhi",Freelancer,January,2024,Q1
Good 💯,55 and above,M," Jahanabad, Uttar Pradesh",Retired,September,2024,Q3
"Really a worthy product. I've been using this for the past few days, the first thing I noticed is it's battery backup and played a key role in many positive feedback. Fast Bluetooth connectivity and enhanced calling feature are the best thing I get in this price range. It is best for testing your vitals accurately with precise manner. Other sport modes are excellent at this price range. Apart from this it is stylish and formal looking that we can use it at any function, office, exercises, etc...
READ MORE",55 and above,M," Mumbai, Maharashtra",Retired,March,2022,Q1
This product has very good design and look with multiple activities and features.This watch has superior quality and worth and value of money paid for it.,Under 18,F," Varanasi, Uttar Pradesh",Student,May,2022,Q2
Really good smartwatch with an amoled display. The build quality is very good. Battery backup is good with great calling performance and features. Go for it.,35-44,M," Ghaziabad, Uttar Pradesh",Working Professional,October,2022,Q4
You deliver decent good as aspected quality,18-24,M," Changlang District, Arunachal Pradesh",Freelancer,May,2023,Q2
Very nice product,35-44,M," Surat, Gujarat",Working Professional,April,2021,Q2
Loved the product. Looks stylish and chic at the same time. Very easy to use. Gives a premium feel.,35-44,F," Kolkata, West Bengal",Working Professional,February,2022,Q1
Amazing quality watch I love design build quality also display size very good and good features also calling features very good and battery performance nice,Under 18,M," Sagar, Madhya Pradesh",Student,August,2022,Q3
