Reviews for Amazfit,Age,Gender,Location,        Occupation,Month,Year,Quarter
Just go for it. You will not get a better looking better value for money watch other than this in the market... Premium looks and fluidic UI makes for the best experience.,35-44,M," Chennai, Tamil Nadu",Freelancer,February,2024,Q1
Stopped working in a month,Under 18,M," Thiruvananthapuram, Kerala ",Student,October,2023,Q4
"First of all i thing this is big watch, but it's perfect fit..

Should improve connectivity

Watch faces are not good, and trendy.. should add more watch faces frequently, and customisation options",55 and above,M," Kumbakonam, Tamil Nadu",Retired,September,2021,Q3
it was not working after 8 days of purchase my watch display was blinking with a small line .i was very unsatisfied with this product.,25-34,M," Ranga Reddy, Telangana",Working Professional,September,2022,Q3
The amoled hd display looks so attractive😍,55 and above,M," Ponda, Goa",Retired,January,2020,Q1
"It'ssssssss toooooooo tooo good as what i expect..
Good Quality,I'm using this product from past 1 month,its totally splendid...
Classy look.!
Awesome Build Quality...!
Impressed With Amoled with AOD Display..!
Its too much too telll ,blah blah blah.............
just buy this product and have experience on it.
Worth of buying and the best buy,go for it guys...........!",35-44,M," Chennai, Tamil Nadu",Working Professional,December,2024,Q4
"Excellent display, stylish design and voice quality in calling is great. Thank you",35-44,M," Ernakulam, Kerala",Freelancer,April,2022,Q2
Looks premium.blutooth calling quality is great,18-24,M," Kavali, Andhra Pradesh",Working Professional,October,2020,Q4
Good Looking and Quality of this product is very good,45-54,M," Nellore, Andhra Pradesh",Working Professional,February,2020,Q1
Very good product go for it,35-44,M," Hugli District, West Bengal",Working Professional,August,2024,Q3
Battery complaint and power button problem,55 and above,M," Ernakulam, Kerala",Retired,February,2022,Q1
"Don't buy this product, its button get damaged due to sweat.",45-54,F," Gorakhpur, Uttar Pradesh",Homemaker,May,2022,Q2
"After 2 or 3 months I found a problem with the main button (power button) I sent the watch to the service centre but after a few days again the same issue happened,and scratches got on the right side on the watch.",25-34,M," Ahmedabad, Gujarat",Freelancer,May,2021,Q2
"I bought the watch for Amazfit, but charging was always not proper and after just 1 year watch is not Taking charge and even if it is charging and on full charge just giving half an hour standby and then it switches off itself..Not expected this from Amazfit brand",45-54,M," Ranchi, Jharkhand",Working Professional,February,2022,Q1
"after using about a year, Battery backup is very poor,not lasting even an hour.",Under 18,M," Gird Bara, Bihargaon",Student,January,2021,Q1
"Button stopped working after an year. Battery not lasting for half a day now. All together worst experience. when checked with support they saying have to send the product to Ghaziabad, Uttar Pradesh for service and battery cost will be almost half of the product cost.I feel its better stay away from products which dosent have service centers near by your area",55 and above,M," Thiruvananthapuram, Kerala",Retired,August,2023,Q3
Product is awesome but there should be some ota updates in order to improve the watch,55 and above,M," Mandi Govindgarh, Punjab",Retired,October,2021,Q4
"In around 6 months of usage, the watch developed rust along the sides of the dial. You shouldn't buy this even if the price drops below 500.",Under 18,M," Bhopal, Madhya Pradesh",Student,November,2023,Q4
Wasting money on buying this smart watch.,25-34,M," Jaipur, Rajasthan",Freelancer,December,2020,Q4
"Was looking for a smartwatch with onboard storage and fairly reliable readings. GTR 2 met all the criteria. Would have bought original GTR 2 if it was available at the same price. Bluetooth calling is the only major difference between original and updated version. Didn't make much difference to me as I would not be using that feature. Happy with the purchase. Only feature missing is the temperature sensor which is available in GTR 2e. Just a note, onboard storage for music is not 3gb. It's ar...
READ MORE",25-34,M," New Town, West Bengal",Working Professional,October,2024,Q4
"It’s good, but need improvement in notifications while using phone",45-54,M," Puruliya, West Bengal",Freelancer,September,2020,Q3
"I really found it worth. Amazing look, good features and voice in the smartwatch is also good and very clear.",Under 18,F," Pimpri Chinchwad, Maharashtra",Student,July,2021,Q3
"Tremendous watch!


This is my first watch which i bought with my savings and with help of my dad for my birthday and i totally love it.....this is my first day of wearing this i got this on 20 november and my birthday is on 21 November which is tomorrow and I'll will update this review after a week and if you are planning to buy this one go for it and go through thoroughly on reviews on this one...thank you! If you read😂! Happy 16 for Mee!

Review after owing 7 months:
I used it for Seven m...
READ MORE",Under 18,M," Kurnool, Andhra Pradesh",Student,November,2024,Q4
"Its more than a couple of weeks since m using this smartwatch, and I am using it day and night and ve checked most of its features.
So except one of its feature ie offline voice command or alexa is not good at all till now, but rest all the features are working really very good.
Calling from it is fine.4.5/5
Music sound from watch is very good(same like my iphone12).4/5
Activity tracking is very good.4.5/5
Alarm, PAI, Zepp app everything is going very good 4.5/5,till now.
Amoled display, touc...
READ MORE",45-54,M," Jourian, Jammu and Kashmir",Freelancer,March,2022,Q1
"Best in segment 👍
#recommended",45-54,M," Marigaon, Uttarakhand",Working Professional,June,2021,Q2
I just think to buy a smartwatch i thinking to buy noise watch then I think to buy OnePlus good branded watch but I buy amaze fit GTR 2 New version it's so amazing good looking smart watch good brand I love it.,Under 18,M," Canacona, Goa",Student,July,2023,Q3
Price worth,Under 18,M," Davanagere, Karnataka",Student,May,2020,Q2
"Super super smart watch

The best of smart watches I ever used.
The only thing that lacks in this watch is: you cannot dial ot make calls from this watch. But, you can receive calls and talk to ur caller very clearly. The speaker and mic quality is superb.
The best thing I loved from this watch is the crisp and vibrant amoled display of the watch. The watch faces are attractive.

Another impressive thing in the watch is the battery. I am using this with always on Display, heart rate monitori...
READ MORE",35-44,M," Kasargode, Kerala",Freelancer,January,2020,Q1
"Verry nice product...
Screen resolution is soo good and touch quality is very smooth..
Battery performance good ...",25-34,M," Mumbai, Maharashtra",Freelancer,June,2022,Q2
Best smart watch....,Under 18,M," Bhubaneswar, Odisha",Student,January,2021,Q1
Very nice product,45-54,M," Unnao, Uttar Pradesh",Working Professional,May,2023,Q2
Too much khatarnak ❤️ love this watch ❤️,Under 18,M," Baruipur, West Bengal",Student,January,2021,Q1
Nice product 👍,55 and above,M," Bankura, West Bengal ",Retired,July,2020,Q3
"Nice smart watch
Firebolt invincible giving good competition for less rate
Hope they give contact and call dialing from watch feature in update like firebolt give
Overall look is gorgeous but should give leather strap or 1 extra strap for free",35-44,M," Raipur, Chhattisgarh",Working Professional,July,2023,Q3
"Design and build feels and is very good.
Touch is super responsive.
Options are tricky to understand at first. Need to read through the guide to use maximum of features.
Bluetooth calling is only inbound, you cannot initiate a call from watch, not even Alexa does it.
Speaker is loud and adjustment is super helpful. Set to the volume only you can hear and no one knows.",25-34,M," Hyderabad, Telangana",Freelancer,April,2021,Q2
Worth buying in this price. Looks premium. Lots of watch faces to choose and also workout modes. Screen is so bright even in sun light.,45-54,M," Haldwani, Uttarakhand",Freelancer,September,2024,Q3
Value for money,45-54,F," Achabal, Jammu and Kashmir",Homemaker,February,2023,Q1
"Good looking and design, battery backup 6&7 days",55 and above,M," Kozhikode, Kerala ",Retired,April,2022,Q2
"Value for money
Display quality is very good and the tracking activity also so smooth.
Watch faces could be more better than this.
Sports mode also works smoothly.
Overall the product is quite good
Go for it.",35-44,M," Prayagraj, Uttar Pradesh",Working Professional,April,2024,Q2
"The Watch AMOLED 1.39"" display is very bright and clearly visible even in sunlight. SPO2, Heartrate, stress monitor are very accurate. Step counting also accurate. It has Bluetooth Calling feature but only to answer the call. You can not Dial call from watch. Watch looks good on wrist and strap quality also good and convenient to wear for 8-10 hours. There is no quick reply message feature after rejecting call. Also you can only read notification can not reply.",18-24,M," Ahmedabad, Gujarat",Working Professional,September,2024,Q3
"The design battery backup is good, activity tracking needs to be more accurate, you can't connect earbuds and phone together which means you can't take calls on your earbuds, haven't seen option to make a blue tooth call, this was claimed to be an upgrade in the new version",25-34,M," New Delhi, Delhi",Working Professional,February,2023,Q1
Sleek body beautiful screen and very good strap. I am happy with the watch,25-34,F," Thane, Maharashtra",Homemaker,January,2022,Q1
"It's a nice looking watch with many potential third party integration support. But that's all. You cannot trust this device for activity tracking, sleep cycle monitoring or calories burnt. I get too many false readings from time to time. The sleep cycle is off track. Gives many false step count and often unnatural high heart rate alert. I guess it's a nice to have watch with a good display, phone call ability and reminders. Other than that don't trust it for health tracking at all. My old Hon...
READ MORE",35-44,M," Bengaluru, Karnataka",Freelancer,September,2021,Q3
Watch built quality is superb. The main concern is battery 🔋 with call feature the battery lasts for a whole day that's horrible. Overall watch activities tracking is good and measures accurate spo2 and heartbeat. The speaker 🔊 is quite good and calling with speaker is good in peaceful environment and it's not that much loud for outer environment. Go for it it's a good buy🙏🙏,25-34,M," Madhepura, Bihar ",Working Professional,October,2024,Q4
"Pros,
1. Software optimisation is good,
2. UI is fluid and snappy
3. Would be better if it has Zepp OS for this price instead of Amazfit OS, Zepp OS can install apps.
4. Can install 3rd party watch faces
5. Can attend and speak incoming call
6. Can play music from watch it has 2.7gb onboard storage
7. Can connect and play music directly to Bluetooth headphones, speakers without phone.
8. GPS does a decent job
9. Compass was great
10. Good fitness tracking modes and sleep tracking

Cons
...
READ MORE",25-34,M," Tiruppur, Tamil Nadu ",Working Professional,June,2023,Q2
Good quality and good look,25-34,M," Thiruvananthapuram, Kerala",Working Professional,January,2022,Q1
"I'm writing this review after 3 weeks of hard use of this watch, this is brilliant.
Pros: Amoled screen, Amazing Colours, Nice looking, Brilliant activity Tracker.
Cons: Some features aren't available like reminder of drinking water.

Over all, This watch looks brilliant when used with AOD. Go for it.",25-34,M," Tohana, Haryana",Freelancer,February,2022,Q1
"In this Price segment,it is far better from other smartwatch Brand Watches.",25-34,M," Cuttack, Odisha",Freelancer,July,2023,Q3
Good product,25-34,M," Warora, Maharashtra",Freelancer,November,2024,Q4
"Very smooth touch response & the screen is so beautiful to look at. The tracking modes are quite good but needs improvement. Battery is well good. Using whole 1day & change in battery is only 8% with having Bluetooth calling 3-4 times & having bluetooth on for 80% of the time. Haptic feedback is also smooth. Call quality is sharp & fine, the opposite party could hear me at ease. Overall a value for money product for me. And last but not the least, thanks to whole Flipkart team for fast deliv...
READ MORE",Under 18,M," Santipur, West Bengal",Student,June,2020,Q2
"Ok I got perfect new sealed smartwatch. Works fine . I am fully satisfied . But just if someone's concern , I want to say here you can only take calls , if you want to make calls through watch . This watch has not that functionality.
Though not a big deal for me . Battery life is superb. Audio speaker is decent I guess . This is my first watch so I cannot compare sound . I am very happy .
Thank you Flipkart",35-44,M," Jammu, Jammu and Kashmir",Freelancer,September,2020,Q3
Best product. Has every features similar to Samsung watch. Good display. Some changes in the basels while compared to gtr 2 old versions.,35-44,M," Perinthalmanna, Kerala",Freelancer,June,2023,Q2
Awesome watch with awesome features 😍😍,18-24,M," Bilsi, Uttar Pradesh",Working Professional,October,2023,Q4
Awesome product,25-34,M," Coimbatore, Tamil Nadu ",Working Professional,May,2020,Q2
"The display is very good, voice call good sound...but can't save any number in it, can't call by dialing someone's number ! battery is not good, the charge is getting full in half an hour ok nice.. but the battery is going for three to four days..not more than that",55 and above,M," Balangir, Odisha",Retired,December,2023,Q4
Display is top notch.feel and build is great.Lacks some features like contact lists and Unable to make calls from watch,35-44,M," Patna, Bihar",Freelancer,April,2020,Q2
"Excellent Look.
Excellent watch faces
Excellent features.
Found battery life is Not as expected. Getting drained in just 2-3 days with continuous heart rate monitor and 3-4 days with only sleep assistance.",Under 18,M," Murgud, Maharashtra",Student,November,2020,Q4
Super amejfit,55 and above,F," Kothagudem, Telangana",Homemaker,June,2024,Q2
Just awsome product for this price..very cool looks and the display is amazing..just go for it guyezz,35-44,M," Gurugram, Haryana",Freelancer,July,2020,Q3
"Nice watch . Can pick up the call and talk. Can see mails and messages
Only con is that we can't reply to the messages on this.
Rest everything is good.",18-24,F," Faridabad, Haryana",Working Professional,December,2021,Q4
Nice Product,18-24,M," Gautam Buddha Nagar, Uttar Pradesh",Freelancer,November,2024,Q4
"Battery is drooping too quickly. I am just getting only 2 days when connected to Bluetooth.


Software related I did not find any issues till now.",18-24,M," Hyderabad, Telangana",Working Professional,January,2023,Q1
All the features are fine. BUT the MUTE option is not mute the phone ring it's just mutes watch vibration. This is really annoying everytime when receive a call. Then Bluetooth range is not better when compared to Mi Band 5.,18-24,M," Chennai, Tamil Nadu",Freelancer,August,2022,Q3
Nice,Under 18,M," Kolkata, West Bengal",Student,March,2021,Q1
First time smartwatch purchase.Strap and dial has good quality. Zepp App also seems great. Speaker quality is also good as expected. Battery backup not what has been mentioned but overall better than other premium smartwatches,Under 18,M," Rajpura, Punjab",Student,January,2021,Q1
"So far I have used the watch now for three days and I am pleasantly surprised. The features of the watch are slightly more advanced than the Fitbit Versa 3, but the cost of the watch is 70% less. The associated Android app is fully featured and is behaving well on my phone. The watch has a build-in GPS, so I can leave my phone at home on my walks, yet still register my route. The analysis of my exercises is great. I see many details I never have seen before with my Fitbits. The GTR2 new vers...
READ MORE",25-34,M," Surat, Gujarat",Freelancer,July,2024,Q3
"After 2 days of usage,
In this watch, i love the design and features. The user experience was so good.

Pros:
1. Amoled display
2. Features

Cons:
1. Battery life only for 4 to 5 days.",35-44,M," Ayyampettai Thanjavur, Tamil Nadu ",Working Professional,February,2023,Q1
Overall it is a good product.,25-34,M," Mumbai, Maharashtra",Working Professional,November,2023,Q4
Excellent but calling functionality we need a keypad to call a particular number from Amazfit itself.,Under 18,M," Chennai, Tamil Nadu",Student,May,2023,Q2
"Being a fan of gig , i highly recommend amazefit previously I used fire bolt invincible as compared to that this watch is far better than it , only missing features is blood pressure check up . Rest everything is good 🤠 amoled displays with in this segment awesome 👍",35-44,F," Hyderabad, Telangana",Homemaker,July,2024,Q3
Best smartwatch ❤️ from Amazfit,25-34,M," Prayagraj, Uttar Pradesh",Freelancer,August,2021,Q3
Nice item from Flipkart,55 and above,M," Dausa, Rajasthan ",Retired,October,2023,Q4
Good smartwatch I have ever purchase,45-54,M," Jaipur, Rajasthan",Freelancer,September,2022,Q3
Really nice product. Good watch faces are available. Sensors are good as well.,25-34,M," Bengaluru, Karnataka",Working Professional,May,2021,Q2
Awsome,18-24,M," Rajpura, Punjab",Working Professional,March,2023,Q1
Stylish and soft watch,25-34,M," Hyderabad, Telangana",Working Professional,February,2024,Q1
Overall a great watch in this price range. Always on display is awesome.,35-44,M," Indore, Madhya Pradesh",Working Professional,May,2023,Q2
"Looks awsome good design and features are very accurate
but bettary life is big issue its okay we got so many features
Must buy for price range between 6 to 7k",35-44,F," Bengaluru, Karnataka",Freelancer,November,2020,Q4
Good product,Under 18,F," Bhubaneswar, Odisha",Student,October,2021,Q4
Worth it go for it feels like premium watch,Under 18,M," Nalanda District, Bihar",Student,November,2022,Q4
So far so good.. Works perfectly fine... On my 2nd day with 85% battery...,55 and above,M," Ernakulam, Kerala",Retired,June,2024,Q2
"Cons: Calls can't be dialled, only receiving is possible. There are many other watches under this price category which offers dialling. Can't control Spotify player from watch. No support for navigation apps (Google maps etc.)

Pros: Gray version is gorgeous, having premium looks. Display is bright, crisp and clear, being AMOLED and HD.",25-34,M," Thane, Maharashtra",Freelancer,January,2021,Q1
Very good product ☺️,Under 18,M," Buxar, Bihar",Student,April,2022,Q2
Amazefit trusted smart watch brand watch look premium with super amoled display fully sports mode loaded battery is also good measurement accuracy is quite good...,Under 18,M," Haldwani, Uttarakhand",Student,April,2024,Q2
Yah product was good but some time minimal problems are getting.but overall to say it's good one 👍🏻 under 8k,55 and above,M," Sathupally, Telangana",Retired,February,2023,Q1
Nice watch.. Battery last for me 3 days with heart rate and steps monitor without using aod.. Unlimited watch faces and aods you can use with application available on android.. Data sync is good.. Steps and distance record is accurate... Worth for this price..,18-24,M," Buldana, Maharashtra",Freelancer,January,2024,Q1
"I am very happy to this product and i like design, activity tracking and display, features. Overall amazfit GTR 2 is amazing smart watch",Under 18,M," Mangaluru, Karnataka",Student,January,2021,Q1
WOW 🫡,Under 18,M," Jhansi, Uttar Pradesh",Student,December,2024,Q4
Overall nice. Under 6k,25-34,F," Kolkata, West Bengal",Homemaker,August,2020,Q3
"I got It for 5000 and for that price its very very good. Display is amazing, battery is good. Way better than those cheap brands.",55 and above,M," Aligarh, Uttar Pradesh",Retired,July,2021,Q3
This product is very good for me ☺️,18-24,M," Jainagar, Bihar",Freelancer,July,2024,Q3
Superb...,Under 18,M," Kothamangalam, Kerala",Student,April,2021,Q2
Superb watch awesome ❤️,35-44,M," Kanker, Chhattisgarh",Freelancer,July,2020,Q3
Amazing watch value for money,18-24,M," Firozabad, Uttar Pradesh",Working Professional,March,2021,Q1
splendid watch !! for the price you can't ask more! Worth it !!,25-34,F," Bengaluru, Karnataka",Homemaker,November,2022,Q4
Excellent product,18-24,M," Lucknow, Uttar Pradesh",Freelancer,July,2023,Q3
Software must be improved. Features are very good. Incoming call option can't find till date only notification and vibration find. Zepp app also must be improved. Mi fitnes app is better than this and better animation. My Mi band pro is better than this. Quality of strap good. Frame and glass not upto mark. Not value for money.,55 and above,M," Tenali, Andhra Pradesh",Retired,May,2021,Q2
"Very worst experience after 20 days. I have reset my mobile and still struggling to connect the watch to mobile. It shows message 'Device not activated'.
Very few watch faces, even other brands like fire-boltt provides 100 plus watch faces.
Really waste of money no return and replacement. Think before you purchase.
Only look and finish is premium, 'Smart in Look, waste in features & connectivity.
Not expected from Amazfit......",45-54,M," Tuljapur, Maharashtra",Working Professional,January,2022,Q1
"My device AOD (always display on) is flickering when it's in sunlight,",Under 18,M," Bengaluru, Karnataka",Student,June,2024,Q2
"Overall good product, battery backup is ok, every time you have to connect it by app to use features.
Alexa is is not working, Always on display should have more options",55 and above,M," New Delhi, Delhi",Retired,January,2024,Q1
"Only issue is battery life, with AOD the battery will not last for more than 2-2.5 days.",55 and above,M," Nadia, West Bengal",Retired,September,2023,Q3
Disappointed that i can't make calls through this watch. You can only recive calls through this watch.,18-24,M," Karnal, Haryana",Working Professional,April,2020,Q2
Battery backup is too much low...,55 and above,M," Kagal, Maharashtra",Retired,November,2023,Q4
I been using this watch from last 3 days it is good and perfect. But screen response is slowly. All activities work good and it is value for money. Sleep monitoring start automatically,35-44,F," Mamun, Punjab",Homemaker,June,2020,Q2
"Nice watch value for money as its a quality watch.... And alexa is good and responsive.... For asking any question on the go.
Call function is good with zero lag and clear voice in speaker of the watch and in notification you can very last word of any message... Whole message you can scroll. Excellent💯💯 product must buy don't wait.... And waste time in thinking..",35-44,M," Lucknow, Uttar Pradesh",Working Professional,March,2023,Q1
Nice one...battery backup is good...I got almost 18 days in a single charge ...looks wise ...just wow...!!!,55 and above,M," Gwalior, Madhya Pradesh",Retired,April,2024,Q2
I am happy 😊,18-24,M," Purba Medinipur, West Bengal",Working Professional,February,2021,Q1
"my experience with this watch is amazing i love this watch because of its design it have good quality of display in this price segment i can say confidently it is best watch till date its heart rate spo2 and other fitness measurements work accurately. its calling feature is also one of the reason for buying this watch i have not got any issues with this watch after continuosly using one month i have satisfied by its quality and features i surely recommend all who want buy smartwatch in this p...
READ MORE",55 and above,F," Sidhi, Madhya Pradesh",Homemaker,July,2023,Q3
I have this watch from last year and this is very good working watch budget watch the feature of this watch is very good ..,Under 18,M," Bengaluru, Karnataka",Student,June,2022,Q2
"Fine for skinny wrist✔️
Tracking accuracy ✔️
Battery Backup ✔️
Premium looks✔️
Sound Quality✔️
Internal Storage✔️
VFM✔️

Third-party App Support❌",25-34,M," Silchar, Assam",Freelancer,February,2024,Q1
"After using it almost for 3 weeks
1. Battery is superb as it lasts a 6 to 7 days .
2. Bluetooth connectivity is seamless for me.
3. Receiving calls through watch also working smoothly
4. Straps are soft, flexible and skin friendly.
5. Activity tracking is accurate .
6. Watch faces are limited.",35-44,F," Konkan Division, Maharashtra",Homemaker,December,2024,Q4
"Pretty and speedy, but happily not very spendy, the Amazfit GTR 2 smartwatch has the looks and ability to take on more expensive activity trackers from the big names.🔥💥

*** I changed the rubber strap of this watch to a chain strap. And looks great too.😍🥰🌻

Pros :- Pretty design
Low price
Comfortable to wear day and night
Solid casual activity and sleep -tracking features

Cons:- Still some software improvements required.
Battery life suffers when many features used.",45-54,M," Contai, West Bengal",Working Professional,January,2020,Q1
Good one,55 and above,F," Vishakhapatnam, Andhra Pradesh",Homemaker,June,2024,Q2
"Excellent look n superb product using watch
Looks Amazing n smart",Under 18,M," Medinipur, West Bengal",Student,February,2024,Q1
"Watch is good but but slow UI experience as per the price. Display in good in outdoor sunlight.on average use, battery lasts till a weak.",25-34,M," Chandigarh, Punjab",Working Professional,June,2022,Q2
"Fot it for 5k. Get it only if you get around that price. Battery life is good. Display is also good. Design doesn't look premium, but works well. Strap quality is good. Activity tracking is average. I don't use Bluetooth calling so didn't worry about it",18-24,M," Chennai, Tamil Nadu",Freelancer,January,2022,Q1
NYC 👍🏻😊,45-54,M," Kolkata, West Bengal",Freelancer,July,2022,Q3
SS strap quality is very poor..,55 and above,M," Hyderabad, Telangana",Retired,January,2022,Q1
"Amazfit and Flipkart are not Taking proper care while listing products and providing accurate product information.Wifi support and compass are not there in the watch. However , in product specification detail, it is mentioned that the watch supports wifi and compass, which is very misleading and influencing buying decisions.",25-34,M," Bhubaneswar, Odisha",Working Professional,September,2024,Q3
Super watch in this price range,55 and above,M," Pennadam, Tamil Nadu",Retired,October,2021,Q4
Value for money amazefit product,55 and above,M," Korba, Chhattisgarh",Retired,August,2022,Q3
"I have bought metallic strap watch which is looking very nice. Bezels could have been a bit thin but then considering the price it is worth it.
Battery:
With all sensors tracking, AOD and Bluetooth connectivity 24 x 7 it is easily going upto 3-4 days with 100% charged.

Voice calling:
Considering the price, it is good. But the voice cracks a little at full volume and in crowded place it is a bit difficult to listen otherwise it is good.

Activity tracking:
Sensors are working fine.

Dial...
READ MORE",18-24,M," Junagarh, Odisha",Freelancer,June,2023,Q2
"My earlier amazfit bip s is too loaded with features, this time amazfit looted customers in the name of calling features.

Cons
No compass
No automatic workout off when stopped.
No GPS
Zepp active app is really to pathetic, no dark mode , no notification support properly work except messages and calls.
Even wattsaap , and others didn't work properly.",35-44,M," Pimpri Chinchwad, Maharashtra",Freelancer,September,2021,Q3
"I purchased this watch during its first sale on the launch day. 🙂
It has an impressive appearance and is equipped with a variety of outstanding features, including a fantastic display and a high-quality chain.",55 and above,M," Samalkha, Haryana",Retired,September,2023,Q3
Perfect gift for my dad. There is some issue with app download. But once right app is downloaded it is very easy to use. Amoled display is of high quality. Call quality is very good. Touch response is perfect. They should have given leather strap instead of rubber strap.,Under 18,F," Gadchiroli, Maharashtra",Student,September,2022,Q3
Very elegant and premium looks. Tracking is very accurate. Just love it.,55 and above,F," Bengaluru, Karnataka",Homemaker,September,2020,Q3
"Good built, display, calling

Bad aod, no auto brightness, limited functionality, battery performance

Jack of all trade, master of none",45-54,F, Delhi,Homemaker,January,2022,Q1
"Display is vibrant and good looking.
Touch is good.
Calling experience is good.
Other health monitoring apps are also good 😊",18-24,M," Puri, Odisha",Freelancer,July,2023,Q3
The design and display is top notch. Been using since 15 days battery comes around 5 days with AOD mode. Only problem faced is connectivity.. Bluetooth connection seems to be weak some times. Even zepp active app has some connectivity problems. Hope it is resolved in future updates.,18-24,M," Mysore, Karnataka",Working Professional,August,2024,Q3
"I brought this watch after reading lots of reviews and also based on my experience with Amazfit Bip U and Zepp app.
Watch is good enough, but I have stopped using it because of its horrible app. Zepp Active app is primitive, useless and a deal breaker and a heart breaker too. I am thoroughly disappointed. A smart watch without a good app is useless. The Pai feature of Zepp app was very useful but Zepp Active is just a trash. Please improve it or else sales of your device will be adversely aff...
READ MORE",Under 18,M," Tura, Meghalaya",Student,February,2022,Q1
Good performance,25-34,M," Malappuram, Kerala ",Freelancer,June,2023,Q2
Nice,45-54,F," Kalyan, Maharashtra",Homemaker,September,2021,Q3
"A good product from Amazfit
Pros:

1. According to the price, watch build quality is good.
2. The quality of the strap is medium.
3. AMOLED Display is vibrant.
4. Battery backup is good.
5. Lightweight watch
6. App is polished, in watch Icon also good.
7. Bluetooth call quality is good
8. Activity tracking is average

Cons:

1. Charging connector is normal they can provide charging base.
2. Sometimes, it didn't connect to the phone. After unbind watch, you can again connect it.
3. GPS track...
READ MORE",35-44,F," Singrauli, Madhya Pradesh",Homemaker,September,2020,Q3
"Good buy.
Only miss is the GPS function",45-54,M," Kurnool, Andhra Pradesh",Working Professional,October,2021,Q4
Not a great product. Poor quality metal strap. And the battery lasts only for 5 to 6 days. Not more than that.,18-24,M," Bengaluru, Karnataka",Freelancer,October,2020,Q4
Good Looking metal strap smart watch around such price .....I bought it for 3999....but tracking activity is not that much good,25-34,F," Chennai, Tamil Nadu",Homemaker,November,2023,Q4
"Worst Service support, once there is any problem with your device just throw it in dustbin rather than sending it to service centre. You will be bored of calling them and getting the update and after calling 100 times in a day your call will be connected and without resolution phone will be disconnected forcefully by executive",45-54,F," Siwan, Bihar ",Homemaker,November,2021,Q4
Best in battery and performance. Value for money if purchased in offer.,45-54,F," Baleshwar, Gujarat",Homemaker,February,2022,Q1
Long battery life is key feature of the watch,55 and above,M,"  Pune, Maharashtra",Retired,June,2022,Q2
Amazing,18-24,M," Sitamarhi, Bihar ",Working Professional,October,2021,Q4
Very nice and amazing display and call quality also nice value for money thank you so much,25-34,M," Chennai, Tamil Nadu",Freelancer,May,2023,Q2
Very nice product.,18-24,F," Junagadh, Gujarat",Working Professional,November,2022,Q4
Very nice smart watch.step tracking and continuous heart rate monitoring is very good. Lots of cool wallpapers are available in the app..,18-24,M," Greater Noida, Uttar Pradesh",Freelancer,November,2022,Q4
"Mind-blowing product from Amazfit! 🫶🏻
Battery performance could be better. :)
Design is pretty slick! Loving the features! 🥰",55 and above,M," Nadia, West Bengal",Retired,May,2021,Q2
"Nice Product, must buy 😍

Go for it, it's one of the best in this price segment.",25-34,M," Kolkata, West Bengal",Working Professional,November,2020,Q4
"This watch stands out as the best option within its budgetary category. The stunning dial and metallic strap add a touch of elegance, while its functionality and features, including fitness tracking and message notifications, exceed expectations. With a user-friendly interface, long-lasting battery life, and durable build quality, this smartwatch is a fantastic find. Highly recommended for anyone seeking an affordable yet impressive timepiece.",55 and above,M," Kochi, Kerala",Retired,July,2021,Q3
this is way better than other brands... display is just amazing,25-34,M,"  Pune, Maharashtra",Working Professional,May,2020,Q2
"Its not a Amazfit watch... Its like a third party company of amazfit or any other
Sleep tracking is good.",18-24,M," Central Division, Odisha",Freelancer,June,2023,Q2
"Price is good
Pros
Good display
Clear voice for call
Accuracy for heart beat,step spo2 ok
Better battery life
Built quality
Cons
No stopwatch
Connectivity slow
Strap is ok",45-54,M," Erode, Tamil Nadu",Freelancer,June,2024,Q2
"I bought this watch during Republic Day sale and for these 3 reasons:

1. Its size is not massive, which we find in most Smartwatches nowadays that cover the whole wrist
2. To simply track my Steps with a watch that shows accurate results
3. Looks Premium and is light weight

POP 3R met all the above requirements. I am giving this Watch a 5 star

But the Zep Active App a 3-star rating. Why?
Its a Foreign App and is very intrusive, wants to collect your location, contacts, folder access etc...
READ MORE",55 and above,F," Hyderabad, Telangana",Homemaker,July,2023,Q3
"It's a beautiful looking watch but if you expect this to work as a fitness band then don't buy it. This does not track my sleep and always shows 39 minutes sleep, Spo2 always shows 99. The display is good. Watchfaces look rich. Battery backup is good.

But If you want a watch for fitness goals then don't buy. You can use it as a daily watch. For fitness, i would recommend Amazefit band 7.",18-24,M," Karjat Raigarh, Chhattisgarh ",Working Professional,September,2022,Q3
Product is just ok not upto mark. Display battery is fine but steps tracking BP calculater is not exact.,45-54,M," Chennai, Tamil Nadu",Working Professional,May,2021,Q2
"Pros -
- Good quality screen
- Good Battery life
- All activity trackers available and other features like calling, SPO2, Heart Rate , Weather update.

Cons -
- Screen refresh rate is very low
- Users experience is not good and a little sluggish due to Screen low refresh rate.",18-24,M," Gurugram, Haryana",Freelancer,July,2020,Q3
"Design is awesome, but I was traveling on bus overnight, by the time I got down the bus it was showing I walked 10k steps, it's inaccurate",35-44,M," Bengaluru, Karnataka",Student,September,2022,Q3
"Pros: Best Design
Aesthetic look
Metallic Dial frame
Good battery backup
Activity tracking is good

Cons: Display is average though it is Amoled colors are not that vibrant.",45-54,M," Thane, Maharashtra",Working Professional,April,2021,Q2
