Reviews for Apple Watch ,Age,Gender,Location,        Occupation,Month,Year,Quarter
Very nice and genuine product. Well perform with my iphone 14 pro,18-24,M," Fatehpur, Uttar Pradesh ",Working Professional,August,2020,Q3
Not charging stuck in this loop😡😡.,25-34,M," Ghosi, Uttar Pradesh",Freelancer,March,2021,Q1
Lucky to get this at a very good discount. Flipkart deals are simply amazing,55 and above,M," Thane, Maharashtra",Retired,August,2023,Q3
Excellent watch,25-34,M," Fatehgarh, Uttar Pradesh",Freelancer,September,2021,Q3
Nyc product,35-44,M," Meerut, Uttar Pradesh",Working Professional,April,2023,Q2
Great price offer from Flipkart. Thank you Flipkart 🙏,25-34,M," New Delhi, Delhi",Working Professional,June,2023,Q2
"Good watch. Battery charges to 100% very fast. But works only for 1 day. Charging everyday is required.
Features are very good.
Tracking activities is good.",45-54,M," Haridwar, Uttarakhand",Freelancer,June,2023,Q2
Excellent,45-54,F," Srikakulam, Andhra Pradesh",Homemaker,November,2020,Q4
Good product from apple,25-34,M," Hyderabad, Telangana",Freelancer,October,2021,Q4
If you have the budget you can buy otherwise dont,18-24,F," Hyderabad, Telangana",Working Professional,September,2023,Q3
Good,55 and above,M," Bengaluru, Karnataka",Retired,November,2022,Q4
Good watch,35-44,F," Srikakulam, Andhra Pradesh",Homemaker,April,2021,Q2
Reminds me to do regular workouts,18-24,M," Old Goa, Goa",Working Professional,February,2022,Q1
I like it ❤️ go for it,35-44,M," Namakkal, Tamil Nadu ",Working Professional,January,2023,Q1
"The product is not starting. I've Delivery this product on 1/Apr/2024. I've tried turning on the product, it does not started. I thought it may be because the watch is not charged, I put the watch in the charging for atlease 30 minutes, but it does not started.",25-34,F," Bali, Rajasthan",Homemaker,November,2024,Q4
Great product always wanted it,35-44,F," Bengaluru, Karnataka",Homemaker,October,2020,Q4
Just superb,25-34,M," Hyderabad, Telangana",Working Professional,March,2020,Q1
"Mi to Fitbit Alta to Fitbit Versa to Apple Series 3 to Series 7

Pros:
- The best watch going around in terms of features, support and display
- The straps and cases of any 42mm or 44mm Apple Watch works for 45mm
- All the features work as advertised with a few hiccups
- Battery lasts for more than 24 hours with light/modern usage (Hopefully the battery won’t degrade)
- Watch faces and compilations are nice
- 3rd party apps and support

Cons:
- So series 7 watches in India don’t get fast char...
READ MORE",55 and above,M," Hyderabad, Telangana",Retired,August,2022,Q3
Nice 😍😌,35-44,M," Pathanamthitta, Kerala ",Working Professional,October,2024,Q4
I felt that 45mm is a big display. But the fact is it’s exactly suitable to my wrist. Really good looking. Also gps + cellular model is very useful.,25-34,M," Kota, Rajasthan",Freelancer,July,2024,Q3
"Just wow ,it’s so smooth and the best ever smart watch the world has right now ,no second thought just go for it",Under 18,F," Bengaluru, Karnataka",Student,November,2021,Q4
"Just Applemazing. Smooth and fast Watch OS with zero lag and with tons and tons of apple features. Display is too good,its so crisp and clear and with 1000nits of brightness there is no problem in visibility in most sunny days. Connectivity is so fast and convenient specially in the cellular versions. Plus so many health and sports features which works so well without any problems.",18-24,F," Kota, Rajasthan",Working Professional,November,2023,Q4
Today i got my apple watch 7 45mm starlight OMG this is unbelievable amazing. Seriously no other brand can make this type of watch. I used many other brands but this is superb. Thank you APPLE and FLIPKART.,18-24,M," Purnia, Bihar",Working Professional,August,2022,Q3
Works awsome!!!,35-44,M," Valsad, Gujarat",Freelancer,May,2023,Q2
"Go for stainless steel if you want to add a vintage type watch in your wardrobe
As it’s display is made from sapphire crystal
Scratch resistant and will be keep in peristome condition",Under 18,M," Bhopal, Madhya Pradesh",Student,May,2023,Q2
I upgraded From series 6 aluminium to series 7 stainless steel gold Milanese loop and oh boy stainless steel does make a difference …it looks more premium …no other company can match apple in terms of Watch and its features …a must buy for apple users who are upgrading from series 3 or 4…battery is decent and extra 1 mm does make a difference in day to day usage,25-34,M," Ahmedabad, Gujarat",Freelancer,December,2020,Q4
"The product is so nice and excellent but the delivery package is not good ,there is no safety for that",35-44,F," Srikakulam, Andhra Pradesh",Homemaker,March,2023,Q1
I love this product,55 and above,F," Palakkad, Kerala ",Retired,December,2023,Q4
"Amazing, in one word , BUT , If you already own a Series 6, there is no point of upgrading at all.

One more piece of advice, If you want to buy apple watch and don't have any extra bands, go for 41mm without thinking.

Steel Variant is good for PRO users, who work-out hard, as its made of ceramic and is scratch proof, I've been using it since Series 4 and I switched from Aluminum to Steel just for the sake of scratches on Display.

Also, if you are a casual user, just by a Space Gray 41mm B...
READ MORE",18-24,M," Satna, Madhya Pradesh",Working Professional,May,2020,Q2
"Finally bought it ⌚️😄
Looks GooD feels GooD 👌🏼",55 and above,M," Madurai, Tamil Nadu",Retired,March,2021,Q1
"After used Apple Watch Series 4, today purchased Apple Watch Series 7⌚️; Awesome😍🔥 Smart Watch! None other smart watch cant reach Apple Watch Perform! Accuracy level High!",45-54,M," Erode, Tamil Nadu",Freelancer,September,2022,Q3
Awesome thank you,35-44,F," Tiruchirappalli, Tamil Nadu",Homemaker,July,2021,Q3
Great Product,25-34,M," Dindigul, Tamil Nadu",Working Professional,March,2020,Q1
Awesome display. Really love the performance and display size. Also the fast charging is superb.,Under 18,F," Visakhapatnam, Andhra Pradesh",Student,July,2023,Q3
Awesome Watch,55 and above,F," Salem, Tamil Nadu ",Homemaker,November,2021,Q4
Nice but little costly☺️,18-24,M," New Delhi, Delhi",Freelancer,December,2020,Q4
"I have upgraded from Apple series 3 to series 7, this made a lot of difference to me …..definitely worth the money….One time investment,Battery backup almost 2 days.
Bigger screen.
Bigger battery.",35-44,F," Hyderabad, Telangana",Homemaker,October,2022,Q4
"The best smart watch in the world. Period. I have Samsung Galaxy Watch and this as well and I can say that Apple Watch is way better in terms of its smooth touchscreen and user interface. Battery Life is pretty decent. Lasts a whole day with moderate to heavy usage and 2 if light usage Call quality is very good as well. All apps and sensors are optimized. 41mm looks good on people with petite wrists. The only downside I can think of is that Samsungs Classic Watch has thick rotating bezels wh...
READ MORE",25-34,M,"  Pune, Maharashtra",Working Professional,January,2022,Q1
All gud but speaker is little bit noisy,25-34,M," Hyderabad, Telangana",Freelancer,January,2021,Q1
Nice product,45-54,M," Cherthala, Kerala",Working Professional,June,2020,Q2
I really love this watch must try,35-44,M," Visakhapatnam, Andhra Pradesh",Freelancer,October,2023,Q4
"Looks premium and display is great, battery backup is average.",35-44,M," Gautam Buddha Nagar, Uttar Pradesh",Freelancer,October,2022,Q4
Perfect,55 and above,M," Bhopal, Madhya Pradesh",Retired,October,2022,Q4
"For fitness enthusiasts. Worth every Pen, Maharashtrany",25-34,F," Ranchi, Jharkhand",Homemaker,January,2020,Q1
"Experience Was Really Amazing.
1.Design and functions are smooth
2.Full Charge Takes 2hrs
3.Battery Backup Was Not Really Good.
4.Other wise All Features working as i expected
5.Must Buy Guyz You Love This.",25-34,M," Raniganj, West Bengal",Working Professional,April,2022,Q2
"Got the Awesome Apple Watch 7 Series at the Awesome price, Thanks to The seller and Flipkart for the best deal...Kudos",18-24,M," Patna, Bihar",Working Professional,February,2024,Q1
One of the best smart watches by Apple,18-24,F," Tirunelveli, Tamil Nadu",Working Professional,February,2023,Q1
Perfect watch. Perfect looks. Perfect delivery by flipkart.,35-44,F," Ghaziabad, Uttar Pradesh",Homemaker,November,2020,Q4
Amazing!!!!,25-34,M," Bikaner, Rajasthan",Working Professional,January,2020,Q1
overall good......,Under 18,M," Ballia, Uttar Pradesh ",Student,June,2023,Q2
Super 👌🏻👌🏻👌🏻,45-54,F," Tirur, Kerala",Homemaker,May,2024,Q2
The best smart watch ever produced,18-24,M," Kolkata, West Bengal",Working Professional,October,2021,Q4
This is my first digital watch and the experience is great because I had a dream to buy an apple watch and today it came true. Thanks to Apple and Flipkart for being part of my Happiness. 😊♥️,55 and above,M," Lalitpur, Uttar Pradesh",Retired,February,2024,Q1
Very Perfect and nice watch speed and display is awesome.,55 and above,M," Amritsar, Punjab",Retired,June,2023,Q2
Earth is lucky for having Apple,45-54,M," North Barrackpur, West Bengal",Working Professional,November,2024,Q4
"This is the first Apple Watch that I have used in my eight years in the tech media industry, so I was extremely fascinated at first. The Apple Watch Series 7 looks premium and offers a sturdy build at the same time.",18-24,M," Greater Noida, Uttar Pradesh",Freelancer,February,2022,Q1
The watch and it’s functionalities are really amazing.,18-24,M," Ranchi, Jharkhand",Freelancer,September,2024,Q3
Nice smartwatch but price is on higher side,Under 18,M," Chennai, Tamil Nadu",Student,August,2022,Q3
The best,55 and above,M," Bengaluru, Karnataka",Retired,June,2024,Q2
"An incredibly amazing deal and of course it's Apple, you will never get disappointed. Worth purchasing in such a good deal. Thanks to Flipkart",25-34,F," New Delhi, Delhi",Homemaker,June,2020,Q2
"My wrist is small but 45 mm look perfect on my wrist
Amazing smart watch From Apple , thanks Flipkart.",35-44,M," Bengaluru, Karnataka",Freelancer,November,2024,Q4
watch design and fucntions are too amazing 🤗 really loved it !! ❤️,55 and above,M," Haridwar, Uttarakhand",Retired,March,2022,Q1
Super and excellent.Thanks to Flipkart and Apple.,Under 18,M," Dhubri, Assam",Student,January,2021,Q1
"Cut long story short-
1-Your body already gives you the sign before illness, so if you do't ignore them, then you do't need this watch.
2- this is not as accurate as medical equipments so no use medically.
3- you can get many attractive and show stoppers watches below 20K so still you do't need this because design is not very good.
4- and if you want phone call and notification then take a break, your phone is enough..
5- but of course if you need a status symbol, a show off, then this is one...
READ MORE",35-44,M," Lucknow, Uttar Pradesh",Freelancer,April,2024,Q2
Gud love it,55 and above,M," Varanasi, Uttar Pradesh",Retired,December,2022,Q4
Very nice,25-34,M," Kurukshetra, Haryana",Working Professional,February,2023,Q1
Best watch,18-24,F," Noida, Uttar Pradesh",Working Professional,July,2023,Q3
"Great watch looks so premium and sturdy hard quality used, looks amazing on your wrist,almost loaded with all the required features.
Thanks flipkart and the seller",25-34,M," Chandigarh, Punjab",Freelancer,May,2024,Q2
"Good product to have it . I will never disappoint you on your decision to buy. It is more then what I have expected from it.

Pros
1. Displays and features mind blowing.
2. Calls are super clear when you receive calls.
3. Reminds of everything for what you have on notifications.
4. Designs and screen size is sleek and Lar, Uttar Pradeshge compare to older versions.

Con

1. Higher price.
2. Need to have AirPods to enjoy apple echo system.",35-44,F," Bengaluru, Karnataka",Homemaker,May,2024,Q2
Brilliant and most stylish bigger display ever feature in smartwatch.Numero uno👌👌👌,18-24,F," Bhubaneswar, Odisha",Working Professional,March,2024,Q1
The best Apple Watch display ever.. waited so long to buy this..,18-24,F," Hyderabad, Telangana",Working Professional,May,2022,Q2
"This is my first Apple Watch, Wonderful Watch, But Little bit Disappointed with battery life.",35-44,M," Tanuku, Andhra Pradesh",Freelancer,September,2021,Q3
"Watch is very good, it had lots of features, the only corn is battery life , you have charge everyday if you are a normal user.
I purchased 41mm which look small in my wrist. I would recommend 44mm for boys.",25-34,M," Bengaluru, Karnataka",Freelancer,September,2023,Q3
Display Quality and OS is awesome. Love the technology,Under 18,M," Purba Medinipur, West Bengal ",Student,September,2022,Q3
"4 stars just because Flipkart packaging was worst. When it is an expensive product, why don’t you cover it with extra care and with extra paper support. Packing should be improved.
Apple watch is at its best",55 and above,M," Bengaluru, Karnataka",Retired,May,2020,Q2
"2 YEAR UPDATE
This has been working efficiently for the past 2 years, NEVER HAD A GLITCH",Under 18,M," Chennai, Tamil Nadu",Student,June,2021,Q2
Best for girls. Premium look of gold worth to buy.,55 and above,M," New Delhi, Delhi",Retired,November,2023,Q4
"Not updated software,not pairing with my phone",35-44,F," Gurgaon, Haryana",Homemaker,January,2021,Q1
Best deal at best price !,35-44,M,"  Pune, Maharashtra",Working Professional,August,2020,Q3
Good,18-24,M," Visakhapatnam, Andhra Pradesh",Working Professional,January,2020,Q1
Best from Apple!,Under 18,M," Bengaluru, Karnataka ",Student,February,2020,Q1
Thank you filpcart I'm very happy good service,25-34,F," Hyderabad, Telangana",Homemaker,April,2023,Q2
Amazing,Under 18,M," Byasanagar, Odisha",Student,March,2022,Q1
Not recommended when it comes to battery life . You need to charge this daily basis . Also activity specification and alters are less compared to other brands,18-24,F," Avittathur, Kerala",Working Professional,April,2021,Q2
Amazing product but battery life is not so much good..,25-34,M," Narnaul, Haryana",Freelancer,September,2024,Q3
Good,55 and above,M," Thoothukkudi, Tamil Nadu ",Retired,December,2023,Q4
This smart watch have lots of features and track my activities properly. One small constrain is I have to charge daily.,18-24,M," Mathur, Maharashtra",Working Professional,May,2021,Q2
"Just awesome!
Display is brilliant.touch is very smooth.
Overall fantastic smart watch @ apple",25-34,M," Dhanbad, Jharkhand",Working Professional,February,2023,Q1
Best product and worth for money,Under 18,M," Hyderabad, Telangana",Student,November,2020,Q4
This watch you have to buy with Heavy heart because it is expensive one but rest every feature and money value you get in unmatched,55 and above,M," Bengaluru, Karnataka",Retired,October,2020,Q4
"Awesome product. Like always sync b/w Apple Watch and phone is great and super fast smooth.
But only thing is battery draining faster.",45-54,M," Tadepalli, Andhra Pradesh",Freelancer,January,2020,Q1
Best smart watch forever,35-44,M," Kolkata, West Bengal",Working Professional,March,2021,Q1
Thanks Flipkart I am happy 😊,35-44,F," Lucknow, Uttar Pradesh",Homemaker,April,2022,Q2
"Nice one
Go for it!!",45-54,M," Damoh District, Madhya Pradesh",Working Professional,September,2022,Q3
Great product and must buy.,55 and above,M," Ernakulam, Kerala ",Retired,August,2023,Q3
Best Watch hai,35-44,M," Pulwama, Jammu and Kashmir",Working Professional,February,2022,Q1
Nothing is good enough to replace Apple Watch :),Under 18,M," Vadodara, Gujarat",Student,February,2020,Q1
Nice product,35-44,F," Jalandhar, Punjab",Homemaker,October,2021,Q4
The best watch for your Apple iPhone. Grabbed it for 42k. esim functionality is handy,55 and above,M," Hyderabad, Telangana",Retired,July,2020,Q3
Nice Apple Watch,45-54,M," Dehri, Bihar",Freelancer,January,2022,Q1
Awesome,45-54,M," Hyderabad, Telangana",Freelancer,October,2024,Q4
"Reason to opt for Apple Watch 6 in Stainless Steel.
1. You like heavier watches.
2. You are okay with generic colors like Silver/StainlessSteel or Black/Graphite or Gold.
3. You are planning to keep the watch for a few years.
4. You are known to occasionally/accidently hit things or bump into with watch.
5. Stainless version only come with GPS and Cellular.
With Stainless steel, you don't get colors like blue/red/rose gold etc.
Apple also uses Sapphire Crystal for the glass/screen which...
READ MORE",18-24,M," Bengaluru, Karnataka",Working Professional,August,2023,Q3
Nice smart watch I was looking for. good features.very sturdy. Not even a scratch when it accidentally fell from 6 feet height .Working fine after that. Great deal price from Flipkart. Very happy with the purchase👍,55 and above,M," Salem, Tamil Nadu",Retired,August,2020,Q3
"Genuine product, got it for a very best price.",55 and above,M," Anantapur, Andhra Pradesh",Retired,October,2024,Q4
Nice product,35-44,M," Zahirabad, Telangana",Working Professional,January,2024,Q1
"Overall satisfied. It’s not a gadget but a seamless addon to apple ecosystem which helps to keep motivating on being active, healthy and keeps away from iPhone when not in need. Stainless steel graphite is treat to eyes looks premium and settled gives the authentic watch feel. Also comes with extra durability due to sapphire glass, steel and ceramic case which is better than aluminium. Add nice choice of bands, loops to suit daily formal and casual wears.

Cellular doesn’t work with Airtel pr...
READ MORE",18-24,F," Hyderabad, Telangana",Working Professional,July,2024,Q3
Bestest watch,55 and above,M," Lucknow, Uttar Pradesh",Retired,May,2022,Q2
Awesome,35-44,M," East Godavari, Andhra Pradesh",Working Professional,January,2021,Q1
"I ordered watches for all my family members..
What an amazing product it is indeed..
I mean.. Rolex Rado no one can stand infront of apple..
Best combination of luxury & smart. I can check my ECG, blood oxygen level..
amazing..",18-24,M," Noida, Uttar Pradesh",Freelancer,September,2020,Q3
great product.,18-24,M," Patna, Bihar",Freelancer,November,2021,Q4
Apple is apple awesome.,55 and above,M," Pimpri Chinchwad, Maharashtra",Retired,June,2020,Q2
Good,18-24,F," Bengaluru, Karnataka",Working Professional,March,2022,Q1
Very good watch. Just ever time i feel while using apple product that prices are too high for all the features they are providing,25-34,F," Mumbai, Maharashtra",Homemaker,February,2021,Q1
"I ordered watches for all my family members..
What an amazing product it is indeed..
I mean.. Rolex Rado no one can stand infront of apple..
Best combination of luxury & smart. I can check my ECG, blood oxygen level..
amazing..",35-44,M," Noida, Uttar Pradesh",Working Professional,October,2024,Q4
"I ordered watches for all my family members..
What an amazing product it is indeed..
I mean.. Rolex Rado no one can stand infront of apple..
Best combination of luxury & smart. I can check my ECG, blood oxygen level..
amazing..",35-44,M," Noida, Uttar Pradesh",Working Professional,November,2020,Q4
Awesome Watch,55 and above,F," Ahmedabad, Gujarat",Retired,November,2023,Q4
Looks premium and special,25-34,M," Bengaluru, Karnataka",Working Professional,August,2021,Q3
Battery to bad,Under 18,F," Mumbai, Maharashtra",Student,September,2021,Q3
