Reviews for Mi SmartBand,Age,Gender,Location,        Occupation,Month,Year,Quarter
good product worth for money,45-54,M," Secunderabad, Telangana",Working Professional,September,2024,Q3
"startup for health awareness,readings are somewhat you trust,like sleep monitoring is awesome ,must have product, wish xiomi sell complimentary with there products",35-44,M," Sangaria, Rajasthan",Working Professional,March,2024,Q1
Good product and also good packings done by Flipkart but the battery life not the same as mentioned in specifications..,55 and above,F," Kolkata, West Bengal",Homemaker,March,2023,Q1
"Fast delivery within 24 hrs thanks to Flipkart. Good product from xiaomi . The band is made of good quality materials. Best band to buy in this price range. I received the band with empty battery it took around 2.5 hrs to get fully charged . Every feature works pretty good . You can twist your wrist to see time .

Display 4/5 . Good even under direct sunlight.

Features 4/5 . All features work pretty good. The results came are more or less 90percent accurate.

Battery 4/5 . It will easily ...
READ MORE",Under 18,M," Chennai, Tamil Nadu",Student,December,2023,Q4
MI band hrx is best product I love it thank you Flipkart send MI,55 and above,M," Pulgaon, Maharashtra",Freelancer,May,2020,Q2
Useful for me mi hrx band it's very light and all sensor working fine it's count your sleep time I am very happy Flipkart service amazing,18-24,M," Saharanpur, Uttar Pradesh",Working Professional,March,2023,Q1
very good watch,18-24,M," Dhamtari, Chhattisgarh",Working Professional,October,2021,Q4
"It has a lot of advantages
1. It measures your steps.
2. Also it tracks your sleep like deep sleep n light sleep. also
3. It shows how much calorie you have burnt.
4. Also it shows how much km you have walked.
5. Even its battery is also good as they said that it will last for 23 days but may be it will last for more than that.
6. Packaging from mi-hrx is also good.
7. As they have mentioned that it is a water resistant but under the box theres mentioned that it is water resistant for 30 min...
READ MORE",25-34,M," Thane, Maharashtra",Freelancer,July,2023,Q3
nice product,45-54,M," Kancheepuram, Tamil Nadu",Working Professional,August,2021,Q3
good battery backup and good product as compared to price....,35-44,M," Pimpri Chinchwad, Maharashtra",Freelancer,November,2020,Q4
very good product,45-54,M," New Delhi, Delhi",Freelancer,May,2023,Q2
Product is very good as per the price range... But I face problem in band after 1-2 month use... Capsule fall down many times from the band... I buy another strap/band but that was also same issue.. Mi doesn't give any warranty or guarantees in this strap/band.. So that I am not use this product right now... And one think is in day time with out side I can't able to see any think in display.. Very low light display.. Check the images for your references.,Under 18,M," Hyderabad, Telangana",Student,October,2022,Q4
Good product not great,35-44,M," New Delhi, Delhi",Freelancer,December,2023,Q4
"Wow interesting, ok 20 days charge stable",18-24,F," Chennai, Tamil Nadu",Working Professional,August,2024,Q3
best fitness band by xiaomi,35-44,M," Vijayawada, Andhra Pradesh",Student,April,2022,Q2
At this price awesome!!,35-44,M," Bengaluru, Karnataka",Freelancer,June,2020,Q2
best band,45-54,M," Hindaun, Rajasthan",Working Professional,April,2020,Q2
"It is an good band from mi
It's fully charged i 2 hours
It's good for ibow how steps you run and your distance covered
It help to track sleep
But the problem is it doesn't have heart rate count",25-34,M," Kannamangalam Alappuzha, Kerala ",Working Professional,September,2023,Q3
"Mi band hrx edition
Pros.
Sleep monitor is awsome
Battery life is good
Mi fit app is good.
Alarms are nice
Cons.
Pedometer can be much better.
Small screen
Mi fit app is very limited in features other 3rd party apps are much better than mi fit.
Alarms vibrate for a short time which is enough to wake you up from sleep in odd times but at morning it is not good for you to wake you up from deep sleep.
*******In short this is value for money but still can be a bit better******",55 and above,M," Patna, Bihar",Retired,June,2023,Q2
"Simply an awesome product. Can't expect anything more from a fitness band in this price range.
Pros:
1.Battery is too good been using it for 4 days and still its at 95%.
2.It shows Call, sms and other notifications. Including the caller name or number. ✨
3. Accurate step counting.👍
4. Looks stylish. 👌
5. Splash 💦 Proof: we can use it even when we are showering.
6. Display is visible even in a sunny day.
7. Seamless syncing with Mi Fit
8. Idle notification.

Cons:
1. No heartrate monitor...
READ MORE",45-54,M," Thodupuzha, Kerala",Working Professional,July,2023,Q3
good product but sometimes lack in connectivity disconnects frequently.,18-24,M," Ghaziabad, Uttar Pradesh",Working Professional,November,2021,Q4
Best fitness band in best price loved the product,35-44,F," Gwalior, Madhya Pradesh",Student,July,2024,Q3
very good looking band and battery life is awesome I am using this band for almost 11 days after all 33% battery left in this band.. very good product by Mi in price of 999...thank you Flipkart,18-24,M," Sonbhadra District, Uttar Pradesh",Working Professional,June,2020,Q2
Superb I am totally satisfied with it. Battery is good.. accuracy is good and price range is good,35-44,M," Kota, Rajasthan",Freelancer,October,2020,Q4
"i using this product since 7 days, its working accurately",35-44,M," Hazaribagh, Jharkhand",Freelancer,January,2022,Q1
awesome band.. gifted my bf on his bday.. he loved it,25-34,F," Nagpur, Maharashtra",Homemaker,November,2020,Q4
excellent battery life amazing,18-24,F," Dohad, Gujarat",Working Professional,March,2023,Q1
it's value for money,25-34,M," Taliparamba, Kerala",Working Professional,August,2021,Q3
superb product,55 and above,M," Wardha, Maharashtra",Retired,October,2022,Q4
"very good product...
i loved it..
charging is quite impressive...
notification is aquarte.....",55 and above,M," Tanuku, Andhra Pradesh",Retired,October,2021,Q4
"Amaging product , value for money , must buy.",Under 18,M," Patna, Bihar",Student,September,2024,Q3
awesome product by mi I trust mi,Under 18,M," Hyderabad, Telangana",Student,December,2024,Q4
"The product is really good
I gifted it to my mom
It's very good
Thank-you flipkart",45-54,F," Pimpri Chinchwad, Maharashtra",Homemaker,July,2021,Q3
"The product is very nice..
This is best product for the people who always needs to track their steps..
This is also for those who doesn't care for heart rate tracking..
The steps calculation is not that accurate.. but it tracks almost correct..
I will suggest this product for those who needs good tracker but in a budget range..
Also the MI FIT app is best compatible for this band",25-34,M," Ambur, Tamil Nadu",Working Professional,July,2022,Q3
it is good product and looking awesome,18-24,M," Navi Mumbai, Maharashtra",Working Professional,February,2023,Q1
good experience,45-54,M," Vyara, Gujarat",Working Professional,September,2023,Q3
Good working and I am satisfy with this band,Under 18,M," Krishna, Andhra Pradesh",Student,January,2021,Q1
value of money..,35-44,M," Ernakulam, Kerala ",Freelancer,February,2023,Q1
"Display size is too small.. may be it's done for battery saving.
build quality is decent but need to have a scratch proof display as it is a fitness band. display is visible at bright daylight. pedometer is good ,not perfect Everytime but good.
distance moniter and sleep time tracker is just awesome.
And the main thing about the band is ..it's very good water resistance. I wear it almost most of the time in a day when I go bath ,swimming . I have already tested it by putting it in a 2feet dee...
READ MORE",Under 18,M," Burdwan, West Bengal",Student,September,2022,Q3
nice product tq filpcart,45-54,F," Tirupathur Vellore, Tamil Nadu ",Student,September,2021,Q3
Display is quite dull.... pedometer is not accurate... battery life is good... overall at this price ...it's ok ok product,18-24,F," Ranchi, Jharkhand",Working Professional,August,2021,Q3
"Good product
Battery life is more than what I expected
Syncs easily with Android Phone (not tried with ios)
Feels comfortable
The display on motion is not responsive at times but managable
Can definitely recommend this to someone looking for a activity tracker",55 and above,M," Mumbai, Maharashtra",Retired,August,2021,Q3
"After using this band for 10 days Iam writing this review.

First of all kudos to Flipkart for lightning fast delivery(I got this product 3 days early)

Pros:
1)For this cost,the band is highly useful
2)No delay in notifications
3)Proper vibrations
4)Proper connectivity
5)Long lasting charge (Although not as much as hrx)
6)My favourite feature is that you can disconnect calls or silence them from the band (provided the band is connected )
7)Waterproof
8) Scratch proof
9)It has a nice look...
READ MORE",45-54,M," Kolazhy, Kerala",Working Professional,June,2020,Q2
I have received this product today. It is good. Looking is good. Everything is working frequently. It is a good product.,18-24,M," Chikrand, West Bengal",Freelancer,March,2022,Q1
Looks Cool,Under 18,M," Noida, Uttar Pradesh",Student,December,2022,Q4
Its Good but when it comes to measure heart beat it sucks.,35-44,M," Tiruppur, Tamil Nadu",Working Professional,May,2022,Q2
nice and cool band long batery life.,55 and above,M," Agra, Uttar Pradesh",Retired,October,2020,Q4
"awesome
loved it",45-54,M," Kendujhar, Odisha",Working Professional,October,2021,Q4
"quality is good for the price.bp monitor alomost accurate.
delivery is super fast courtsy flipkart and the price offer too.
good for a fitness band...still on the testing phase.... Bluetooth connectivity is best in class v 4.0",Under 18,M," Alappuzha, Kerala",Freelancer,September,2021,Q3
The band is really very good. Best in the price. Heart rate sensor is decent rest all is awesome. Worth the money. Go for it.,45-54,M," Jaipur, Rajasthan",Working Professional,June,2021,Q2
it's not that quick to turn display on when you hold up your wrist to see time. And i wish the display was a bit bigger too. But the rest of the product quality and features are really great for the price.,25-34,F," Chandigarh, Punjab",Homemaker,November,2023,Q4
Good product by Mi. Nice design and functions.,18-24,F," Pathanamthitta, Kerala ",Freelancer,March,2024,Q1
outstanding,45-54,M," Kolkata, West Bengal",Working Professional,July,2020,Q3
super... no complain perfect at this price..very impressive,55 and above,M," Itanagar, Assam",Retired,July,2024,Q3
nice mi Band 2 superb....,18-24,M," Bhopal, Madhya Pradesh",Freelancer,December,2020,Q4
fantastic bt there is lack of call recieve ....button,18-24,M," Varanasi, Uttar Pradesh",Freelancer,December,2024,Q4
more or less good product but there is a problem with the step count. It count the steps even when am in a car.. otherwise it's almost accurate...,25-34,F," Kolkata, West Bengal",Homemaker,September,2024,Q3
Again Flipkart is rocking for on time delivery.. product looks good and comfortable..,Under 18,M," Chennai, Tamil Nadu",Student,July,2022,Q3
"awesome,I use from many days its work perfectly.",45-54,M," Patna, Bihar",Freelancer,March,2020,Q1
got it 2 days after the promised delivery date . the packaging was very good and the product is working absolutely fine,55 and above,F,"  Rangareddy, Telangana ",Retired,December,2023,Q4
Awesome product but strap is cheap quality,45-54,M," Mapusa, Goa",Freelancer,December,2024,Q4
Good.. special Thanx for Currier boy.. very polite and good,55 and above,M," Mumbai, Maharashtra",Retired,January,2020,Q1
excellent product. prompt delivery by Flipkart,35-44,M," Nandivaram Guduvancheri, Tamil Nadu",Working Professional,April,2021,Q2
its superb and amazing👌👍👍👍👍,45-54,F," Bhopal, Madhya Pradesh",Homemaker,January,2023,Q1
parfect 😘😘,18-24,M," Umbergaon, Gujarat",Freelancer,September,2024,Q3
good👌,25-34,F," Midnapore, West Bengal",Homemaker,February,2020,Q1
The product I received is better as compared to review,Under 18,F," Nallasopara, Maharashtra",Student,May,2022,Q2
"*DISCLAIMER All the things written in the review are of my opinion.
It's been 2 days since I recieved the band.
I opened the package and there it was, the band. So, when I first saw the box I thout that it was very small. the band too was a bit small. But there was a reason for it. The band is extremely light. The material of the strap is of good quality. Doesn't irritate even if there is sweat all around it.
I immediately put the band to charge and it took around 2-2.5 hours to fully charg...
READ MORE",Under 18,M," New Delhi, Delhi",Student,October,2021,Q4
the band looks good and the heart rate is accurate the battery life is so good the band is very fast I literally just love it.,35-44,M," Palacole, Andhra Pradesh",Freelancer,January,2022,Q1
".very perfect band.
.time is visible perfectly
.steps are counted correctly, yes but SOMETIMES when you move hand your even while sitting it counts it as steps, but as it is a fitness band so it does it's work
.heart rate is medium you need a perfect posture to make it work properly. So It's perfect band. Highly recommend.",25-34,M," Vadodara, Gujarat",Working Professional,March,2024,Q1
"Nice fitness band....if you're looking for a good fitness band then this is perfect for you....
this band Contains lot's of features
1) Heartbeat sensor....not soo accurate but...about to accurate
2) how far you travel by walking or cycling etc.
3) how much calories you burned
4) notifications of call and message...
it takes to 2hour to get full charged and its battery can upto 9days....",25-34,M," Samastipur, Bihar",Working Professional,August,2020,Q3
Better.,45-54,F,"  Rangareddy, Telangana ",Homemaker,April,2021,Q2
goodone,25-34,M," Mapusa, Goa",Freelancer,November,2022,Q4
NICE Watch Really a good experience accurate meters and Heart Rate is superb,18-24,M," Ranchi, Jharkhand",Working Professional,September,2021,Q3
Superb product,Under 18,M," Muvattupuzha, Kerala",Student,September,2021,Q3
"The Rubber Band quality has improved alot from MiBand 1 its more comfortable and locking is good while the device fits in nicely. well for the device it shows steps (approximately), time feature is helpful, calories burnt is helpful to track and heart beat is also there which aome times fails to.detect. Screen is glossy but can get scratches easily. Mine already has got few..
Got it at 1599. So a overall good buy if compared with other fitness trackers in Market. Software can be more update ...
READ MORE",Under 18,M," Durgapur, West Bengal",Student,July,2023,Q3
"Very Good Watch.
Superb Feeling.
thanks Flipkart..",55 and above,F," Berhampur, Odisha",Homemaker,October,2022,Q4
Good Product.. Waiting for Mi Band 3 India release,Under 18,M," Perumbavoor, Kerala",Student,June,2021,Q2
"It's surprisingly very good for the money you pay ... Hr correctly matches with the treadmill when you connect with the app without the app not so accurate ... Sleep monitor very accurate... Battery easly 15 days.... Steps accurate... Distance a bit off.. Cal count seems to be very off ..alram works great... Movement notification works... And has few more features.... Honestly I felt I am wasting my money on but this, but to my surprise it worked great for treadmill and outdoor running.. B...
READ MORE",25-34,F," Bengaluru, Karnataka",Homemaker,February,2023,Q1
best quality,Under 18,M," Nadia, West Bengal ",Student,June,2022,Q2
"After few months, currently I am not using this product because of

- ve

1. To make it charge we should remove the device from the belt.
2. Like this after few months, it was not re-fitting in the actual position.
3. Due to this, every time it was loosing grip and felling down

+ ve

1. Battery backup is good
2. Features are good",25-34,M," Bengaluru, Karnataka",Freelancer,July,2021,Q3
"very nice product with lots of features provided to us by Flipkart with discount and warranty . thanks Flipkart and the people working to maintain its reputation and status. thank you all very much.,🎁😃😃😃😃",25-34,F," Roorkee, Uttarakhand",Homemaker,May,2021,Q2
I use this on daily basis and it's good and serves my purpose. though I took this with heart meter but later found out that it's not that accurate and you won't see that data that often and you can't rely on that either. better to go for cheaper hrx version of it. everything else is nice. I'm charging this every week or once in two weeks when many options are off. it's good.,18-24,M," Bengaluru, Karnataka",Working Professional,September,2023,Q3
good battery life and 80% accurate pedometer and sleep tracking. Only con I find is with heart rate. it's reasonably accurate but can only be turned on manually. No automatic heart monitoring.,Under 18,M," Changanacherry, Kerala",Student,March,2023,Q1
"Working fine after 5 months of use. Battery backup is good. Band's strap is very comfortable. Shows Caller name/number, shows message sender name/number, can silent a call from mi Band and also shows WhatsApp text sender's name/number. Good activity tracker. Very helpful device to wake you up in the morning.",Under 18,M," Baidyabati, West Bengal",Student,April,2022,Q2
I would like to prefer you to buy mi band HRX EDITION costing you 1299 bcz all the function are same except heart beat monitor and heart beat monitoring is not working fine in this band else everything is same as HRX edition,45-54,M," Mumbai, Maharashtra",Working Professional,March,2024,Q1
"Overall Band is good
but following are issues
1: the rubber starp which you get along with it lasts only 3-4 months after that you need to buy another one which is available on flipkart easily .
2: accuracy in steps is not good and in heart rate monitor simply doesnt work it only gives one random value and you have to believe it .
compared to other devices with this price range is very good
for all +ve inputs refer google you will find plenty",55 and above,F," New Delhi, Delhi",Homemaker,June,2023,Q2
"Bought it for my wife... she loved it... and liked it even more when she learnt that the band needs charging only once in a blue moon...
the band was working fine when we started using it... heart beat measurements are quite good... u should understand how exactly the sensor works to make it give you better and more accurate result... just make sure you bring it on the spot on ur wrist where you can see the veins throbbing... that's where the sensor gives near accurate result... when u measu...
READ MORE",35-44,M,"  Pune, Maharashtra",Working Professional,March,2020,Q1
I have bought the product two weeks ago. With respect to the price this item delivers more and accurate compare to the others. The only problem is the display is not bright enough for day light and sometimes not at all visible.,35-44,M," Kolkata, West Bengal",Freelancer,April,2020,Q2
"a good Band. especially I found it does the same job that other Garmin or Fitbit does.
anyone who is looking for a a budget activity tracker it is the best one can offer.
heart rate is really accurate.
distance also good enough.",Under 18,M," Bengaluru, Karnataka",Student,October,2023,Q4
It's gives steps & heart rate accurately but it doesn't give distance correctly specially when u r doing treadmill or doing activities like fast walking.. Overall a good product at this price,18-24,F," Kolkata, West Bengal",Working Professional,April,2020,Q2
"for me, I didn't like it as
a) it is too small
b) Sensor is not working properly.. it has LED display and whenever you lift your hand it suppose to show u time.. this is not working properly..
I would suggest to go for other products which provide u display which does not depend on light, like digital watch or calculator display which may be a lcd dusplay",25-34,M," Kolkata, West Bengal",Working Professional,October,2024,Q4
"Although band is very good in build quality and works nice but the heart rate sensor is not good. I think that it is fake because it can measure the heart rate of air, does the air have heart? Of course answer is no but still it can measeure it. I will suggest you to buy mi band hrx edition and save your money because it Contains all the features leaving heart rate sensor. But band is good and i fall in love with it.😍",25-34,F," Wardha, Maharashtra",Working Professional,January,2021,Q1
Very nice product and easy to use. I am surprise to it's connectivity is so fast and data was so accurate. Love it...Thanks! Flipkart as usual you delivere it before time schedule.,55 and above,M," Udaipur, Rajasthan",Retired,November,2022,Q4
"super and nice working, so sweet I am happy to have this band... Love it...",45-54,F," Vijayapura, Karnataka",Homemaker,January,2020,Q1
"Nice Product.
Pros:-
Battery Life around 15-18 days
Nearly Accurate Heart Rate Sensor
Average Pedometer
Good Built Quality
Lightweight
Looks Simple and Sober
Water Resistant

Cons:-
Sunlight Readability Not Good
Fingerprint Magnet Screen
Small Display
Pedometer Counts the Driven kilometres as Steps Walked Sometimes

Finally It is A Good Product, and Compete with Fastrack Flex Band
If One Wanted to buy a Smart Band it could be a good Option.
But i recommend to compare it with bands available a...
READ MORE",45-54,M," Agra, Uttar Pradesh",Working Professional,October,2023,Q4
The quality of service from Flipkart was awesome. The band is also good with long battery backup and good features. But the pedometer also calculated our movement as steps even if we travel by bus or something and the heart beat sense isn't accurate and the time.,55 and above,M," Hyderabad, Telangana",Retired,July,2021,Q3
"Steps count is not accurate.. when we ride in a bike that also counted.. also heart beat sensor not read the heart beat much accuratly..
call reject option is good one..
overall worth for money..

i bought this one by using Flipkart coupon and ₹600 cash, so worth for ₹600 😁😁😁",25-34,M," Coimbatore, Tamil Nadu",Freelancer,December,2024,Q4
"Product looks good, feels good and does it job awesome... The band readings are almost accurate, the heart rate sensors works and gives accurate reading.Fits in the hand perfectly even on the smaller hands..",25-34,F," Nalbari, Assam",Freelancer,May,2020,Q2
"i bought it at price of RS 1799. It is really good band but if your phone has bluetooth connectivity issue, this band disconnects again and again. Then i changed the mobile phone and it works fine.

So my suggestion is to try bluetooth connectivity with your phone first (If your friend already has).

Also it is not comfortable to wear whole time because of border around heart rate censor.
When you remove band, you will have rounded mark on your wrist bcz of that.",35-44,M," Jaipur, Rajasthan",Working Professional,February,2020,Q1
Product is original and delivery was in time.. happy with it but they should keep return option as well because in case if we do not feel it is useful for us we can return it.,25-34,F," Belagavi, Karnataka",Freelancer,August,2021,Q3
It looks amazing on hand but if ur looking for features go for something else as it doesnt have much of features.But the best hing is it looks amazing on yours hands,45-54,F," Mumbai, Maharashtra",Homemaker,March,2020,Q1
"Sometimes it's wise to stay put with old stuff. Gen 2 is very useful, robust and satisfactory for 24x7x365 usage. Biggest gain is the lack of touchscreen the replacement comes with. Looks like it's designed keeping someone like me in mind who doesn't want to be bothered. Wrap around and forget.",18-24,M," Chennai, Tamil Nadu",Working Professional,December,2023,Q4
"Good band every thing is perfect work all functions like heart rate monitor pedometer calories burn step counts sleep monitor alerts on call and message nice but when we want to recharge dismental capsule from the strap and recharge. ie not good every time and there is no any screen guard for protection, buy separately otherwise overall nice. battery performance also nice it mentions twenty days actually you get around 15 days. More battery discharge for heart rate function. No problem good p...
READ MORE",Under 18,M," Mumbai, Maharashtra",Student,November,2020,Q4
"I purchased this band on my friend's recommendation. It is best in this price range but has it's limitations. It doesn't recognise afternoon sleep, doesn't give REM sleep time, won't recognise calories burned by activities like elliptical. Even for this price range one would expect these basic things. But there is nothing good in middle Mi Band and Fitbit. Battery backup is awesome although and if you are reluctant to pay too much than this is the best you can get.",35-44,M," Bengaluru, Karnataka",Working Professional,June,2020,Q2
It looks good and fantastic good product and u can also buy no fame orginal,45-54,F," Kozhikode, Kerala",Homemaker,November,2023,Q4
"Review after a month of usage
1) Design- Good design with proper wrist band. No issues with the design. Tracker fits in properly. Also, different bands can be bought and used too!
2) Performance- Time, Pedometer, Heartbeat sensor, all work properly. Though the readings might not be perfect but it's very close to approximate. Great value at the price it's offered. Connects to the mobile app through bluetooth and is amazing for getting proper analysis of the day with a satisfying sleep tracker....
READ MORE",18-24,M," Navi Mumbai, Maharashtra",Working Professional,March,2020,Q1
Couldn't get more at this price. Everything is perfect except the pedometer. Shows steps even when we are driving 😂 sleep data is pretty accurate so is the heart rate sensor. Band quality is above average and looks good. One star less for packaging. Seller packed the product poorly. I wonder how it hasn't broken.,35-44,M," Bhopal, Madhya Pradesh",Freelancer,August,2022,Q3
Best buy... good battery backup..... heart rate is almost accurate..... worth even a Penny.... although the market has changed with arrival of mi band3 honor band4 and others this band still have its prominence......using it for 1year not had a situation to change...buy it...,55 and above,M," Payyannur, Kerala",Retired,February,2023,Q1
"I am writing this review after using it for a year. To be honest, it provides one of the most accurate results in terms of step count and other activities. Sleep tracking still needs improvement though. Overall, a good one for people who are newbie in using a fit band.",18-24,F," Bhubaneswar, Odisha",Working Professional,March,2021,Q1
"Neat product , very posh , discreet . Does monitor heartrate better than most fitness bands. Step counter needs work",25-34,M," Krishnanagar, West Bengal",Working Professional,July,2023,Q3
The band is really awesome and those who are saying that this band measures the heart rate of non living things it is showing your previous heart rate! because its sensor can't understand.... thank you xaomi and Flipkart for lightning fast delivery 😚😋😊😊,Under 18,F," Kolkata, West Bengal",Student,May,2021,Q2
"I gifted this Band to my close friend! She is very happy for this product. First thing she told ''Look at this cute little thing"".
You can also buy MI Band 3 if u have 300/- extra in your pocket",Under 18,M," Navi Mumbai, Maharashtra",Student,April,2022,Q2
superb outstanding band this is good quality strap great work by mi,55 and above,F," Kolkata, West Bengal",Homemaker,February,2023,Q1
"Wanted to try out a Fitness band so purchased a refurbished Mi Band 2..Was pleasantly surprised with the small yet powerful set of features it offers. Liked it so much, I purchased 2 new ones from Flipkart, one for my wife and another for my friend. Below are my thoughts after 2 weeks of usage.

Pros: Excellent battery life (I only use it for the fitness tracking features and to check the time..Dont use it for call / message notifications). 1 complete charge should easily last more than the c...
READ MORE",35-44,M," Thane, Maharashtra",Working Professional,March,2021,Q1
An amazing product...Worth the money...better performance and better accuracy...when I am on the bike I get to know who is calling me and can disconnect or silent calls too...7 day battery life...got wet in the rains yesterday yet the band works normal...Go ahead and buy this if you don't wish to spend so much money on a SmartWatch...,18-24,M," Mumbai, Maharashtra",Freelancer,March,2024,Q1
I liked it's compact size and classic look. MI Band 2 is compatible with everyphone. you just need to install the MIFit App from the play store. This band is really useful to track your fitness record and work towards achieving goals.,25-34,M," Bengaluru, Karnataka",Working Professional,June,2023,Q2
"Very good fitness band, I have been using since 1 month.

- Very slim and sleek design
- Looks premium in this price range
- All basic functions like time, step counts, calories burnt, distance covered, battery % date, day, & month
- It also has heart rate sensor
- MI app is simple and easy to use
- Battery life is upto 15 days if heart sensor is always on and arround 20-23 days if heart rate sensor is off
- You can reject calls directly through band


Final Verdict :-
You can purchase it i...
READ MORE",35-44,M," Daman, Daman and Diu",Working Professional,June,2020,Q2
Nice arm band with moderate functionality. Look wise its is cool since it is black in color. Great backup. This is day 4 after first charging and still it shows 81% remaining. Value for money and I don't think there are any deals better than this one.,25-34,M," Kottayam, Kerala ",Working Professional,October,2024,Q4
It is original MI band 2 and very good to use. I highly recommend it. Delivery also fast and Flipkart pay later is best option for customer.,35-44,M," Mumbai, Maharashtra",Freelancer,May,2021,Q2
"Decent size, good looking super light weight...super fast delivery by Flipkart, @ flipkart at least send a product which is not open ever seems someone already open the box before however no clue of being used so i accepted it additionally i bought mens brief as well m i hope its not used",Under 18,F," New Delhi, Delhi",Student,August,2024,Q3
it is amazing. I am a YouTuber. so I purchase good quality nice strip good packing . thanks to flipkart,25-34,F," Gubbi, Karnataka",Homemaker,March,2020,Q1
working fine after a month of purchase. Very useful gadget. heart rate though not so accurate but will give an idea of your status. sleep tracker is very useful. will know at least how many hour we sleep. encourages us to walk more..,25-34,M," Bhubaneswar, Odisha",Working Professional,November,2020,Q4
Just awesome battery is given 20days but its going on till 25 days every thing is good but one doubt its there on heart beat else excellent thank u flipkart...,35-44,M," Raichur, Karnataka",Homemaker,April,2020,Q2
I like the product very much for my guess it's good and I never liked to shop online so this was my first experience so it's excellent thank you to flipkart,Under 18,M," Kolkata, West Bengal",Student,March,2022,Q1
wow nice band by mi... good quality accurate measurements of sleep and walk,18-24,M,"  Pune, Maharashtra",Freelancer,April,2023,Q2
I love all mi product and phones because quality is great and price is cheaper than its competitors i loved thi band go and buy in 1500 rs range band.,45-54,M," Surat, Gujarat",Working Professional,January,2024,Q1
"good deliver process,product reached at time,the product was good and I loved it. Thank you guys!",Under 18,M," Chennai, Tamil Nadu",Student,June,2021,Q2
"It is nice band and good bettry life notification , appalert, ect is good but hertsensor is not good",45-54,M," Challakere, Karnataka",Freelancer,September,2020,Q3
"Amazingly Product Must Buy.... Best Budget Smart Fitband under 2k. Its Have Improved Pedometer and HRM. And Smart alert is awesome. When You sleep and alarm set on your band then you easily wake up without any noise. Battery Back is too good up to 20 days when you off smart alerts and some feature but when you all features use then band goes upto 10 days easily. brightness is pretty Good in sunlight. This Best For daily use. Its Budget band not cheap band. Band designed too excellent whenever...
READ MORE",18-24,M," Mumbai, Maharashtra",Working Professional,October,2021,Q4
"Bought after reading reviews and comparing with other products. Mi Band 2 is sleek, light weight and comfortable to wear. Given below are few pros and cons
Pros - Light weight. Comfortable to wear.
Shows time, numbers to steps - to measure activity, heart beat is also measured.
Easy to charge
Alarm in the morning is very helpful
Also Mi app is very useful to know the activities of the day and calories burnt.
Affordable price

Cons - Sometimes the steps counter is not accurate.

Overall go...
READ MORE",55 and above,F," Dharwad, Karnataka",Homemaker,October,2022,Q4
"Great product charge is on another level , so easy to use and too good product .",45-54,M," Howrah, West Bengal",Freelancer,September,2022,Q3
"It's very useful band , one who are concious of their health must have this . This works like a instrutor & motivate to be healthy",25-34,M," Patna, Bihar",Working Professional,January,2021,Q1
"awesome product of this price
excellent
super
amazing
mind blowing
it works perfect
For every one it will be super
heart beat monitor is awesome.",35-44,M," West Godavari, Andhra Pradesh ",Working Professional,March,2024,Q1
"Fantastic product.. im loved with this mi band 2. Its a great fitness watch i have seen ever in my life. Worth of money . Everyone go with mi band 2. Every functions are useful and we can knw our steps count,heart rate,sleeping ..everything. so i mainly suggest to every sports players. It s best for them.. i got it in 1599/- and great delivery by flipkart",55 and above,M," Ullal, Karnataka",Freelancer,February,2024,Q1
"very nice product , received on expected date... some problem on starting, it was not working, but after full recharge it work properly... m buy it for my dad... app also good, good product . recommend to all",45-54,M," Kalyan, Maharashtra",Working Professional,April,2023,Q2
"awesome product. has a good and soft strap and a good looking sensor. fast responses, every settings can done on the MI fit app.i really loved it.and thanks to flipkart for fast delivery.",35-44,M," Eravattur, Kerala",Freelancer,December,2022,Q4
"amazing something accurate pedometer
heart rate monitor not work properly
but it's ok for this valuable price",45-54,M," Chhatarpur, Madhya Pradesh",Working Professional,March,2022,Q1
this is the best and excellent work I am happy and loving it.,45-54,F," Mumbai, Maharashtra",Homemaker,March,2022,Q1
"I was thinking of getting a smart watch for a very long times..then I came across the fact that Mi band has received the RED DOT INTERNATIONAL AWARD FOR IT'S DESIGN IN 2017. I went through several reviews and unboxing videos on YouTube, and decided to buy this. As I am a heart patient and am ALWAYS on medication, I thought it would help to keep monitoring my heart 24/7.
the other features, in this, are interesting as well. the band feels like a feather on the wrist. it will simply ruin my ...
READ MORE",Under 18,F," Kolkata, West Bengal",Student,August,2024,Q3
Works perfectly! Amazing. Best thing is shows the name of the person calling you.. u have to do the settings for that in Ur app ! Love it,45-54,F," Bengaluru, Karnataka",Homemaker,December,2021,Q4
