                    Reviews for Samsung Galaxy Watch ,Age,Gender,Location,        Occupation,Month,Year,Quarter
"No value for money
Poor features for the price
Good looking product excellent design",55 and above,F," Shiggaon, Karnataka",Homemaker,July,2023,Q3
"Fit band was really good, but activities are not working Step count not working Full activities Taking features is not working Really nice products Good fit band.",18-24,M," Ganjam, Odisha ",Freelancer,July,2022,Q3
Aod is not up to the mark..else good,18-24,M," Bilaspur, Chhattisgarh",Freelancer,October,2022,Q4
"This is a perfect Budget friendly fitness tracker. Don't confuse it with a smart match. The sleep monitor, BPM, Spo2 and Steps counting are accurate in this price segment.
Guys with fitness or health in mind , can blindly go for it. This is the most reliable tracker in the segment.",35-44,M," Hyderabad, Telangana",Freelancer,January,2024,Q1
"It meets everything mentioned in the specification.
Cons: Accuracy of fitness activities could have been better.",Under 18,M," Dharmapuri, Tamil Nadu",Student,July,2023,Q3
Watch nice,45-54,M," Kallakkurichi District, Tamil Nadu",Working Professional,November,2023,Q4
I love it. Activity tracking is on point. Feels premium and works well with my S23.,25-34,M," New Delhi, Delhi",Working Professional,March,2024,Q1
NICE,25-34,M," Kolkata, West Bengal",Working Professional,March,2024,Q1
MUST BUY,Under 18,M,"  Pune, Maharashtra",Student,May,2022,Q2
"Rahe fit and on time with the well balanced blend of design and functions. It's aesthetic does not grab attention but shouts out it's capabilities when it comes to the features. It gives a very accurate measurement of my sleep schedule and fitness and health tracking. The interface is very user friendly and easy to use. It's battery life is also amazing can work upto a week. The always on display feature make it easier to know the time at a glance on your wrist. It's a balance of simplicity a...
READ MORE",25-34,F," Varanasi, Uttar Pradesh",Homemaker,May,2022,Q2
Finally a fitness tracker which is true to its name.,55 and above,M," Kolkata, West Bengal",Retired,March,2021,Q1
If you're looking for fitness then Better to go for this instead of so called smartwatch under 5k. It is accurate than the other smartwatches in the segment and the app support along samsung health is added advantage,55 and above,M," Bengaluru, Karnataka",Retired,October,2020,Q4
Just a wow. I'm comfortable wiith smartband. They are light weight and comfortable. And this is the real smartband. It's from Samsung. So the sensor's are accurate. Sleep tracking and othe sports activities are recorded accurately. Always on display is there. Lovely battery backup with AOD on. Overall satisfied.,Under 18,M," Kolkata, West Bengal",Student,October,2022,Q4
Fitness tracking is accurate,25-34,M," Kankavli, Maharashtra",Freelancer,July,2022,Q3
It is a good product,45-54,M," Kolkata, West Bengal",Freelancer,September,2020,Q3
Value for money,35-44,M," Jammu, Jammu and Kashmir",Working Professional,September,2020,Q3
"Wonderful products, wow 👌 thanks filipkert
Amezing",Under 18,F," Chennai, Tamil Nadu",Student,January,2022,Q1
Best buy,18-24,M ," Uppinangady, Karnataka",Freelancer,June,2022,Q2
Good,18-24,M," Hyderabad, Telangana",Working Professional,September,2023,Q3
"I recently bought this watch and I'm quite impressed. When I first saw it, I noticed that it felt less like a fitness band and more like a smartwatch.Samsung has designed the Galaxy Fit 3's UI so well that it operates smoothly without any lag, whether you're using it for tracking or sleep monitoring. In the 5-6k budget range, this watch is truly a value-for-money product.The strap is also of very premium quality🙌🏼🩵✨️",25-34,F," Mokalsar, Rajasthan",Homemaker,July,2024,Q3
Battery work hardly 3 to 4 days. Sleep tracking is not accurate always showing wrong data.,Under 18,M," Fatehpur, Uttar Pradesh ",Student,March,2023,Q1
"Important: For people who are using airtel prepaid,esim activation will not work.Stupid airtel wants you to convert your prepaid to postpaid.only then it will work.For jio prepaid,esim will work.I had to port my number from airtel to jio.",55 and above,M," Gangtok, Sikkim",Retired,November,2024,Q4
Good. But battery 🔋 backup need to improve,25-34,M," Patna, Bihar",Working Professional,May,2024,Q2
It is a pretty good watch to pair with any ANDROID phone. Recommended to buy LTE as this won't require Bluetooth most of the time to connect.,45-54,M," Indore, Madhya Pradesh",Freelancer,May,2023,Q2
"This is the finest smartwatch, even better than the more higher rated watches. The watch faces are immaculately crafted. Getting BP checked and observing your ECG are exceptional features.The very best watch",18-24,M," New Delhi, Delhi",Freelancer,April,2020,Q2
"Second time purchase samsung smart watch.
I purchased first time samsung watch 4 but this was just bought smart watch 7 LT.
It's design is suprb.
Slik and soft in use.
Green strap is also too good. I was worried about green colour strap but it's fantastic.
Health monitoring app like samsung health monitor is additional features for samsung phone. But it's functioning and health monitoring features is superb.
For ECG you should need bp monitor machine additional to perfect and necessary.
Watc...
READ MORE",25-34,M," Gopalganj, Bihar",Freelancer,February,2020,Q1
Good watch value for money,55 and above,M," Mumbai, Maharashtra",Retired,July,2021,Q3
This watch does not come with a charging plug. Make sure you order 1 aswell. I have to reorder a plug. Cannot use watch . Bought a Roarx C-Type charger ..now awesome 👌,35-44,M," Puttaparthi, Andhra Pradesh",Working Professional,November,2021,Q4
"The watch has got some really cool features but the battery life on this pathetic, you hardly get 10 to 12 hours of battery life with all the sensors and the features enabled.",18-24,M," Vizianagaram, Andhra Pradesh",Working Professional,September,2020,Q3
"Good but battery is 10,,,,hour is use psr charge",55 and above,F," Mauganj, Madhya Pradesh",Homemaker,December,2021,Q4
Got it in discount in bbd and its wqy better than i expected,Under 18,M," Gurgaon, Haryana",Student,June,2024,Q2
"Bought this watch for a very competitive price during the big billion day. I have been using this device as a daily device. Everything has been crafted in this watch. Only backdrop is battery backup with all features switched on, it hardly lasts for a day. By turning off unwanted features for our daily use I am seeing good change in battery life. I suggest and recommend everyone to buy this product if they are looking for a smart watch with LTE. Best android watch. I Bought this watch for 15K...
READ MORE",Under 18,M," Paramathi, Tamil Nadu",Student,February,2024,Q1
Next level,45-54,M," Alappuzha, Kerala",Working Professional,October,2024,Q4
"The watch is really cool and feature loaded. Lte also gets installed easily from non samsung phones, but only for the Jio connection. Must buy.",25-34,M," Bengaluru, Karnataka",Freelancer,November,2021,Q4
"Watch is good, activity tracking is also accurate, battery life is very poor and runs only for 24 hrs, you need to have a Samsung smartphone to get the best out of this watch.",Under 18,M," Bengaluru, Karnataka",Student,April,2024,Q2
"Awesome product and delivery was very fast
Thank u flipkart for the effort",18-24,M," Madurai, Tamil Nadu",Working Professional,December,2023,Q4
"Watch looks impressive but I have many issues due to which I have given 2 atra-

1. The description says it is the classic version but it is actually a normal version. So I felt betrayed.
2. I paid extra money for late feature but after buying I found out that you need to have postpaid version of the sim and also Samsung phone (except jio) to activate e sim. So unless you use jio sim, no need to pay extra money for late version. They should have mentioned this in description.

3. Battery life...
READ MORE",18-24,M," Noida, Uttar Pradesh",Freelancer,August,2023,Q3
"Samsung Watch 6 is good. But other android mobile users disappointed some futures not working like BP and ECG. I am using a Pixel 8 pro so the Samsung health morning app has not found the google play store.
Samsung pushes every one to buy only his own product. Samsung monopoly boss😃😃",55 and above,F," North Twenty Four Parganas District, West Bengal",Homemaker,March,2023,Q1
"After three days of using the Samsung Galaxy Watch 6 LTE, which I received on August 6th, I can confidently say it's amazing! As a first-time Galaxy Watch user, I'm thrilled with it. The display is stunning, and it handles almost everything I need without carrying my phone. I'm very happy with this Galaxy Watch. Call quality is excellent without any disturbance, making hands-free conversations a breeze. However, the battery only lasts about a day on a single charge with my current usage.",Under 18,M," Howrah, West Bengal",Student,March,2024,Q1
Nice Watch Premium Look,18-24,M," Nashik, Maharashtra",Freelancer,November,2024,Q4
"Nice product, premium watch,",55 and above,M," Raigarh, Chhattisgarh ",Retired,February,2024,Q1
Battery life is less and also some features are not there for other non Samsung android devices. Hope this gets enabled for every device,55 and above,M," Bengaluru, Karnataka ",Retired,February,2021,Q1
"Maximum features only supporting by Samsung galaxy mobiles only, other mobiles won't feature",55 and above,M," Karapa, Andhra Pradesh",Retired,January,2021,Q1
"It's really great product,
I kept an aim not to use phone more than I came up with watch

Answering the call using watch, fitness from watch, music I won't listen alot but using it ..

Battery upto evening I am getting charge, again evening around 7 I am keep charge .

Display awesome

Fitness tracking is good

Features are looking great

No waste or feel like carrying the watch .

Thanks",25-34,M," Rajahmundry, Andhra Pradesh",Working Professional,April,2022,Q2
"Best watch overall, i got in sale only for 17k i have lte version which is superb to use Battery is not too much good but decent for day to day life in single charge you can expect 1.5 days Battery backup easily if you off always on display , i like the watch",45-54,M," New Delhi, Delhi",Working Professional,September,2020,Q3
Good but slow on internet,35-44,M," Gwalior, Madhya Pradesh",Freelancer,December,2022,Q4
After using just 2days nothing more to describe...later I will give some review..,55 and above,F," Asansol, West Bengal",Homemaker,July,2024,Q3
"VERY GOOD SMARTWATCH.
DISPLAY VERY GOOD
BATTERY MUCH IMPROVEMENT OVER SAMSUNG WATCH 4 WHERE WATCH WAS TO BE CHARGED TWICE A DAY.
WHY WAS SPECTICAL BEFORE BUYING THIS AS WAS WORRIED ABOUT BATTERY LIFE
BUT IT MET MY EXPECTATIONS AND EVEN AFTER Good USE I GET 1 TO 1 AND HALF DAYS BACKUP WITH LTE AND DATA ON",55 and above,M," Nagpur, Maharashtra",Retired,March,2022,Q1
All features works with only samsung phone,18-24,M," Bengaluru, Karnataka",Working Professional,February,2020,Q1
Good,45-54,F," Asansol, West Bengal",Homemaker,October,2024,Q4
Good,35-44,M," Paravai, Tamil Nadu",Student,March,2021,Q1
Excellent performance,45-54,M," Visakhapatnam, Andhra Pradesh",Working Professional,May,2024,Q2
Average experience,45-54,M," Anugul, Odisha",Working Professional,October,2024,Q4
bettery could have been better,18-24,M," Ambassa, Tripura",Freelancer,June,2022,Q2
Average,18-24,F," Rajahmundry, Andhra Pradesh",Working Professional,March,2022,Q1
Feels good with this product.,45-54,F," Periya Negamam, Tamil Nadu",Homemaker,October,2022,Q4
Its awesome,18-24,M," Melur, Tamil Nadu",Working Professional,January,2021,Q1
Great product,Under 18,M," New Delhi, Delhi",Student,November,2020,Q4
"The biggest con I find is that this is a LTE smartwatch with no way to track location! Even LTE calling is difficult to setup, and won't get setup at all if you don't have a Samsung phone! If you don't absolutely need LTE, better to buy the normal BT version instead since rest of the features are very good",Under 18,M," Bengaluru, Karnataka",Student,November,2024,Q4
Bad battery backup 😕 but look attractive,25-34,M," Basti, Uttar Pradesh",Freelancer,December,2023,Q4
Battery is not lasting for 24 hrs also,Under 18,M," New Delhi, Delhi",Student,March,2021,Q1
Goid,Under 18,M," Roorkee, Uttarakhand",Student,July,2022,Q3
Very Very beautiful and very Very good 👍 protect,Under 18,F," Cuddalore, Tamil Nadu",Student,October,2023,Q4
Excellent product with excellent price,35-44,M," Sambalpur, Odisha",Freelancer,April,2022,Q2
Using since 2 months ....very good,Under 18,M," Ernakulam, Kerala",Student,May,2020,Q2
Good 👍,55 and above,M," East Godavari, Andhra Pradesh ",Retired,August,2020,Q3
Sometimes face issue with navigation.. rest all awesome..,Under 18,F," Thiruvananthapuram, Kerala",Student,April,2022,Q2
Poor battery,55 and above,M," Alibag, Maharashtra",Retired,September,2023,Q3
Great,18-24,M," Kalyan, Maharashtra",Working Professional,January,2023,Q1
Forest product money waste,55 and above,F," Khammam, Telangana",Homemaker,July,2021,Q3
"Product is good. I feel, charger adapter should also be given along with it, given the high price",55 and above,M," Mumbai, Maharashtra",Retired,May,2024,Q2
Nice product but battery 🔋 is not run at least one day,25-34,M," Chitgoppa, Karnataka",Working Professional,March,2021,Q1
good,45-54,M," Kozhikode, Kerala",Freelancer,April,2021,Q2
Excellent product,18-24,M," Bengaluru, Karnataka",Freelancer,February,2022,Q1
Best android smartwatch,55 and above,M," New Delhi, Delhi",Retired,August,2023,Q3
Samsung is my first priority even in phone also,55 and above,M," Firozpur, Punjab",Retired,May,2022,Q2
Please provide additional compatibilities with smartphones other than samsung,Under 18,M," Ghumarwin, Himachal Pradesh",Student,September,2024,Q3
A feature load smartwatch with BP and ECG measuring app. Battery lasts for a day. LTE cannot be used in battery saver mode,Under 18,M," New Delhi, Delhi",Student,February,2020,Q1
If you want a true smart watch go for it.,25-34,M," Chennai, Tamil Nadu",Working Professional,December,2021,Q4
"I have been using this for 5 days , The battery is the worst while using lte we have to charge 2 times a day, The display is good , The sleep monitor will only record only at night if we sleep in the afternoon It wont record.",18-24,F," Hyderabad, Telangana",Working Professional,June,2021,Q2
Awesome....better it had more battery capacity on LTE usage. On Bluetooth and watch only mode ..its giving pretty good..battery life. In Total Value for money....packed with features,55 and above,M," Kottayam, Kerala ",Retired,May,2023,Q2
Lte works perfectly with any android mobile,35-44,M," Jhargram, West Bengal",Freelancer,April,2020,Q2
Great purchase,Under 18,M," Bikaner, Rajasthan",Student,October,2024,Q4
"Happy with the purchase, great features",Under 18,M," Lucknow, Uttar Pradesh",Student,January,2022,Q1
Battery is poor. Lost only for 1 day. U can get max value with only Samsung Mobiles. Because of Samsung Health App integration. Design is ok. Tap and pay feature is Super. Cant trust BP and ECG features.,45-54,M," Hanamkonda, Telangana",Working Professional,November,2023,Q4
Available gesture can be done in reverse for doing other tasks. Hope We get that in next update,35-44,M," Solapur, Maharashtra",Working Professional,November,2024,Q4
"Quality best, battery very poor...",45-54,M," Pimpri Chinchwad, Maharashtra",Working Professional,May,2020,Q2
"Battery life is too poor
Need to change twice a day",18-24,M," Hassan, Karnataka ",Freelancer,February,2020,Q1
One of the worst purchase. After couple of updates the watch seems to act weird. You have to keep pressing the button to start the display and post update the health tracking is not even close to accuracy. My suggestion to everyone if you have money please go for Apple watch,35-44,M," Guwahati, Assam",Working Professional,October,2021,Q4
Awesome pr,55 and above,F," Moradabad, Uttar Pradesh",Homemaker,September,2022,Q3
Battery lasts for less than a day...very difficult to manage during travel... Major issue is with ECG and blood pressure tracking...it works only in Samsung phone.,18-24,M," Thane, Maharashtra",Working Professional,January,2022,Q1
Best smart watch ⌚,55 and above,M," New Delhi, Delhi",Retired,March,2020,Q1
"Needs 2 time battery charge a day. You can use your mobile type C port to charge the watch. Most of the mobile supports reverse charging.
Watch Heat up when LTE, GPS and wify is running.Only power saver mode lasts more than a day.
ECG and blood pressure are restricted to Android phones.
Limited support for apps.Too Hyped but actually offer little to the fitness enthusiast.
If you are looking for more usable fitness tracking then go for Amazefit or something else with more battery life, small...
READ MORE",45-54,M," Ghaziabad, Uttar Pradesh",Student,January,2022,Q1
Good product,35-44,M," Mainpuri, Uttar Pradesh",Freelancer,January,2021,Q1
Very good product and offer by Flipkart thanks Flipkart for best de,45-54,M," Kanpur, Uttar Pradesh",Working Professional,September,2021,Q3
Watch quality is excellent. Only for Android.,35-44,M," Greater Noida, Uttar Pradesh",Freelancer,May,2024,Q2
Defective not connecting to any phone,25-34,M," Vadodara, Gujarat",Freelancer,April,2020,Q2
dont but this . this fit for only samsung only not for all android mobiles,Under 18,M," Rajahmundry, Andhra Pradesh",Student,October,2020,Q4
Very good product. Worth of buy. Battery capacity only wants to improve. The remaining all are good. ECG and Blood Pressure are not working they are only in Samsung phones only..,25-34,M," Sri Potti Sriramulu Nellore, Andhra Pradesh ",Working Professional,June,2020,Q2
Good,35-44,F," Bhuj, Gujarat",Homemaker,November,2020,Q4
Not working with non Samsung phones. Pathetic battery life,55 and above,M," New Delhi, Delhi",Retired,February,2021,Q1
Good product but battery performance is poor but product is good,18-24,M," Dhoraji, Gujarat",Working Professional,December,2020,Q4
"Nice Watch but you guys Missguided this is not Classic (47mm). It was just normal LTE watch , Battery will be lasts for a day or more.",35-44,M," Jaipur, Rajasthan",Working Professional,May,2021,Q2
"The watch is amazing. Got for 16k in BBD. It has all the health monitoring, activity tracking and GPS is also good. LTE makes it more useful. Excellent connectivity with Samsung devices.

Only thing that's needs an upgrade here is the battery life. Battery life is only 2 days max.

Otherwise the watch is a no brainer. Just go for it if you don't want to spend 30-40k.",55 and above,M," Dewas, Madhya Pradesh",Retired,November,2024,Q4
From first day there is issue,45-54,M," Bhusawal, Maharashtra",Working Professional,February,2020,Q1
Value for money with effective features,35-44,F," Jaipur, Rajasthan",Homemaker,May,2023,Q2
"Do not buy this product if you don't having
Samsung galaxy device. This is cheating from samsung.",25-34,M," Ranga Reddy, Telangana",Working Professional,March,2021,Q1
Battery had to be replaced in 10 days,35-44,M," Gurugram, Haryana",Working Professional,June,2022,Q2
"For this watch we need to have samsung phone, without samsung phone can't utilize all application in this watch such like BP and ECG.
Battery backup is not good, try a different option",45-54,F," Pimpri Chinchwad, Maharashtra",Homemaker,June,2020,Q2
Nice watch ok with all thing,18-24,M," Jahanabad, Uttar Pradesh",Working Professional,February,2021,Q1
Awesome smart watch. Thank you Flipkart for giving excellent offer on watch.,Under 18,M," Chennai, Tamil Nadu",Student,May,2023,Q2
Very nice product.,35-44,M," Vadodara, Gujarat",Freelancer,February,2022,Q1
"Battery lasts only a day. Touch is not as smooth as phones; need to apply some pressure for touch to work. If I get an option of buying it again even in 5K, I wouldn't buy.",25-34,F," Jaipur, Rajasthan",Homemaker,October,2024,Q4
Excellent watch,25-34,M," Bengaluru, Karnataka",Working Professional,April,2024,Q2
"Watch is very good, LTE version is worth buying, no need of Taking phone everyday, but not all features are available in india, samsung pay, BP monitor and ECG is missing, hope samsung gives that soon, Watch looks look, comfy feel, with moderate use battery lasts for 2 days on average..some features nor yet avaliable in india like ECG, BP monitor and Samsung pay, hope samsung brings that soon",18-24,M," Shimoga, Karnataka",Freelancer,February,2022,Q1
"awesome watch one of the best watch in this price range
drawback of this watch is there is no ecg and samsung pay support available in India but you can enable through a typical method",35-44,M," Aligarh, Uttar Pradesh",Freelancer,October,2023,Q4
"Not worth for the price.
No Charger in the box.
Display and Built Quality is good.
Many features are not working in non Samsung devices when the Galaxy Wearable app is not open.
Battery 1.5day to 2 days max(with location and Bluetooth on).
And I also have concern over Magnetic strap, not so powerful magnet.",35-44,M," Bengaluru, Karnataka",Freelancer,June,2021,Q2
Dream comes true by Samsung and Flipkart.,Under 18,M," Aurangabad, Maharashtra ",Student,November,2024,Q4
"Post using the product for a few months. My overal experience:

1) battery life last for 3 days only after disabling 65 percent of the features. Ironaically, this watch
was suppose to give 4-5 days of battery life. Would have given 5 star rating if battery lasted 5 days.

2) It is loaded with features. Fitness tacking quality is good. Though gps tracking takes time to be active.

3) Spo2 tracking quality is average and shows vairance frequently in compare to real device.

4) Can install bp a...
READ MORE",25-34,M," Bengaluru, Karnataka",Working Professional,May,2023,Q2
Battery backup should be better and samsung should enable all the features for india too,45-54,M," Bengaluru, Karnataka",Working Professional,June,2024,Q2
"Nice Watch.
Premium look.
Every feature available.",45-54,M," Bengaluru, Karnataka",Freelancer,January,2024,Q1
Good,Under 18,M," Sukdal, West Bengal",Student,October,2021,Q4
Excellent watch,55 and above,F," Bhubaneshwar, Odisha",Homemaker,November,2023,Q4
Good product,18-24,M," Gandhidham, Gujarat",Working Professional,December,2022,Q4
Giving lower rating as this too much expensive but missing features in India so can get watch with similar feature in less,35-44,M," Hajipur, Bihar",Working Professional,April,2021,Q2
Nice product. Value for money,45-54,M," Hyderabad, Telangana",Working Professional,December,2021,Q4
"Friendly user ,can type in mother tongue, chargers are available in common functions ",45-54,F,"Dombivali, Maharashtra ",Working Professional,December,2021,Q4
"It typically track a variety of health metrics, such as heart rate, steps taken, and sleep quality, monitoring the fitness and overall well-being. The data helps to set and achieve health goals, leading to more informed lifestyle choices.",35-44,F,"Mumbai, Maharashtra ",Working Professional,November,2021,Q4
"Samsung watch is not compatible with any other phone , only works with wifi ",45-54,F,"Pune, Maharashtra ",Homemaker,February,2022,Q1
Nice,45-54,M,"Aurangabad, Maharashtra ",Working Professional,June,2020,Q2
Good ,35-44,F,"Vashi, Maharashtra",Working Professional,December,2024,Q4
"Idon’t wear wearable health devices often, but whenever I do, they serve as a great source of motivation to stay active. Tracking my daily steps and exercise progress helps me maintain a healthy routine. These devices make it easier to set and achieve fitness goals. ",18-24,F,"Panvel , Maharashtra ",Student,June,2022,Q2
Its good and all,18-24,M,"Kochi, Kerala",Student,February,2024,Q1
It is best health device.,45-54,M,"Aurangabad, Maharashtra ",Working Professional,January,2022,Q1
Satisfied with Samsung Smart watch to keep tracking my heart ❤️ rate ,35-44,M,"Aurangabad,  Maharashtra ",Working Professional,August,2023,Q3
"I use to check my blood presser, sugar, rtc ",35-44,F,"Mumbai, Maharashtra",Working Professional,March,2023,Q1
Good experience ,45-54,F,"Kalyan, Maharashtra",Working Professional,December,2024,Q4
"Got my classic 46mm lte variant delivered today.

Those who have complaints on watch battery issues, software update etc etc

Be patient with the watch.
First things first crank it up to 100% charge.
Several updates have been released while its sitting in the box. So do update the watch

If you are facing issues with latest update switch off bluetooth in the watch. Connect to wifi or lte then try updating. I'm sure the update happens smooth then.

Let the machine learning happen on usage for...
READ MORE",55 and above,M," Hyderabad, Telangana",Retired,January,2023,Q1
"The watch is excellent and fits perfectly
Pros:
1. OS: Beautiful OS. Smooth without any lag
2. Build quality: Excellent. I bumped into several things by mistake. No even a scratch.
3. Connectivity: Has Bluetooth, wifi, LTE all a watch needs
4. Functionality: Has all the modes a fitness freak requires. It also detects type of exercise on its own and starts the workout. Great if you forget to start. Has all the major sensors. Measuring is pretty easy and in case of error, it guides you to co...
READ MORE",Under 18,M," Karkal, Maharashtra",Student,October,2023,Q4
It's my dream It's very good product,25-34,M," Kumarapuram, Kerala",Working Professional,February,2023,Q1
"Alk Samsung products (smartphones and watches) take 7-10 days to learn usage and optimize. Till then you'll feel overheating, fast battery draining and all sort of issues. But after that time no other brand can stand at that level... amazing performance and aesthetics...",45-54,M," Ghaziabad, Uttar Pradesh",Working Professional,March,2020,Q1
"Battery Issue but this can be manageable by using power saver and airplane mode. Rest everything is fine as a full fledged smartwatch.

Battery Life
Normal mode (esim mode with wifi on) -20 hrs
Power Saving Mode -36 hrs
Power Saving + airplane mode - 48 hrs
Clock mode(only clock no tracking) - 4 to 5 days",55 and above,M," Yamuna Nagar, Haryana",Retired,June,2024,Q2
"I got the Samsung Smart Watch 4 LTE recently. At first, I was unsure because some people said it didn't last long on a single charge. But after some thought, I went ahead and bought it. For those complaining about the battery life, you have to understand that this watch is like having a little computer on your wrist. It comes with LTE, Bluetooth, Wi-Fi, and fancy sensors, so if you use all the features, it won't last more than 30 hours. It's not fair to expect it to last as long as those simp...
READ MORE",35-44,M," Barmer, Rajasthan ",Freelancer,January,2022,Q1
"Of course I bought this product in the BBD sale. Except for the Battery(1 day hardly) and Charging time(3 hours), It's a GEM of a product!! AND PLEASE DO NOT SIDE LOAD ANY APPS(FOR BP and ECG). That will decrease the battery like anything. Please use only the apps which are supported.

Suggestion - 46mm is very huge. Buy it only if your wrist is kind of big. Otherwise the watch with this big size will look very ugly(Like it's looking for me in the picture). Buy 44mm. It's decent.",25-34,M," Udupi, Karnataka ",Working Professional,May,2020,Q2
LTE is not supported on Airtel Prepaid.,55 and above,M," Chennai, Tamil Nadu",Retired,December,2023,Q4
"Great!

This is my first smartwatch and it's perfect.",45-54,M," New Delhi, Delhi",Working Professional,April,2021,Q2
Really Amazing Product,25-34,F," Neduva, Kerala",Homemaker,July,2024,Q3
"With smooth performance, a great display, sturdy build quality, and a physical rotating bezel for navigating menus, the Samsung Galaxy Watch4 Classic is one of the best smartwatches you can buy today.",55 and above,F," Jaipur, Rajasthan",Homemaker,March,2022,Q1
"I have bought it for the lte feature, but whenever I tried to call from the watch within a minute it shows your phone is hot and needs to be cooled down, and the call gets disconnected and the phone goes to flight mode. This is very unsatisfactory. Other things as usual you are expecting from a smart watch.",45-54,F," Gotamara, Odisha",Homemaker,March,2022,Q1
"I think this is the best under budget Smartwatch in last 2-3 year. This is not like cheap smartband/smartwatch who comes under Two and three thousand, This watch Half Smart watch and half Smart band,

Features like: 1.You can Measure Accurate Heart beat, Sleep, Stress and step counter and body composition
Other features: Bluetooth,GPS, Wifi,Calling, 4G Connectivity with E-Sim, 16GB internal and 1.5GB RAM you can Add Song and photos also, Speaker are also loud, Check All types of Notificatio...
READ MORE",25-34,M," Kapurthala, Punjab",Freelancer,July,2024,Q3
"Product quality is very good
Easy to use
Display is soo smooth and clear
About battery
Works for 2 to 3 daya without lte or aod
But with lte 5 hrs max
Charging is the worst thing , it takes more than 2 hrs for a full charge ..
Over all good product with little life .",25-34,M," Kollam, Kerala",Working Professional,February,2021,Q1
"This Watch is Super Fantastic I loved it very much the feature the build quality all are amazing and the it us the true smart watch ⌚️ It's a Fab Watch From Samsung the accuracy of health parameters is very good you can use this as a phone but the problem is battery the battery is not good the normal usage gives you a 1 day battery backup but if u used it much so you can't get even 1 day battery backup you have to charge it twice in a day But this is best watch in Android world Go for it for...
READ MORE",55 and above,M," New Delhi, Delhi",Retired,December,2020,Q4
Best watch for android,18-24,M," Cuttack, Odisha",Working Professional,November,2024,Q4
"Everything is good as expected, initially I was worried about battery backup, after knowing all the features (tips to save the battery life from the internet) and using the settings wisely I'm getting the battery life for two days (not compromising any of my needs that includes sleep tracking, badminton workout). I'm very happy with NFC payments.",45-54,M," Amalapuram, Andhra Pradesh",Freelancer,February,2023,Q1
"This is the greatest watch
Activity is accurate
LTE Usefully
But main problem is battery and charging time",Under 18,M," Lucknow, Uttar Pradesh",Student,February,2023,Q1
"It's the best you can get for this price. Battery life could have been better. It's one day battery life for me with lte, Bluetooth, heart rate every 10 minutes, wifi on. I usually charge it in the morning everyday and it lasts until the next morning with around 20-30% battery.
It does get hot while charging though, usually after charging watch takes 5 minutes to cool down.

Activity tracking is real good, sleep tracking is also great although the watch does consider any movement in sleep as ...
READ MORE",35-44,M," Bengaluru, Karnataka",Freelancer,August,2021,Q3
The best watch ! There is no comparison for this watch. A proper SMART watch which can do everything a phone can. I got the lte version under 11k and that was the cheapest purchase.,45-54,M," Sangli Mira, Maharashtraj ",Working Professional,August,2023,Q3
"Fantastic product, I'm using the Bluetooth version of 40mm for the last 2 years and right now I got this LTE Version of 46mm. I am wondering why everyone is complaining of battery backup. You have to think that is android watch with quality sensors so don't expect the battery back up of 10 days. I'm getting the battery back up of atleast 2 days and I'm using for running measurements with GPs and always on display. This LTE 46 mm has 361mah as compared to 247mah for 40mm.
Blindly go for it, si...
READ MORE",18-24,F," Barmer, Rajasthan",Working Professional,September,2021,Q3
"I received this watch at no charge. When I charged it for more than 2 hours still watch didn't turn on. So I kept it in charging for more than 4 hours then only it powered on and I got relaxed. So keep it in charging for more that 4 hours for first time.

Coming to the watch:

Watch design is great and looks premium in my hand

Connecting with my one plus mobile is seem less and no lag observed. Required apps are automatically showned for download

Sleep tracking is on point

Auto detection o...
READ MORE",35-44,M," Chennai, Tamil Nadu",Freelancer,August,2020,Q3
I purchased this watch in the BBD sale in 2023. Before I purchased it I was worried about the battery. But when I received my order and updated it to ui 5.0 This watch performance is awesome and also supports samsung pay which is awaiting from launch. Battery performance is like magic 100 percent battery goes with all day and night. I didn't understand why many people were complaining about the battery. This is a smartwatch not a Chinese band.,18-24,M," Jaipur, Rajasthan",Freelancer,December,2023,Q4
I was waiting to buy an Android watch I mean other than Apple. Finally took this because got at a very low price under 10K. Only Issue is Battery and Charging the watch takes 3 hrs to charge 100 percent.,35-44,M," Mahbubnagar, Telangana",Working Professional,September,2021,Q3
"Superb watch, with bad battery backup Then again I use it with wifi and lte so that contributes to bad battery backup. Excellent sync with apps from Play Store and works so well wit the wearable app on my samsung phone. It's like having a second phone that I need to charge each day. There are ways to get the battery backup to 2 days and even more if you keep it on grescale mode with aod switched off. Like the water resistance which works really well. Another good thing that it is future proof...
READ MORE",Under 18,M," Bengaluru, Karnataka",Student,January,2023,Q1
"I've been using this Samsung Galaxy Watch 4 Classic LTE 46mm for the past 11 days. This is a good smart watch for this price range; we're getting all the features of the brand new Watch 6. Out of the box, it doesn't have any charge, so it took more than an hour to turn on the device. It's compactable with my Samsung Galaxy A52s 5G, and LTE works also with non-e-sim mobiles. Don't confuse yourself about that. Since my phone doesn't support e-sim, LTE is still working for me(Jio sim). To get a ...
READ MORE",Under 18,M," Palakkad, Kerala",Student,May,2022,Q2
I am using realme gt master edition phone with this watch. At first need to have a samsung login I'd to get all the features on a non Samsung phone. At first I was not able to set it up correctly. But later I was able to connect with lte and make a call as well.,35-44,F," Gaya, Bihar",Homemaker,May,2023,Q2
