Reviews for FitBit,Age,Gender,Location,        Occupation,Month,Year,Quarter
Im bored using this watch after using it for one week. Previously I was using Apple Watch. This watch is not user friendly. And changing clock face is so painful on this watch.,45-54,M," Thane, Maharashtra",Freelancer,June,2020,Q2
"There is at least 2-5% error in calculating total distance which GPS is connected.
Notifications are too annoying. sometime the same message is there 8-10 times which different parts. And the notification appear again after clear all.
Battery life is average. 2.5 days after intense workout of 2 hours in 3 days.
Strava connectivity sucks. it takes more than 4-5 hours at times for activity to appear on strava.
Looks good. Heart rate and resting heart rate and sleep measurement are good as alway...
READ MORE",25-34,M," Ghaziabad, Uttar Pradesh",Working Professional,January,2021,Q1
"not a good product. software has lots of bugs. they should realise that customers have high expectations from such expensive products. the product is useless if the data is not transferred to the app. and it often happens that for days the app doesn't sync with the watch. then abruptly one day it would sync.
never understood why it doesn't sync and then suddenly it syncs.

tried ways to install music but it just doesn't upload... hence this feature is also useless.

when a new version of f...
READ MORE",25-34,M," Mumbai, Maharashtra",Working Professional,April,2021,Q2
Good service.... Good product,18-24,F," Pondicherry, Puducherry",Working Professional,December,2020,Q4
Defective product,45-54,M," Mumbai, Maharashtra",Working Professional,September,2022,Q3
Superb watch,35-44,M," Nagpur, Maharashtra",Working Professional,April,2020,Q2
"Best watch! Keeps me motivated to workout
Battery life is around 4-5 days ...
Go for it ☺️☺️",25-34,M," Bhubaneswar, Odisha",Freelancer,May,2023,Q2
Superb product,18-24,M," Kothagudem, Telangana",Freelancer,July,2024,Q3
"A very good fitness tracker and a fairly decent smart watch, worth it. And works out well small hands!",Under 18,M," Muvattupuzha, Kerala",Student,March,2024,Q1
Wow versa 2 fantastic look thank you flipkart for safe delivery,18-24,M," Tirunelveli, Tamil Nadu",Freelancer,April,2023,Q2
Good,55 and above,F," Kochi, Kerala",Homemaker,April,2024,Q2
"Nice fitness watch, i recommend it for first level of your purchase on smart watch",35-44,F," Hyderabad, Telangana",Homemaker,March,2020,Q1
Amazing watch with amazing dislay,45-54,M," Ramnagar, Uttarakhand",Working Professional,May,2024,Q2
Works well and looks cool. Very happy with the purchase. Battery lasts easily for 4+ days.,25-34,M," Bengaluru, Karnataka",Freelancer,November,2021,Q4
Such a good watch! 100% as expected! Loved it..🥰,35-44,F," Rajahmundry, Andhra Pradesh",Homemaker,February,2022,Q1
Excellent value for money smartwatch. I purchased this after the versa 3 was announced. Love the screen and the battery life. Only need to charge it once a week. Flipkart price was attractive and I decided to buy this rather than wait for the versa3. Loving it so far.,18-24,M," Ahmedabad, Gujarat",Working Professional,January,2022,Q1
It has been over 4 days while using this watch. The first thing i like about this watch is it's display. Superb vision in sunlight in dim mode also. Activity tracking is not that good as we hear about fitbit's accuracy. Also they should have given a speaker in it. Alexa feature is also good. The only problem is we need to keep the fitbit app run in background in our phone.,18-24,M," Indore, Madhya Pradesh",Working Professional,January,2023,Q1
"Value for money product. Very happy with look and feel, it's also very accurate. Don't go for cheap Chinese ones with tons of features, go with this branded and more reliable product. You won't regret it. If you have more budget, go for Fitbit Versa 3 or Sense. 🙂👍🏻",18-24,M," Mumbai, Maharashtra",Freelancer,August,2021,Q3
Facing problem....not being sync with mobile...showing this picture in watch...please help...watch not working...even after switch off and switch on same result...need help from customer support unit...,Under 18,M," Haora District, West Bengal",Student,September,2020,Q3
"Aesthetic look is impressive. More suitable for Ladies. Call notification only available. Una, Himachal Pradeshble to attend and talk. that facility is essential in this costly smartwatch. Quality of the screen could have improved. Overall good product.",18-24,M," Choornikkara, Kerala",Freelancer,September,2022,Q3
"This is my first smartwatch.
After using for 1 day I really loved the watch.
I'll tell you about what I liked and what I didn't.
Liked :
1. Display : It's super smooth, Always on features is good, and smooth animation.
2. Battery : I fully charged yesterday and still it has 70%.
3. Premium design.
4. Continuous heart rate monitor.

Didn't like:
1. Changing strap is one heavy calorie burn tasks.
2. Music control is kinda tough.
3. Lack of app supports.

Look like I already satisfied with this,...
READ MORE",35-44,M," Udupi, Karnataka",Freelancer,January,2024,Q1
"Thanku fitbit ,best watch",18-24,M," Pathankot, Punjab ",Freelancer,September,2021,Q3
Nice product..,Under 18,M," Hyderabad, Telangana",Student,March,2021,Q1
A great fitness watch and a fairly decent smart watch as well. Was confused between this and Samsung Watch Active 2. Bought Versa 2 and don't regret it.,25-34,M," Hisar, Haryana",Working Professional,February,2023,Q1
"Nice product from fitbit. Worth every Penny. Dial size is little bit small for my liking , but as a gift to wife, she liked the watch a lot.",18-24,M," Kattur, Tamil Nadu",Freelancer,February,2024,Q1
So far so good. Using it for last 3 months. Gives good weekly feedback and daily goals.,Under 18,M," Gurugram, Haryana",Student,August,2024,Q3
"Best smart watch for accuracy of heart beat rates, smooth touch sensors, 5days min battery backup, best call attending or rejecting features. Very much easy to use. Very much satisfied with this products. Fitbit international brand watches. Compatible with Android or ios.
Super display quality.
10/10 rating for all features.
Hope waiting with big display fitbit..",35-44,M," Eloor, Kerala",Working Professional,June,2023,Q2
Its very nice,35-44,F," Palakkad, Kerala",Homemaker,October,2023,Q4
Good for fitness,55 and above,M," Bengaluru, Karnataka",Retired,August,2022,Q3
Nic,18-24,M," New Delhi, Delhi",Freelancer,November,2020,Q4
"Poor product only Hearbeat and Time shows correctly for this 12K product I got a replacement of first one but same story. If you sit idle also your calorie burned keep on increasing, even step tracker is erratic,
When you wake-up it shows around few steps and calorie means im walking in sleep as well. If you ride a two wheeler steps are counted",18-24,M," Kottayam, Kerala ",Freelancer,May,2023,Q2
"Thanks flipkart for cheaper price than any other shop and shopping site and faster than faster delivery.
Watch was awesome.feels different.",35-44,M," Valia, Gujarat",Working Professional,December,2024,Q4
Nice!! Delivery guy named sohail was very polite! Love his way towards customers.,18-24,M," Thane, Maharashtra",Freelancer,December,2022,Q4
Must buy...🖤,25-34,F," Bhubaneswar, Odisha",Homemaker,November,2020,Q4
Amazing,25-34,F," Kalyan, Maharashtra",Homemaker,April,2020,Q2
"My new fitness companion ""Fitbit versa 2"" is really Superb smart Watch after use of Charge 2 for 3 years.
Expecting the same life or rather more from versa 2",35-44,M,"  Pune, Maharashtra",Freelancer,December,2022,Q4
Received the product in very good and secured packing.,18-24,M," Hubli, Karnataka",Working Professional,August,2021,Q3
Nice product and i got this product at cheap price in diwali sale.😃,Under 18,M," Dhampur, Uttar Pradesh",Student,December,2020,Q4
Nice,25-34,M," Durgapur, West Bengal",Freelancer,August,2022,Q3
A stylish and lightweight design loved it♥️,45-54,M," Tezpur, Assam",Working Professional,August,2024,Q3
Good if you know how to use it. But it takes vehicle driving into steps. Inserting music is a headache. And automatically wiped away on updation. Looks and every other feature is good except music.,25-34,F," New Delhi, Delhi",Homemaker,November,2021,Q4
calories and steps are not accurate,Under 18,F," Bengaluru, Karnataka",Student,March,2023,Q1
Performance and battery wise it is okay. Setup is not so user friendly.,Under 18,F," Mira, Maharashtra ",Student,February,2020,Q1
"Steps counts are always way off..
Even when sitting for a long time, it shows target achieved..",18-24,F," Karnal, Haryana",Working Professional,July,2022,Q3
"The watch is excellent, but lack of spO2 ,it only shows value after sleep, and rest need to improve heart rate sensor sometimes gets incorrect. Reminder features are good and notifications indicators great. But costly according to limited features and rest every thing paid.
And mainly missing the inbuilt GPS which is must for outdoor activities.",25-34,M," Chandigarh, Punjab",Working Professional,February,2023,Q1
Value for money 💰,18-24,F," Ferozepur Jhirka, Haryana",Working Professional,June,2021,Q2
"ROI (Return on Investment) is less in this as features are quite limited..though it is good looking, sleek and stylish",25-34,F," Mira, Maharashtra",Homemaker,April,2024,Q2
"Using the product for about 6 months. Truly satisfied with the features. Battery lasts for 5 to 7 days depending on usage, the tracking of activities is quite accurate. Looks decent. A real smart watch in this affordable price range.",Under 18,M," Gwalior, Madhya Pradesh",Student,December,2024,Q4
Versa 2 counts grossly high step count than actual. Any slight movement of hands counts as steps. It count high steps while driving 4 wheeler or a 2 wheeler. Last week I drove ~10hrs and it counted 10k steps. Such inaccurate count demean my fitness data and beat the very purpose of buying a fitness accessory. Waste of money.,25-34,M," Bengaluru, Karnataka",Freelancer,June,2024,Q2
"Fitbit pay not available in India. No GPS, battery life is hardly 3 days. SPO2 only available wuith specific clockface which also doesn't work at all.deaktop software required to upload songs to device memory is Unavailable on Microsoft Store so you can't upload songs to device. Spotify app always needs reconnecting and resyncing with mobile app so better use mobile. So many flaws...even tracking is not acurate and keeps showing me steps completed while in car on train...God knows who rated t... READ MORE",35-44,M," Thane, Maharashtra",Freelancer,March,2020,Q1
Waist full of money because after 2years it will not work. This is my experience,25-34,M," Shimla, Himachal Pradesh",Freelancer,February,2021,Q1
I paid 10k for this watch and within ten days in same sale now they are selling it in 7600 which os very disappointing. This kind of pricing does looks good with such a big brands likr fitbit,Under 18,M," Pimpri Chinchwad, Maharashtra",Student,October,2022,Q4
Best fitness tracker better than Apple Watch in terms of apps,18-24,F," Mumbai, Maharashtra",Freelancer,February,2020,Q1
Good,35-44,F," Hyderabad, Telangana",Homemaker,December,2020,Q4
Very good,Under 18,F," New Delhi, Delhi",Student,February,2021,Q1
Really hate this product they have removed offline music feature in march 2023. Now this product is just scrap,45-54,M," Kozhikode, Kerala",Freelancer,June,2022,Q2
Good,55 and above,M," Bengaluru, Karnataka",Retired,August,2021,Q3
Not showing proper activity. Steps count are increasing automatically. Even calories count are also wrong.,Under 18,F," Ranchi, Jharkhand",Student,July,2021,Q3
Worst . Charger not working at all waste of money,45-54,F," Chilakaluripet, Andhra Pradesh",Homemaker,June,2024,Q2
Nice,25-34,M," Latur, Maharashtra",Freelancer,July,2024,Q3
Battery poor,25-34,M," Gandhidham, Gujarat",Working Professional,April,2022,Q2
Amazing watch by fitbit! Accuracy level is superb! Cross verified with Apple Watch. A must buy. Decent battery life and provides supportive apps for fitness and regime.,35-44,F," Ajmer, Rajasthan",Homemaker,March,2021,Q1
Awesome,45-54,M," New Delhi, Delhi",Working Professional,March,2020,Q1
Display size is to small,45-54,M," Hoshiarpur, Punjab ",Freelancer,July,2024,Q3
Vary good watch,55 and above,M," Gulbarga, Karnataka ",Retired,May,2020,Q2
Waste of Flipkart.. Strap is unfit.. it's too short.. when I tried to refund they are saying that policy is not there for refund.. Don't buy it in Flipkart.,18-24,M," Hyderabad, Telangana",Freelancer,December,2024,Q4
Belt got break within 10 days.,25-34,M," Pimpri Chinchwad, Maharashtra",Freelancer,March,2020,Q1
Good product,18-24,F," Visakhapatnam, Andhra Pradesh",Working Professional,February,2024,Q1
Value of money,45-54,F," Hyderabad, Telangana",Homemaker,December,2020,Q4
"It shows very accurate results..
Loved it 😍",45-54,M," Mahabubabad, Telangana",Freelancer,October,2023,Q4
excellent product,55 and above,M," Thane, Maharashtra",Retired,March,2020,Q1
Good,18-24,F," Hyderabad, Telangana",Working Professional,November,2023,Q4
Worth for money . When I going walk without smart phone listening songs via bluetooth. I installing small desplay big desplay also in Fitbit tree app.i like this product. Only battery backup issues. Minimum 4days no doubts.,45-54,F," Bengaluru, Karnataka",Homemaker,March,2020,Q1
"Great watch, Just started using and feeling good . One can add more apps through fitbit stores",45-54,F,"  Pune, Maharashtra",Homemaker,December,2023,Q4
"Great one
Thank you flipcart",45-54,M," Ayanivelikulangara, Kerala",Working Professional,August,2023,Q3
Superb watch ... looking osm 👌👌,25-34,F," Hyderabad, Telangana",Homemaker,June,2023,Q2
Nice fitness watch,55 and above,M," Shimoga, Karnataka",Retired,June,2021,Q2
I have to reinstall the app everytime my watch is turned off. Need to restart watch as well if time is not in sync. These are major bugs for this watch and vendor/seller should try to resolve these things on priority. Else watch looks okay.,35-44,M,"  Pune, Maharashtra",Freelancer,November,2024,Q4
Bad product,18-24,F," Medinipur, West Bengal",Working Professional,February,2024,Q1
WOW❤️,45-54,F," Kolkata, West Bengal",Homemaker,July,2021,Q3
Activity tracking and sleep tracking could be more accurate. There are times when the watch shows that I am asleep while I am awake,45-54,M,"  Pune, Maharashtra",Working Professional,February,2024,Q1
Do not have much features if compare with price... Bought this for 13k,18-24,F," Bhimavaram, Andhra Pradesh",Working Professional,October,2021,Q4
SPO2 is not downloading still 2 weeks completed. Not updating to latest software.,55 and above,M," Thane, Maharashtra",Retired,November,2020,Q4
As expected,55 and above,F," Surat, Gujarat",Homemaker,October,2024,Q4
This does not have calling feature.. And very less features for the price,Under 18,M," Chennai, Tamil Nadu",Student,June,2021,Q2
Product is not worth the price.Many features are not working.,55 and above,F," Bhubaneswar, Odisha",Homemaker,April,2022,Q2
It's screen stopped functioning. Worst product. No service center in india,55 and above,M," Vadodara, Gujarat",Retired,December,2024,Q4
Absolutely brilliant!,55 and above,M,"  Pune, Maharashtra",Retired,May,2024,Q2
Simply Awesome...,Under 18,M," Dhaura Tanda, Uttar Pradesh",Student,February,2022,Q1
Battery only 1 day is getting,Under 18,M," Trivandrum, Kerala",Student,August,2021,Q3
"Please don't buy it, not worth it. Local brands with less price works better! Notification stopped after 2 months use. Had to reinstall multiple times to make it work. then the same repeated. sometimes it doesn't even connect with the phone.
@fitbit If you are selling a product with this much price then please do justice to the users",18-24,F," Bengaluru, Karnataka",Working Professional,January,2024,Q1
It's very expensive because of brand. You get all these features in other low cost watches as well,45-54,M,"  Pune, Maharashtra",Freelancer,October,2020,Q4
"Worst smart watch I have ever had... worst tracker, not even tracking steps.. when I travel in bike for 25km it says as 13000 steps


Please do not buy this.. even cheaper China makes are looking and tracking good..",18-24,M," Chennai, Tamil Nadu",Working Professional,October,2022,Q4
"This product is very useful for people who do exercise. It will count the no of steps, no of floors, no of calories burned. The sleep feature of this product is particularly useful for those who have issues with sleep. It measures the period of REM sleep, light sleep, deep sleep and also the awake time during the sleep. I am very happy with the product.",Under 18,M," Aluva, Kerala",Student,December,2023,Q4
Good product,45-54,M," Mumbai, Maharashtra",Working Professional,May,2022,Q2
Not good as expected.,25-34,M," Kottayam, Kerala ",Working Professional,December,2020,Q4
Worth to buy...Excellent Smartwatch,55 and above,F," Panaji, Goa",Homemaker,June,2022,Q2
"Activities not accurate,Bluetooth connectivity is not good",45-54,F," Hyderabad, Telangana",Homemaker,July,2024,Q3
Awesome,25-34,M," Lucknow, Uttar Pradesh",Working Professional,March,2021,Q1
"Bought it for 11.5k , Good for its price
Though it doesn't have all the additional features such as GPS , Calling Feature and apps support , it's serves the basic purpose of a fitness tracker.
Good and Smooth display .
Accurate activity tracking.
Good design.",25-34,M," Hyderabad, Telangana",Freelancer,July,2024,Q3
osm,55 and above,F," Ghaziabad, Uttar Pradesh",Homemaker,December,2021,Q4
"No issues at all.
Go for it...",18-24,M,"  Pune, Maharashtra",Freelancer,May,2024,Q2
"Average battery
BT lost frequently
Shape of dial is not comfortable for me as the bottom is in curve shape which creates little discomfort",45-54,M,"  Pune, Maharashtra",Freelancer,May,2021,Q2
Worth to buy...it smart looking watch with a no. Of features,25-34,F," Bahadurgarh, Haryana",Homemaker,August,2022,Q3
Not showing right step count already exchange has done ...got new pebble but same issue occurred,Under 18,M," New Delhi, Delhi",Student,October,2022,Q4
Waste watch,45-54,M," Hyderabad, Telangana",Freelancer,February,2024,Q1
Good product,55 and above,M," Rupnagar, Punjab",Retired,July,2023,Q3
A brilliant fitness smart device. Top notch display with cool clock faces. Totally worth it. Thanks Fitbit and Flipkart,18-24,F," Hyderabad, Telangana",Working Professional,November,2021,Q4
"Spo2 does not work properly, only at the time of sleep it works also speaker volume is very low .. sometimes notification is doesn't work also may watch face also does not work properly",55 and above,F," Guwahati, Assam",Homemaker,July,2021,Q3
"Loved the smartwatch.
Good fitness and sleep tracking. Looks gorgeous.
Only qualm is Fitbit Pay, hope it gets approved.
This is a good smartwatch for those who want health features. You are attaching a hardware to your body almost 24x7. So don't buy a cheap watch which can cause more issues. Better to go for something which is reputed, or don't buy at all.",35-44,M," Kolkata, West Bengal",Freelancer,August,2023,Q3
"Connectivity issues are there with OnePlus
Daily we need to reset once to get notifications",35-44,M," Hyderabad, Telangana",Freelancer,March,2024,Q1
Watch is good but cannot give notification and can't sync all the time,35-44,F," Dehradun, Uttarakhand",Homemaker,April,2021,Q2
Overall good product. Little over priced compared to features.,55 and above,M," Cuttack, Odisha",Retired,November,2023,Q4
It is got all the app including attending calls. Very nice product. I would recommend for this smart watch.,18-24,M," Thane, Maharashtra",Working Professional,November,2024,Q4
Working superb..loved it,35-44,F," East Godavari, Andhra Pradesh ",Homemaker,August,2020,Q3
Nice smart watch,25-34,F," New Town, West Bengal",Homemaker,February,2022,Q1
No storage option found,Under 18,M, Puducherry,Student,September,2023,Q3
"yes still good to purchase, if you only care about fitness good to go for.",45-54,M," Noida, Uttar Pradesh",Working Professional,September,2023,Q3
Had a very bad experience.Fitbit app is third class and watch is having trouble to sync,45-54,M," Seoni Malwa, Madhya Pradesh",Working Professional,May,2020,Q2
Excellent,35-44,M," Guntur, Andhra Pradesh",Working Professional,November,2024,Q4
The watch is a bad product and not working now in a spawn of 4 months . Pls replace the product at the earliest,45-54,F," Jabalpur, Madhya Pradesh",Homemaker,May,2024,Q2
Good experience,35-44,M," New Delhi, Delhi",Working Professional,November,2022,Q4
"Good product with recent features. Charge stays for 4 days minimum. Community access is a goofld feature. I have upgraded from from charge to versa. Happy with product.
Cons
App in phone can have lap feature.
Too many vibration in the exercise mode due to heart beat variation
Band locking is little difficult, loop fitting would have been good.
Overall product is good.",45-54,F," Bengaluru, Karnataka",Homemaker,March,2020,Q1
Good quality,Under 18,F," Ramnagar, Uttarakhand",Student,March,2022,Q1
I wouldn’t say this watch is value for money. Very poor UI and sound quality. Quality of voice during the call is pathetic.,55 and above,F," Kothamangalam, Kerala",Homemaker,March,2023,Q1
Such a cheap product. and their app is very worst you can check its review in play store. plus they don't have any support in India.also they don't have any Store in Bengaluru/India..!!!,55 and above,M," Hassan, Karnataka ",Retired,September,2023,Q3
Good product,18-24,M," Arrah, Bihar",Working Professional,January,2024,Q1
A fantastic product for fitness 😀,18-24,M," New Delhi, Delhi",Freelancer,May,2021,Q2
The watch will start giving u problem after 2 months,Under 18,F," Gurugram, Haryana",Student,November,2023,Q4
"Some of the major functionality of watch not working
.dissatisfied",55 and above,F," Bidhan Nagar, West Bengal",Homemaker,March,2021,Q1
Worst fitness watch I ever bought…. Calorie count are senseless…even when you don’t wear watch in night it shows 700-800 calories burned…,35-44,M," Raipur, Chhattisgarh",Working Professional,August,2020,Q3
"Not worth for this much money, step count not as per steps also hangs sometimes. Water counting also not proper. All over not worth as per price.",Under 18,M," Ahmedabad, Gujarat",Student,February,2020,Q1
Faulty device. Not switching on..,45-54,M," Hyderabad, Telangana",Freelancer,June,2020,Q2
Very good smart watch..,35-44,M," Dharapuram, Tamil Nadu",Working Professional,November,2022,Q4
Great,55 and above,F," Ludhiana, Punjab",Homemaker,March,2021,Q1
"Excellent watch..
Worth to buy",Under 18,F," Raman, Punjab",Student,July,2022,Q3
please don't go for versa 3. The watch software is very sluggish for a product at this price point. the swipes are slow and certain watch faces make it too slow. often the watch fails to sync with its phone app and even repeated attempts to manually sync too is impossible.,18-24,F," Thiruvananthapuram, Kerala",Working Professional,April,2021,Q2
Helpful way to keep a track on health everyday ,25-34,F,"Aurangabad, Maharashtra ",Freelancer,November,2023,Q4
