Reviews for Noise,Age,Gender,Location,        Occupation,Month,Year,Quarter
"Value for money smartwatch under 1500
Display is good
Battery,build quality is also good at this price range
Calling feature also work very well
The smart watch is totally worth you can definitely buy it 😉❤️",25-34,M," Nashik, Maharashtra ",Freelancer,March,2022,Q1
Display Quality Not Better Because it's TFT Display Not 3D or HD Display.. Second thing AI Voice Assistant Not Available. And All of the functionality are very good. Thank you Noise.,35-44,M,"  Pune, Maharashtra",Freelancer,January,2022,Q1
Good product love it,18-24,M," Navi Mumbai, Maharashtra",Working Professional,October,2024,Q4
It is a good product 👍🏽,25-34,M," Bhubaneswar, Odisha",Working Professional,August,2024,Q3
It's just awasome,25-34,M," Uttara Kannad, Maharashtra",Working Professional,December,2020,Q4
"Value of money it's awesome and nice
Watch design is also nice",18-24,M," Munger, Bihar",Working Professional,August,2023,Q3
Highly recommended to buy this product. because this value for money and just awesome.,18-24,M," Harharia Chak, West Bengal",Working Professional,June,2020,Q2
"Over-all nice performance and battery bekup🔋 4-5 day only. Value for money 💰
But Function less than other. Sound and mic 🎤 perfect 👍😁 call feature good 💯",35-44,F," Chhatarpur, Madhya Pradesh",Homemaker,April,2022,Q2
One of best watch,Under 18,M," Bhubaneswar, Odisha",Student,May,2023,Q2
I like this watch,35-44,F," Namrup, Assam",Homemaker,June,2022,Q2
Nice watch with awesome design. I like it most.,55 and above,M," Mysore, Karnataka",Retired,November,2024,Q4
"After use of 2 months

1. long lasting battery
2. Display brightness is enough
3. Charging speed is also good
4. Accurate steps and heart rate or stress level",45-54,M," Jehanabad, Bihar",Working Professional,October,2024,Q4
Nice,45-54,F," Surat, Gujarat",Homemaker,October,2021,Q4
Best,25-34,M," Meerut, Uttar Pradesh ",Working Professional,July,2022,Q3
Best watch looks very good 😊😊,Under 18,M," Hisar, Haryana ",Student,February,2021,Q1
Nice,25-34,M," Bhatpara, West Bengal",Freelancer,September,2024,Q3
take it brother,25-34,M," Biharsharif, Bihar",Freelancer,July,2024,Q3
Perfect on this price i love that so much,55 and above,M," Durg, Chhattisgarh",Retired,October,2021,Q4
"Nice looking 👌 👍
Osm",55 and above,M," Vasco Da Gama, Goa",Retired,March,2021,Q1
Its Unique Color in watch for specially girls and it's really Ossm look in wrist......,45-54,F," Moradabad, Uttar Pradesh",Homemaker,May,2020,Q2
Amazing product love it 😍 thank you Flipkart,18-24,M," North West Delhi, Delhi",Working Professional,July,2023,Q3
"Nice products.. Nice display... Nice battery back up...

Overall value for money",55 and above,M," Berhampore, West Bengal",Retired,February,2024,Q1
It is very beautiful🥰,55 and above,F," Kendrapara, Odisha ",Homemaker,July,2020,Q3
Nice one product,Under 18,M," Kolkata, West Bengal",Student,September,2023,Q3
Very nice product 👍,18-24,M," Bhander, Madhya Pradesh",Freelancer,July,2022,Q3
Very nice good,25-34,F," West Godavari, Andhra Pradesh ",Homemaker,September,2020,Q3
"Design wise the watch is good but there is a problem with its charger and battery. The magnet on the charger is loose, it got disconnected with the watch most of the times. Charging got stuck at 98%. Also the battery drained too fast. With limited use, battery lasts upto 3 days. Hope this review will be helpful.",25-34,M," Nichlaul, Uttar Pradesh",Working Professional,May,2024,Q2
"My experience after 3 days heavy usage
-Display pixel quality is poor very bad viewing experience
-Polycarbonate build no metal frame
-Dial size is huge not recommended for thin wrist
-Battery backup is 3 days with normal use
-Strap textured are like dust magnet
-An irritating noise coming in mic while call not recommended for call due to battery drain 5% in 2 minutes of call",18-24,M," Jajapur, Odisha",Freelancer,October,2023,Q4
"Watch is really nice ✌ design, build quality totally value for money 🥰",45-54,M," Jaipur, Rajasthan",Freelancer,January,2020,Q1
All in all a great product,Under 18,M," Dakshin Dinajpur District, West Bengal",Student,December,2020,Q4
Noise watch crew best good product ☺️........,25-34,M," Hathras, Uttar Pradesh",Working Professional,November,2023,Q4
I like this product,25-34,M," Silchar, Assam",Working Professional,June,2024,Q2
"After using it two days I'm impressed with this watch.
It's ""1.38"" inch display is enough bright for day uses .
And its battery is exhausted 18% in two days.

Value for money product 👍 .",Under 18,M," Ghazipur, Uttar Pradesh ",Student,September,2022,Q3
Nice look but noise want subscribe plan so..very bad.,35-44,F," Kendujhar, Odisha",Homemaker,June,2021,Q2
"If you are looking for a calling watch just go for it..
Best watch you can buy under 4000.😍❤️

Pros:-
1. Super build quality looks very premium.😍
2. Very comfortable to wear very good quality strap.🥰
3. Touch is working fine.😊
4. Calling feature is working like a champ... One issue with calling is the volume is not that loud if you are in outdoor Listening to calls will be a little problem. Other wise the mic quality is great ❤️
5. Noise has very good customer service.

Cons:-
1. If you u...
READ MORE",25-34,F," Ramjibanpur, West Bengal",Homemaker,March,2021,Q1
Love this,45-54,F," Sonitpur District, Assam",Homemaker,July,2024,Q3
Good looking...its worth.,Under 18,M," Tenali, Andhra Pradesh",Student,June,2024,Q2
Nice product,55 and above,M," Bengaluru, Karnataka",Retired,August,2024,Q3
Nice one.. And overall good,Under 18,M," Ganjam, Odisha ",Student,September,2023,Q3
Excellent quality,55 and above,M," Chhindwara, Madhya Pradesh",Retired,December,2020,Q4
Just love it ❤️😊,18-24,F," North Twenty Four Parganas District, West Bengal",Working Professional,June,2022,Q2
Mind blowing purchase 🤩 loved ittt 🥳,55 and above,F," Patna, Bihar",Homemaker,August,2023,Q3
"Out of Imaginary 😍 Just love this product
Thank you Flipkart ❤️",55 and above,F," Cuttack, Odisha",Homemaker,April,2023,Q2
"Expecting better strap quality but Value for money
Love it🙂",25-34,M," Shahjahanpur, Uttar Pradesh",Working Professional,November,2022,Q4
Loved it 😊☺️,35-44,F," Munger, Bihar",Student,June,2024,Q2
"I love this watch , Calling superb.",18-24,F," Lucknow, Uttar Pradesh",Working Professional,May,2021,Q2
Loved it 😍,55 and above,M," Srikakulam, Andhra Pradesh",Retired,March,2024,Q1
It's good!,Under 18,M," Bagula, West Bengal",Student,November,2022,Q4
Nice product I'm so happy 🥰,18-24,F," Katihar, Bihar",Working Professional,August,2022,Q3
Value for money,Under 18,M," Jamui, Bihar ",Student,October,2021,Q4
"Beautiful watch .. I love it 💕❤️ .. plz girls go for it ,, must buy",18-24,F," Kolkata, West Bengal",Working Professional,November,2024,Q4
I love this product 🥰,18-24,M," Bhubaneswar, Odisha",Working Professional,August,2020,Q3
Good,Under 18,F," Rangabhita, West Bengal",Student,December,2021,Q4
Verry good product.,25-34,F," Patna, Bihar",Homemaker,August,2020,Q3
Nice 👍🏻,18-24,M," Gandhigram, Maharashtra",Freelancer,July,2023,Q3
Such a great watch 😍,35-44,F," Mapusa, Goa",Homemaker,January,2024,Q1
Nice product,Under 18,F," Jhagadiya Industrial Area, Gujarat",Student,September,2022,Q3
Very nice Watch,45-54,M," Baruipur, West Bengal",Working Professional,April,2022,Q2
It's look amazing😍😍😍,Under 18,F," Ranchi, Jharkhand",Student,January,2024,Q1
Nice product looking cool,Under 18,F," Dimapur, Nagaland",Student,March,2023,Q1
Perfect.....❣️❣️♥️♥️💋💋,18-24,M," Todaraisingh, Rajasthan",Freelancer,September,2024,Q3
Nice very good 😍❣️,Under 18,M," Bengaluru, Karnataka ",Student,January,2022,Q1
Nice products,Under 18,M," Berhampore, West Bengal",Student,March,2020,Q1
It's a damn one... Fantabulous ❤😋.... May it remain as awesome as today🧿,55 and above,F," Bhagalpur, Bihar",Homemaker,April,2023,Q2
So nice watch..I love it 😍,25-34,F," Vadodara, Gujarat",Homemaker,August,2020,Q3
"This product is very much good,i like it very much",45-54,F," North Twenty Four Parganas District, West Bengal",Homemaker,January,2021,Q1
Love it ❤,55 and above,M," Begusarai, Bihar ",Retired,November,2022,Q4
Nice 👍 jast awesome,Under 18,F," Kalas North, Maharashtra",Student,July,2024,Q3
Good product,25-34,F," Khordha, Odisha",Homemaker,June,2021,Q2
It is very beautiful .i am very happy .I gave it as a gift .He also feels very good .,35-44,F," Durgapur, West Bengal",Homemaker,January,2021,Q1
Good and perfect watch as per my requirement and expectations... 👌👍,45-54,M,"  Pune, Maharashtra ",Working Professional,April,2020,Q2
"Nice product goes with reputation of company , some small features might be better , ultimately great metalic watch, heavy weight , and fast service......i.e. delivery in 1.5 days only",Under 18,F," Indore, Madhya Pradesh",Student,August,2021,Q3
It's was cool,18-24,F," Shahdol, Madhya Pradesh ",Working Professional,September,2024,Q3
Its good both in features and look. Battery backup is also good.. I am using it from last one week. Draw back is you can’t add the contacts in the address book. List limited to 8 nos.,Under 18,F," New Delhi, Delhi",Student,July,2024,Q3
This is a very nice watch and its quality is also very good,55 and above,M," Siddharthnagar District, Uttar Pradesh",Retired,December,2022,Q4
Looking good,25-34,M," Nagla, Uttar Pradesh",Working Professional,April,2024,Q2
"This product is very good but not best colour ☺️
Because looking is very fantastic and fechare is well that's why price watch ⌚ layak is good",Under 18,M," Motihari, Bihar",Student,December,2020,Q4
Nice watch 🥰,45-54,F," Kolkata, West Bengal",Homemaker,March,2024,Q1
Very nice 👍,35-44,F," Mira, Maharashtra",Homemaker,February,2023,Q1
Product is good. Very good delivery by Flipkart within 1 day. Product is applicable for all age men and women who are very busy.,Under 18,M," Cooch Behar, West Bengal",Student,February,2022,Q1
"Wonderfull watch under this price range,
Design and build quality super, looking nice",18-24,M," Korba, Chhattisgarh",Freelancer,August,2021,Q3
Amazing 😊,55 and above,F," Patna, Bihar",Homemaker,December,2024,Q4
Watch Is very delicious,55 and above,M," Bhabua, Bihar",Retired,May,2020,Q2
"Watch was good, out speaker sound is good compared to other smart watches, calling features are nice, best worth for money",18-24,M," Ranga Reddy, Telangana",Working Professional,April,2023,Q2
Good,45-54,M," Bhadrak, Odisha",Freelancer,November,2020,Q4
Features is awesome as per price. This colour is mainly for women.,45-54,F," Baruipur, West Bengal",Homemaker,September,2023,Q3
Good 😊 simply superb,Under 18,M," Visakhapatnam, Andhra Pradesh",Student,March,2022,Q1
Activity tracker is perfect.....,55 and above,M," Kalameshwar, Maharashtra",Retired,August,2020,Q3
Superb,25-34,M," Amreli, Gujarat",Freelancer,April,2023,Q2
"It has a good design, nice display, good features, although noise needs to work on their UI it's pretty slow.",Under 18,M," Kota, Rajasthan",Student,August,2024,Q3
Outstanding smart watch... But bettary life is less as compared to other smart watch .very good quality in case of features,45-54,M," Guwahati, Assam",Working Professional,April,2024,Q2
Very beautiful product but only battery capacity is normal,55 and above,M," Narnaul, Haryana",Retired,February,2021,Q1
Justtt woww💓,35-44,F," Kulti, West Bengal",Homemaker,February,2023,Q1
Awesome product....,55 and above,F," Burdwan, West Bengal",Homemaker,April,2020,Q2
Nice product and very pretty 👍😍 i am very happy thank you Flipkart,35-44,F," Bhopal, Madhya Pradesh",Homemaker,May,2021,Q2
"Good looking,👌",55 and above,F," Ghatal, West Bengal",Homemaker,January,2021,Q1
Very good product,35-44,M," Mumbai, Maharashtra",Working Professional,June,2020,Q2
Nice use for watch..,Under 18,M," Latur, Maharashtra",Student,September,2024,Q3
best for girls,25-34,M," Shahabad, Karnataka",Freelancer,April,2020,Q2
"Very good product ☺️☺️☺️
Satisfied",25-34,F," Kopaganj, Uttar Pradesh",Homemaker,November,2024,Q4
Value for money product,25-34,M," Lucknow, Uttar Pradesh",Freelancer,November,2022,Q4
"Nice product of noise, calling facility and sound is super. Very useful watch for busy people. Must buy. Thank you Flipkart n Noise.",55 and above,M," Manjeri, Kerala",Retired,May,2021,Q2
"Nice look display quality super
Speaker quality 👌",18-24,M," Chunar, Uttar Pradesh",Working Professional,July,2020,Q3
Very good calling voice,55 and above,M," Lote Parshuram Midc, Maharashtra",Retired,June,2022,Q2
"This pink colour is soo soo beautiful ❤️ I just love this colour...and calling facilitie is good, design is good but some times I face touch problem I think this is my fault...but touch is good...and overall it is a very good product ❤️ just love it...",Under 18,F," Suri, West Bengal",Student,December,2024,Q4
"Very Good Noice Product Amazing , Charging Good lasting😘",45-54,M," Bhiwandi, Maharashtra",Working Professional,March,2024,Q1
Nice good looking and good activities... Best prize 👌👍👍,18-24,F," Kota, Rajasthan",Working Professional,March,2023,Q1
Noise is Nice 👌,45-54,M," Hanamkonda, Telangana",Homemaker,April,2024,Q2
Nice colour ❤️ excellent watch,18-24,M," Chiknayakanhalli, Karnataka",Freelancer,May,2024,Q2
Very good watch and battery backup is also very good and look is also awesome nice features,45-54,F," Firozabad, Uttar Pradesh",Homemaker,June,2022,Q2
Worth it ☺️,55 and above,F," New Delhi, Delhi",Homemaker,May,2020,Q2
Super quality looking good,45-54,M," Jaipur, Rajasthan",Freelancer,November,2024,Q4
Everything is perfect 👍,45-54,F," Sabroom, Tripura",Homemaker,February,2024,Q1
Nice product,25-34,M," Jabalpur, Madhya Pradesh",Working Professional,July,2023,Q3
"It was really awesome watch, the battery back up is very excellent, features were nice, tracking is good, passcode and QR code was excellent 👌, display quality is good finally the watch ⌚ is excellent


My suggestion to buy it if your budget as much",35-44,M," Nizamabad, Telangana ",Freelancer,March,2022,Q1
Nice watch,Under 18,F," Raipur, Chhattisgarh",Student,September,2021,Q3
Nice watch ⌚️,25-34,M," Noida, Uttar Pradesh",Working Professional,July,2022,Q3
Noise icon buzz smart watch nice,Under 18,F," Hyderabad, Telangana",Student,September,2020,Q3
Nice product,45-54,M," Ayodhya, Uttar Pradesh",Freelancer,October,2022,Q4
Very nice watch battery is good display is good walking timer is good talking voice is good,35-44,M," Jhansi, Uttar Pradesh",Working Professional,January,2023,Q1
Good 👍,18-24,F," Forbesganj, Bihar",Working Professional,May,2024,Q2
Product is good 👍,55 and above,F," Muzaffarpur, Bihar",Homemaker,June,2021,Q2
Nice watch,Under 18,F," North Twenty Four Parganas District, West Bengal",Student,October,2024,Q4
Good products but mute future not available,18-24,M," Narasaraopet, Andhra Pradesh",Working Professional,October,2022,Q4
Superb quality and free size watch. very nice product.thank u Flipkart for a wonderful product.,18-24,M," Ahmedabad, Gujarat",Freelancer,May,2022,Q2
I loved the designe,Under 18,F," Srinagar, Jammu and Kashmir",Student,May,2020,Q2
Love it,18-24,F," Kolkata, West Bengal",Freelancer,March,2021,Q1
"Very good watch. Call feature is amazing, watch has speaker, so directly we can talk while phone is in pocket. Useful while riding, for a short call.",55 and above,M," Bengaluru, Karnataka",Retired,July,2021,Q3
Worth it⚡✨,18-24,M," Raisen, Madhya Pradesh ",Working Professional,June,2022,Q2
Good,Under 18,M," Bhushan Steel Plant Meramandali Township, Odisha",Student,March,2024,Q1
Good product,55 and above,F," Bhagalpur, Bihar",Homemaker,February,2021,Q1
Amazing 🤩,18-24,F," Bengaluru, Karnataka",Working Professional,April,2023,Q2
Good,18-24,F," Meerut, Uttar Pradesh",Working Professional,May,2021,Q2
Very nice smart watch nice colour,45-54,M," Mumbai, Maharashtra",Working Professional,January,2021,Q1
I liked it,Under 18,M," Bengaluru, Karnataka ",Student,November,2022,Q4
Good quality products but when I'm using BT calling battery is 5 are 6 days without BT calling battery is better 7 are 8 days is standing time but good product satisfied,Under 18,M," Hassan, Karnataka ",Student,November,2022,Q4
Must buy best product in noise looking good and best price,18-24,F," Mysore, Karnataka",Working Professional,September,2021,Q3
Best watch,18-24,F," Ahmadnagar, Maharashtra ",Working Professional,October,2024,Q4
Nice product 👍😊,18-24,F," Aurangabad, Maharashtra",Working Professional,October,2021,Q4
Very nice I loved❤😘,Under 18,F," Kakdihi, West Bengal",Student,April,2020,Q2
Omg nice product for noise colorfit loop adavance BT calling awsm 👏..I usually used a noise colorfit pro 3 it's a nice product 👌..it's a true value 4 money..Bluetooth calling 📞 sound too loud ND nice crisp sound I enjoy the smart unisex watch ....I love it if u want get it now u really enjoy ND loved it iam Sure...,25-34,M," Kamrup, Assam District, Assam",Working Professional,August,2022,Q3
Superb 👍,18-24,M," Sonipat, Haryana",Working Professional,March,2023,Q1
Sensation design,45-54,M," Surat, Gujarat",Working Professional,May,2023,Q2
Just awesome loved it. ❤️❤️ Value for money go for it guys. .👍👍👍👍,55 and above,F," Jammu, Jammu and Kashmir",Retired,November,2020,Q4
Excellent product value for money product,35-44,M," Thane, Maharashtra",Freelancer,November,2020,Q4
Dial Size is satisfactory.. battery looks ok as of now. Charging is fast. Make sure you register warranty once start using. Overall giving 4 star.,45-54,M," Bengaluru, Karnataka",Freelancer,August,2020,Q3
Exllent very good product,18-24,M," Hyderabad, Telangana",Freelancer,May,2022,Q2
"The Product built Quality for Superb
Design also Super.
Full charge in just 1 hour.
Battery Last for 4 to 5 days after hard rush use.
Value for money product under 3000.
BT Calling feature is Amazing It's Sounds good.",18-24,M," Bela Pratapgarh, Uttar Pradesh",Freelancer,March,2023,Q1
Love it 😊,25-34,M," Modinagar, Uttar Pradesh",Working Professional,August,2020,Q3
"Very Good product. Perfect fit in my hand. Very usable and value for money..
But not 100% accurate i say....",Under 18,M," Sankrail, West Bengal",Student,June,2023,Q2
"Fantastic product
Value for money
Best design curved display
Best watch",25-34,M," Multai, Madhya Pradesh",Working Professional,January,2023,Q1
Best smartwatch by Noise 👌👌👌. Thanks to Flipkart for fast delivery,35-44,M," Hosur, Tamil Nadu",Freelancer,July,2022,Q3
Nice watch ⌚,18-24,M," Prayagraj, Uttar Pradesh",Freelancer,September,2020,Q3
Love this product,35-44,M," Rupnagar, Punjab",Freelancer,September,2021,Q3
Very nice product.you can go for it.,55 and above,M," Bengaluru, Karnataka",Retired,October,2022,Q4
Very nice product.i loved it 🤗👍,55 and above,M," Hajipur, Bihar",Retired,December,2024,Q4
Very good product,45-54,M," Siwan, Bihar",Freelancer,April,2024,Q2
Good quality with amazing features BT calling is best ❤️,Under 18,M," Anandnagar, Maharashtra",Student,January,2024,Q1
Nice watch ✔️,25-34,M," Yamunanagar, Haryana",Working Professional,November,2020,Q4
Very good smartwatch,Under 18,M," Saran District, Bihar",Student,January,2024,Q1
BEST PRODUCT IN PRICE SEGMENT 👌,55 and above,M," Baraut, Uttar Pradesh",Retired,December,2020,Q4
Wow what a beautiful products I'm fan of noise 😍,45-54,F," New Delhi, Delhi",Homemaker,October,2024,Q4
Good product by Noise,18-24,F," Lumding, Assam",Freelancer,January,2022,Q1
"It's nice product
Look's verry Osam...💯👌👌
Calling Buzz Nice Display Verry nice",25-34,F," Anand, Gujarat",Homemaker,August,2023,Q3
Noise colorfit loop... Nice. 👍,18-24,M," Jagdalpur, Chhattisgarh",Working Professional,December,2020,Q4
This is the best product,45-54,M," Ambah, Madhya Pradesh",Working Professional,November,2024,Q4
Nice 👍,Under 18,F," Mumbai, Maharashtra",Student,September,2024,Q3
"**This product is quite different from other products..
*Nice product👌👌",55 and above,M," Jhargam District, West Bengal",Retired,September,2022,Q3
I like This product.,45-54,M," Vizianagaram, Andhra Pradesh",Freelancer,November,2023,Q4
"Nice products you can buy
Mantu bera",18-24,M," Baleshwar, Gujarat",Working Professional,March,2020,Q1
Very nice 👏😊 I am so proud,25-34,F," Baruipur, West Bengal",Homemaker,October,2022,Q4
Osm.thanks to Flipkart. go for it,35-44,M," Karimnagar, Telangana",Working Professional,July,2021,Q3
Good product....... perfect 👍,18-24,F," Arakkonam, Tamil Nadu",Freelancer,July,2020,Q3
"I love This Product ...❤️❤️
It Just Wow..😧😮",18-24,M," Muzaffarpur, Bihar",Freelancer,January,2022,Q1
Very nice smartwatch,18-24,F," Debai, Uttar Pradesh",Working Professional,February,2021,Q1
Very good product,25-34,M," Bengaluru, Karnataka",Working Professional,January,2020,Q1
"Good watch no lag, as compare to noise colorfit icon 2.",18-24,M," Jaipur, Rajasthan",Freelancer,October,2021,Q4
Noise smartwatch is very good😊 👍,45-54,M," Samastipur, Bihar",Working Professional,May,2022,Q2
Awesome Product 🤩,45-54,M," Noida, Uttar Pradesh",Freelancer,April,2021,Q2
Very good smartwatch .. battery backup so good.I last charged on 11th March 2023 today is 18th March. I still have fifty percent charge. You can definitely take this noise smart watch.,25-34,M," Bardhaman, West Bengal",Freelancer,April,2022,Q2
"Review after using 7 days:-
Battery packup upto 3 days with calling
Features awesome
Tracking features is excellent
Calling quality is very good
Mike and speak also very good quality",45-54,M," Rampur, Uttar Pradesh ",Freelancer,November,2023,Q4
This watch is beautiful and so nice l am purchase this watch my daughter.....,35-44,F," Bhokar, Maharashtra",Homemaker,February,2023,Q1
im happy,25-34,M," Loha, Maharashtra",Working Professional,March,2023,Q1
Value of money,45-54,F," Kodur, Andhra Pradesh",Working Professional,October,2023,Q4
Excellent,25-34,M," Prayagraj, Uttar Pradesh",Working Professional,October,2023,Q4
"Value of money but temper not on screen.
This product is excellent",18-24,F," Muzaffarpur, Bihar",Working Professional,September,2024,Q3
Superb,35-44,M," Narayankhed, Telangana",Working Professional,November,2022,Q4
Good product,45-54,M," Warisaliganj, Bihar",Freelancer,February,2020,Q1
Gud 1,35-44,M," Koraput, Odisha",Freelancer,July,2022,Q3
Nice watch. Thank you Flipkart,35-44,F," Murshidabad, West Bengal ",Homemaker,July,2021,Q3
"Awesome watch,I really loved it 😍😍",45-54,F," Kolkata, West Bengal",Homemaker,October,2020,Q4
Very nice smartwatch...I am happy...😊😊...,18-24,F," South Twenty Four Parganas District, West Bengal",Working Professional,February,2020,Q1
It's very nice watch and good features I happy for this product thank. You Flipkart,25-34,F," Ujhari, Uttar Pradesh",Homemaker,May,2022,Q2
Super watch,Under 18,F," East Godavari, Andhra Pradesh ",Student,November,2020,Q4
Nice watch nd mind blowing worth of 💰😘😘😘😘😍,35-44,F," Mandya, Karnataka ",Homemaker,March,2021,Q1
Lovely 🌹,45-54,F," Tola Pairamatihana, Bihar",Homemaker,October,2024,Q4
Very nice product very happy noise in the best choice,18-24,F," Mihan, Maharashtra",Freelancer,December,2021,Q4
"nice ,realy awsome,batery awsome💙💙",55 and above,M," Morigaon District, Assam",Retired,November,2021,Q4
Product is superb I really Like it.....so happy ❤️,18-24,F," Palakkad, Kerala",Freelancer,November,2021,Q4
Very Nice watch by noise go for it,Under 18,M," Gorakhpur, Uttar Pradesh ",Student,April,2023,Q2
Value for money 💰💸,Under 18,F," Cuttack, Odisha ",Student,September,2022,Q3
Really it's amazing,45-54,F," Raipur, Chhattisgarh",Homemaker,September,2024,Q3
Really satisfied with the product..the quality of the product was amazing...thank you so much Flipkart ☺️🥰,35-44,F," North Twenty Four Parganas District, West Bengal",Homemaker,February,2023,Q1
Very good product.,55 and above,M," Thirupuvanam Sivaganga, Tamil Nadu ",Retired,November,2021,Q4
Nice,25-34,F," Thiruvallur, Tamil Nadu ",Homemaker,September,2020,Q3
Product is almost good,Under 18,M," Chapra, Bihar",Student,November,2024,Q4
Fantastic Watch,55 and above,M," Kheda, Gujarat ",Retired,May,2020,Q2
I like it 🥰,18-24,M," Taki, West Bengal",Working Professional,July,2023,Q3
Outstanding,45-54,M," Mainpuri, Uttar Pradesh",Working Professional,March,2020,Q1
Satisfaction. Mind blowing.,55 and above,F," Kolkata, West Bengal",Homemaker,December,2020,Q4
Very nice product,Under 18,M," Sultanpur, Uttar Pradesh",Student,July,2024,Q3
"Nice product thanks you so much Flipkart
Very good product in noise brand company no 1in India so much for you Flipkart delivery boy.",25-34,M," Jaisinghnagar, Madhya Pradesh",Working Professional,January,2024,Q1
I love this product,Under 18,F," Chittoor, Andhra Pradesh ",Student,April,2023,Q2
"Battery Stands for 3 days..
Large display.,
Minimum options.,
Good value for money..",18-24,F," Kovilpatti, Tamil Nadu",Working Professional,June,2023,Q2
Just ok,Under 18,F," Thiruvarur, Tamil Nadu ",Student,July,2020,Q3
Value for money go for it,Under 18,F," Kolkata, West Bengal",Student,February,2023,Q1
Awesome,18-24,M," Nagercoil, Tamil Nadu",Working Professional,April,2020,Q2
Battery don't last long just remain till 1 day if you don't use the product also and rest all are good,55 and above,F," Barpeta, Assam",Homemaker,November,2021,Q4
"Very very good, but strep is also bad😡😡😡",Under 18,M," Dakshin Dinajpur District, West Bengal",Student,June,2021,Q2
Best price watch buy this watch but on promblem 90% speed low battery only for best promfence 100%,18-24,M," Rae Bareli, Uttar Pradesh",Freelancer,December,2024,Q4
Good product,25-34,M," Burdwan, West Bengal ",Freelancer,August,2023,Q3
Very good product nice look,35-44,M," Burdwan, West Bengal ",Working Professional,January,2021,Q1
Superb watch value for money,18-24,M," Faridabad, Haryana",Freelancer,October,2023,Q4
Super watch,45-54,M," New Delhi, Delhi",Freelancer,September,2020,Q3
Osm product too good 😊👍🏻 values for money,Under 18,M," Sahibganj, Jharkhand",Student,January,2022,Q1
Best smartwatch by Noise 👌....thankyou to Flipkart for fast delivery....,25-34,M," Gurgaon, Haryana",Working Professional,June,2021,Q2
I AM USE THIS PRODUCTS VERY NICE BUT BATTERY BACKUP ONLY TWO DAY,25-34,M," Meerut, Uttar Pradesh",Working Professional,October,2022,Q4
All features are good but removable straps are not available,Under 18,M," Khammam, Telangana ",Student,October,2020,Q4
"Pro-Its good looking one.

Cons
but no way to change another strap
Watch faces are bad
When we receive calls we cant transfer calls to mobile from watch
Cant change strap😭😭😭",Under 18,M," Chennai, Tamil Nadu",Student,August,2024,Q3
"In this price no. 1 quality products love it noise and flipkart
👍👍👍👍",25-34,F," Greater Noida, Uttar Pradesh",Homemaker,November,2021,Q4
Awesome product 😍,25-34,M," Hyderabad, Telangana",Working Professional,February,2023,Q1
Excellent 👌👌👌👌👌,55 and above,M," Bokaro Steel City, Jharkhand",Retired,October,2023,Q4
It's so nice and color feature both are superb thanku flipkart so fast delivery 🤗🤗,25-34,F," Khairabad Mau, Uttar Pradesh",Homemaker,January,2021,Q1
Good product value for money....,25-34,M," Diamond Harbour, West Bengal",Working Professional,May,2021,Q2
"Review after using for 2 weeks , all the features work quite well except there is connectivity with AI assistance, battery life is decent up to 4 days with bt calling features on .",25-34,F," Shimoga, Karnataka ",Homemaker,August,2022,Q3
Nice quality 👍,18-24,M," Akola, Maharashtra",Working Professional,August,2023,Q3
"Very nice 👌 watch
Value for money
Masum Khan",45-54,M," Dhubri, Assam",Freelancer,July,2020,Q3
"Best product good quality of strp and games , calculator and call with speaker and mic and sleep track ect 64 sports mode but it not tracks the sleep in morning and not accurate track the setp",Under 18,F," Vellore, Tamil Nadu",Student,November,2022,Q4
Very nice product and everything perfect,25-34,M," Prayagraj, Uttar Pradesh",Freelancer,August,2022,Q3
Product is good but if IP 68 is in it will be excellent.,35-44,M," Araria, Bihar",Freelancer,October,2021,Q4
Good,Under 18,F," Rewari, Haryana",Student,May,2021,Q2
"Awesome look 🤩 value for money
I loved it..",45-54,F," Bhadrak, Odisha ",Homemaker,November,2021,Q4
Nice product,55 and above,M," Bareilly, Uttar Pradesh",Retired,December,2021,Q4
Nice and value for money,Under 18,F," Bengaluru, Karnataka",Student,September,2023,Q3
Wow it's Really Superrr i love it frnds u must buy this 💕👌👌👌👌,Under 18,M," Kuppam, Andhra Pradesh",Student,December,2020,Q4
This is an amazing smart watch.,55 and above,M," Gurugram, Haryana",Retired,October,2023,Q4
Fantastic Product by noise.,35-44,M," Gorakhpur, Uttar Pradesh",Freelancer,January,2022,Q1
Good product 🤟 💯,55 and above,M," Durllabhganj, West Bengal",Retired,February,2020,Q1
Nice product,45-54,F," Tapi District, Gujarat",Homemaker,June,2024,Q2
"Nice product but some thing missing
As a like display timing setting
Watch ringtone setting
ETC",35-44,M," Bhind, Madhya Pradesh",Freelancer,November,2024,Q4
"Overall Product is good In Price Range
There are Many Features Like Games, Calculator, is Good In This Price Range..
Design are Also good And Comfortable
Good. And Light Weight.....",Under 18,M," Kheda, Gujarat",Student,November,2024,Q4
Overall good watch 👍,45-54,M," Ghaziabad, Uttar Pradesh",Freelancer,April,2023,Q2
Battery life is about 1 to 2 days only very bad product,45-54,M," Purnia, Bihar",Working Professional,April,2021,Q2
Ok ok not best,55 and above,F," Balurghat, West Bengal",Freelancer,September,2020,Q3
Nice product with good battery backup.,18-24,M," New Delhi, Delhi",Working Professional,January,2023,Q1
"Nice product, worth for money",Under 18,M," Thiruvananthapuram, Kerala",Student,January,2021,Q1
