Reviews for Redmi Watch,Age,Gender,Location,        Occupation,Month,Year,Quarter
Value for money,Under 18,M," Kurnool, Andhra Pradesh",Student,March,2024,Q1
"Pros
1) GPS is boon for outdoor exercise, you don't need to brother your phone.
2) The other features of automatic brightness is good, even the DND also wake to lift can be locked. All small details have been taken-care.
3) The display and watch appearance is great. One can select the watch face from the wide range available.
4) The built-in material of watch is good and looks rich.
Cons
1) The GPS consume too much battery.
2) The battery life is of 3 days. The full charge time is around 70 m...
READ MORE",18-24,M," Mumbai, Maharashtra",Freelancer,March,2024,Q1
Look's amazing,25-34,M," Joya, Uttar Pradesh",Freelancer,July,2023,Q3
Great at this price..Spo2 is not there but its worth the proce surely,55 and above,M," Puruliya, West Bengal",Retired,January,2020,Q1
Superb watch,45-54,M," Bhilai, Chhattisgarh",Working Professional,November,2023,Q4
Its Awesome watch value for money.Thank you flipcart,45-54,M," Solapur, Maharashtra",Freelancer,April,2020,Q2
Satisfied ❤️❤️,35-44,M," Lakhimpur, Uttar Pradesh ",Working Professional,June,2023,Q2
Gud,Under 18,F," Kamareddy, Telangana",Student,October,2024,Q4
Worth for money ❤️,35-44,M," Thoothukkudi, Tamil Nadu",Freelancer,March,2020,Q1
Wonderful watch within this price range.Awesome look with wonderful watch faces and a satisfactory activity tracking,35-44,M," Prayagraj, Uttar Pradesh",Freelancer,January,2021,Q1
Display Looks Very Good And Worth Of the Money.,25-34,M," Bengaluru, Karnataka",Working Professional,January,2022,Q1
Supar,45-54,F," Kalyan, Maharashtra",Homemaker,June,2022,Q2
Super watch,35-44,M," Hyderabad, Telangana",Working Professional,November,2021,Q4
"- Decent battery life. Lasts longer if you restrict the usage of GPS.
- Thick bezels. And this makes the display look tiny. And this makes the watch look funny (at times).
- You got GPS in here but no SPO2 monitoring and just average activity tracking and poor heart rate measurement
- Raise to Wake feature doesn't work half the time.
- UI isn't that smooth and the watch lacks responsiveness to some degree.
- Xiaomi Wear app isn't as good as the MI Fit app. The app isn't that informative and d...
READ MORE",35-44,F," New Town, West Bengal",Homemaker,January,2022,Q1
"Design is good
Build quality is primum.
Good in shape
Battery backup good",55 and above,M," Noida, Uttar Pradesh",Retired,June,2020,Q2
Looking good 🖤,35-44,M," Navi Mumbai, Maharashtra",Working Professional,April,2022,Q2
Good Smartwatch,35-44,M," Dhule, Maharshtra",Freelancer,April,2022,Q2
Performance is excellent... A must buy watch.. It looks quite premium.. Very happy with this one.,45-54,M," Kolkata, West Bengal",Working Professional,October,2024,Q4
Thanks flipkart,Under 18,M," Deoghar, Jharkhand",Student,February,2022,Q1
"Best product to buy and value for money. Most of the people are reviewing that the band is not working but when the band arrives, all you have to do is to plug it in charge and leave for a while. It stars displaying charging after a while. I will recommend this product for the people who wants better fitness tracker in cheaper amount",55 and above,F," Gorakhpur, Uttar Pradesh",Homemaker,July,2023,Q3
Super Product I loved it👍,18-24,F," Rajapalayam Virudhunagar District, Tamil Nadu",Working Professional,October,2021,Q4
Beautiful and really this smart band is very smart but strip is not perfect locking system is not working well that's why i give four star.,45-54,M," Darbhanga, Bihar ",Freelancer,July,2022,Q3
"Good Band , Battery Backup Good but Display Wallpapers not add our custom images.",45-54,M," Balasinor, Gujarat",Working Professional,April,2023,Q2
"Good product for the price range but battery backup is average not good as expected.

Rating and feedback
Design is good 4/5
Build quality 5/5
Battery backup 3/5
Overall good product",55 and above,M," Bhubaneswar, Odisha",Retired,December,2021,Q4
Vary vary good 💖💖💖,Under 18,F," Bansberia, West Bengal",Student,December,2023,Q4
A extradinary product Really go for it,35-44,M," Chittoor, Andhra Pradesh",Freelancer,April,2024,Q2
Perfect for us and value for money...but the battery service is some lower than others...,55 and above,M," Burdwan, West Bengal",Retired,June,2021,Q2
Good product,18-24,M," Purusottampur, Odisha",Working Professional,February,2022,Q1
Best Value For Money Band,Under 18,M," Siwan, Bihar ",Student,June,2021,Q2
Better watch,55 and above,M," Muzaffarpur, Bihar",Retired,October,2023,Q4
Value of money,Under 18,M," Muzaffarnagar, Uttar Pradesh",Student,March,2023,Q1
This product is bast according to this priz,Under 18,F," Amravati, Maharashtra ",Student,July,2020,Q3
Good,18-24,M," Mahbubnagar, Telangana ",Freelancer,June,2023,Q2
Very nice 👌,55 and above,M," Ghaziabad, Uttar Pradesh",Retired,July,2023,Q3
"I loved it, value for money, must buy it😍",18-24,M," Malappuram, Kerala ",Freelancer,October,2023,Q4
Design was excellent,45-54,M," Patna, Bihar",Working Professional,August,2022,Q3
Best,55 and above,M," Chandauli, Uttar Pradesh ",Retired,August,2021,Q3
Just delivered today..Look wise very good. But have to go to gym for removing strap ;-),55 and above,M," Sirsi, Karnataka",Retired,September,2021,Q3
Wonderfull experince,35-44,M," Patna, Bihar ",Working Professional,November,2022,Q4
"Awesome product for students and others...
Value for money battery backup is accurate as given
Delivery before the given time....",55 and above,M," Rae Bareli, Uttar Pradesh",Retired,December,2021,Q4
Very nice product 👌👍,Under 18,F," Chennai, Tamil Nadu",Student,September,2021,Q3
"Charging mechanism is way difficult to open, and risky as well.
Band holes are too small making wearing the straps difficult.
Good for youth.
Not good for women in particular.
Excepting these few troubles, really a good device.",25-34,M," Kolkata, West Bengal",Working Professional,April,2022,Q2
Good quality but can be improved in speaker,55 and above,M," Bilgram, Uttar Pradesh",Retired,November,2021,Q4
Good product,35-44,F," Vijayawada, Andhra Pradesh",Homemaker,May,2023,Q2
"Awesome ...
Value of money...
but battery backup is average..",45-54,M," Hoshangabad, Madhya Pradesh ",Working Professional,February,2021,Q1
NYC but if it had more exercise tracking options then it would even better! and also custom wallpapers,45-54,F," Bengaluru, Karnataka",Homemaker,January,2021,Q1
Value for money 👍love it,45-54,F," Madurai, Tamil Nadu",Homemaker,January,2024,Q1
Value for money good products,35-44,F," Sadalgi, Karnataka",Homemaker,May,2022,Q2
Good battery backup. Mind blowing. I charged after 32 days,35-44,M," Bankura, West Bengal",Freelancer,January,2024,Q1
Such a wonderful watch!,18-24,F," Prayagraj, Uttar Pradesh",Working Professional,October,2021,Q4
Nc,18-24,M," Kendrapara, Odisha ",Working Professional,July,2020,Q3
It is a nice working design with a good looking outlook. And it has a superb battery backup as compare to other smart watches I had see.,45-54,F," Srinagar, Jammu and Kashmir",Homemaker,March,2024,Q1
"I use to measure heart beats, distance I walked.",35-44,F,"Mumbai, Maharashtra ",Working Professional,February,2020,Q1
"good experience , helps to keep somewhat track about my health",18-24,F,"Mumbai, Maharashtra",Student,March,2024,Q1
