Reviews for Fireboltt,Age,Gender,Location,        Occupation,Month,Year,Quarter
"Nice Product... Looks Impressive.... 👌
It doesn't have amoled skin, though it looks nothing less than amoled 👌👍
Best for skinny people... 👌",25-34,M," Hailakandi District, Assam",Freelancer,January,2020,Q1
Good display. Long lasting battery,18-24,F," Kozhikode, Kerala",Working Professional,December,2020,Q4
Value for money,35-44,F," Bengaluru, Karnataka",Homemaker,December,2020,Q4
Wonderful watch with low cost and wonderful features lovely like it alot,25-34,F," Mumbai, Maharashtra",Homemaker,June,2021,Q2
Nice watch 😍😍,45-54,F," Kolkata, West Bengal",Homemaker,April,2020,Q2
It's just Wow😲,25-34,F," Bengaluru, Karnataka",Homemaker,August,2022,Q3
"This product is very attractive😍 and amazing
I am happy☺",Under 18,M," Bulandshahr, Uttar Pradesh ",Student,October,2024,Q4
"I really like this product 💯. You must buy this watch.
don't hesitate before buying this one really awesome .it looks amazing 😍🤩🤩🤩🤩🤩",25-34,M," Saran District, Bihar",Working Professional,May,2022,Q2
Indeed a 🔥 Fire 🔥 smartwatch with stunning look at this price range. 1st impression was exllent. on time delivery to Filpkart....,45-54,M," Thiruvarur, Tamil Nadu",Freelancer,October,2024,Q4
Good product,45-54,M," Bhagalpur, Bihar",Working Professional,February,2024,Q1
Nice display smooth and better 😊,45-54,M," Barasat, West Bengal",Working Professional,February,2024,Q1
"Best in the market❤️
Just go for it",45-54,M," Hosapete, Karnataka",Freelancer,October,2023,Q4
"Very good quality, worth it❤",35-44,F," Budge Budge, West Bengal",Homemaker,October,2024,Q4
Amazing 🤩 watch ⌚ really I love it.,55 and above,F," West Delhi, Delhi",Homemaker,January,2023,Q1
Worth of Penny because you must find that you have got what you have paid.,18-24,F," Basantapur, Uttar Pradesh",Working Professional,May,2023,Q2
Design and colour is good and features is also good.... Go for it..,35-44,M," Burla, Odisha",Working Professional,September,2024,Q3
"A nice product with many features but please increase the watch faces, they are very limited and old.",Under 18,M," Greater Noida, Uttar Pradesh",Student,April,2022,Q2
"Very nice product....
I attracted with its beauty ...look wise its look premium
I liked it a lot",45-54,M," Surat, Gujarat",Working Professional,August,2024,Q3
"Mind -blowing purchase
Very nice smart watch round dial make it more beautiful.
Display is good
Health data is almost accurate
I attracted with this beauty look wise it's look premium l liked it a lot",35-44,F," Bengaluru, Karnataka",Homemaker,November,2022,Q4
Good watch,18-24,F," Mumbai, Maharashtra",Working Professional,March,2022,Q1
"Overall Display and design is really Awesome. Looks like premium in hand.
Although Activity tracker Accuracy is not good, it track heart rate of bottle, table for which I give it 3.5/5.
Steps count approximately equal.
Battery is draining fastly when paired to smartphone. In standby mode, 12-13 days and when paired to smartphone there will be 4 - 5 days which i totally not like, battery should be atleast 20-25 days of backup in standby mode.
One function i missed very much that it doesn't h...
READ MORE",18-24,M," Faridabad, Haryana",Working Professional,January,2020,Q1
Good watch,55 and above,M," Agra, Uttar Pradesh",Retired,February,2022,Q1
Perfect,Under 18,F," Ujjain, Madhya Pradesh",Student,July,2023,Q3
Very good 👍😁,55 and above,F," Prayagraj, Uttar Pradesh",Homemaker,December,2022,Q4
Wonderful watch and wonderful features lovely like it alot.. thanks you Flipkart,Under 18,F," Bhiwandi, Maharashtra",Student,August,2022,Q3
This is nice watch looking so cool,25-34,F," Bhuj, Gujarat",Homemaker,October,2023,Q4
Display quality awesome,35-44,F," Barauni Ioc Township, Bihar",Freelancer,September,2022,Q3
Superb,18-24,F," Deoria, Uttar Pradesh",Working Professional,May,2022,Q2
Very nice 👍👌👍👌,25-34,M," Ludhiana, Punjab",Working Professional,December,2022,Q4
Value for money dear I got it only 1621only very nice the design was osm but I don't like feature and application only I like the design and it's looking ness on wrist.. 😍😊🤞 I like it,35-44,M," Akkalkot, Maharashtra",Freelancer,August,2021,Q3
Nice product,18-24,F," Hajira, Gujarat",Working Professional,June,2024,Q2
Nice 👍 product thanks to you 😊☺️😊 filpkart,Under 18,F," Bengaluru, Karnataka",Student,January,2022,Q1
Good,18-24,M," Kendrapara, Odisha ",Freelancer,October,2020,Q4
Must buy,55 and above,F," Siliguri, West Bengal",Homemaker,November,2021,Q4
"It's fantastic at this price range.
Build quality looks premium.
Watch faces are pretty good.
Heart rate and other tracking activity features are decent at this price.
Overall good experience.
Meet my expectations.",Under 18,M," Maunath Bhanjan, Uttar Pradesh",Student,February,2024,Q1
This watch is very nice and wonderful 😻,18-24,M," Azamgarh, Uttar Pradesh",Freelancer,July,2021,Q3
"Value for Money

Design is fabulous.

Ul is decent.

All features like Heart rate , Spo2 are good and give almost exact readings. 6. Display is also very good.

Build quality is great.

Watch faces in app are not very good, plenty of them look same. But you can make custom faces and use photos from phone.",35-44,M," Chennai, Tamil Nadu",Freelancer,July,2021,Q3
I Love this so much comfortable and premium looks,35-44,M,"  Pune, Maharashtra",Freelancer,October,2024,Q4
"I purchased this watch on May 4th, 2022. Today is May 13th. So, let me now share my experience with this smartwatch...

1. The round dial at this price is phenomenal. I'm always a fan of round dial watches.
2. The metal build feels premium.
3. Outdoor visibility of the screen is very good.
4. Activity tracking is quite accurate.
5. Battery backup is also very good. It lasts about 8-9 days on a single charge, as per my usage.

As of now, I couldn't find any cons of this smartwatch.

Conclusio...
READ MORE",45-54,M," Berhampore, West Bengal",Working Professional,May,2021,Q2
Design is very good and also the UI is clean and easy to use,45-54,M," Salem, Tamil Nadu ",Freelancer,April,2023,Q2
"Value for money watch. Good design and look.
Looks like a expensive watch.",25-34,M," North Twenty Four Parganas, West Bengal",Working Professional,April,2022,Q2
I loved the quality of this watch. Works pretty well. Sports modes are great. I just wish it had brightness adjustment mode on the watch top menu itself.,45-54,F," Gurugram, Haryana",Homemaker,January,2021,Q1
It's look stylish 😍,35-44,M," Kaimur Bhabua, Bihar ",Working Professional,March,2022,Q1
"Good and awesome, value to money, some more features should be there.",45-54,M,"  Pune, Maharashtra",Working Professional,January,2021,Q1
"Literally from my heart, the cost I paid is worth it. The photos I posted is not edited, this is how it looks. It's built quality is awesome. I love the game that I can play in it (game similar to flappy bird) ❤",Under 18,M," Durgapur, West Bengal",Student,April,2024,Q2
Product is good Easy to Use .Look attractive .Nice 👍👍,45-54,M," Zirakpur, Punjab",Freelancer,April,2020,Q2
Very good product,18-24,M," Eravattur, Kerala",Working Professional,May,2021,Q2
"Design of the watch too good, off the Gesture from setting then u will get 🔋 backup more than 10 days. I like this watch and gifted to my Wife. She was really happy after seeing this watch",55 and above,M," Surat, Gujarat",Retired,April,2024,Q2
"I've never seen a watch at this price range , really it's look like a premium watch and I've using this for last 1 week , here I'm giving my honest feedback .
Display 5/5
Battery 4/5
Tracking 4/5
Value for money 5/5
Sensor accuracy 4/5
Bluetooth connectivity 4/5
I think this will be the honest review of mine . Pls buy it.",45-54,M," Mahindra World City, Tamil Nadu",Freelancer,October,2024,Q4
Awesome product I like it very much,Under 18,F," Ahraura, Uttar Pradesh",Student,March,2024,Q1
Superb 👌,35-44,F," Bengaluru, Karnataka",Homemaker,April,2024,Q2
My favourite watch,18-24,M," Jiaganj Azimganj, West Bengal",Retired,March,2020,Q1
Excellent watch.,Under 18,M," Sirauli, Uttar Pradesh",Student,May,2020,Q2
"Just love this watch
I couldn't ask for more this is perfect
Display is buttery smooth and all the features are great and great value for money",35-44,F," Prayagraj, Uttar Pradesh",Homemaker,December,2022,Q4
"Looks are very good , display also nice with good brightness,accuracy is decent for steps and spo2 but for heart rate it is very accurateand you cand replace the strap with any 20mm or 22mm strap",Under 18,M," Jaipur, Rajasthan",Student,January,2024,Q1
Awesome 👍 product.... Value of money 💰...,35-44,M," Azamgarh, Uttar Pradesh",Freelancer,July,2024,Q3
"I Got the watch yesterday. In this price range it really Looks Premium watch. . It's light weight, sharp Display, easy change belt option. Good watch faces . From today I will start using it .and send more reviews after one week. Thanks FK and Fire Boltt",55 and above,M," Ahmedabad, Gujarat",Retired,December,2020,Q4
I loved the quality of this watch . Works pretty well . Sports modes are great . I just wish it had brightness adjustment mode on the watch top menu itself .,Under 18,F," Bankra, West Bengal",Student,June,2023,Q2
I gifted this to my boyfriend and he is so happy after seeing this watch. It's design are really awesome 👍. And everyone should try this watch if you're a smart watch lover.,45-54,F," Kolkata, West Bengal",Working Professional,April,2021,Q2
Very very super good product from flipkart Very good flipkart really 🙂 nice and i loveit plzz buy all friends,45-54,M," Ballari, Karnataka",Working Professional,June,2021,Q2
Good watch for the price . Like the interface and like the user friendly app,35-44,M," Mumbai, Maharashtra",Freelancer,September,2023,Q3
"In this price range , the watch is osm..👌
And quality is super , also look expensive watch..
Display 1.3 , neede at least 1.5
Overall is value for money...i suggest go for it...👍",Under 18,M," Athagad, Odisha",Student,August,2022,Q3
Nice watch and good features,18-24,M," Chhatarpur, Madhya Pradesh",Freelancer,December,2024,Q4
Super,25-34,M," Sriperumbudur, Tamil Nadu",Freelancer,November,2021,Q4
"One of the greatest product in this range
Amazing smart watch with this feature
In this range",18-24,M," Howrah, West Bengal",Working Professional,September,2023,Q3
All good I'm happy ☺️,25-34,M," Kolkata, West Bengal",Working Professional,January,2021,Q1
Very cool smartwatch in this budget I'm happy to purchase fire Boltt through Flipkart but I received the product very late I can't wear it on my auspicious day Eid...I hope this review will help you to Improve the quality features and delivery related etc..,Under 18,M," Kolkata, West Bengal",Student,October,2022,Q4
"If you want a premium looking budget smartwatch,then it's made for you.Don't get fooled by various smart features of various budget smartwatches.Beleave me there're no budget smartwatch who are accurate by smart features.So forget those useless features and make sure value for money product,who has good look,good build quality and good battery backup.And This smartwatch is a value for money product under 3000.",35-44,M," Kalyani, West Bengal",Working Professional,July,2020,Q3
"Very nice product,if you find something different watch and your budget is low so you buy this product
Good manufactured by firebolt.",55 and above,M," Baidyabati, West Bengal",Retired,May,2020,Q2
"As a proud user of the Fire Bolt Hurricane smart watch, I can confidently say that it has exceeded my expectations in every way possible. From its sleek design to its advanced features, this smart watch has truly revolutionized the way I live my life.

One of the standout features of the Fire Bolt Hurricane is its impressive battery life. I can go days without needing to charge it, which is a huge relief for someone who is always on the go. Additionally, the watch is incredibly easy to use an...
READ MORE",35-44,M," Kolkata, West Bengal",Working Professional,April,2024,Q2
Nice Smart Watch Value For Money,55 and above,M," Pimpri Chinchwad, Maharashtra",Retired,December,2024,Q4
Happy,55 and above,M," Chennai, Tamil Nadu",Retired,November,2020,Q4
Good,55 and above,F," Samastipur, Bihar",Homemaker,September,2022,Q3
Superb,55 and above,F," Ramgarh, Rajasthan",Homemaker,September,2021,Q3
Just go for it✨,18-24,M," Kozhikode, Kerala",Freelancer,January,2023,Q1
Excellent product within a price range,Under 18,F," Gangawati, Karnataka",Student,May,2023,Q2
"On 2 days of usage product feel good. Design is excellent.Bit bigger for small hands. Quality of product Is good.Big Doubt on step count, BPM, SPO2 values. Value for money",55 and above,M," Bengaluru, Karnataka",Retired,August,2023,Q3
Nice product,55 and above,F," Mathura, Uttar Pradesh",Homemaker,April,2023,Q2
Good,18-24,M," Barabanki, Uttar Pradesh",Freelancer,December,2021,Q4
"It's good product and all features are working
But wallpaper is not change automatic",25-34,F," Kanpur Nagar, Uttar Pradesh ",Homemaker,November,2022,Q4
Best watch i seen,25-34,F," Chengamanad, Kerala",Homemaker,January,2023,Q1
"The product seem to be very premium. It's look and design is very nice.It is light weight and band quality is really good.Its touch is really nice and features are easy to understand.But the thing is that the accuracy of the spo2 and bpm is bad. I don't know why but if you place it on bed sheet or paper it takes reading 🙄.
But after all this i am quite satisfied with this product.",25-34,F," Nadiad, Gujarat",Homemaker,August,2021,Q3
Osm smartwatch,45-54,M," Hosur, Tamil Nadu",Freelancer,November,2022,Q4
Good product,35-44,M," Jagdalpur, Chhattisgarh",Working Professional,January,2020,Q1
Very good,35-44,F," Bengaluru, Karnataka",Homemaker,February,2022,Q1
Paisa Vasool product,Under 18,M," Gurgaon, Haryana",Student,February,2023,Q1
Loved it😍😍,18-24,F," Nanded Waghala, Maharashtra",Working Professional,December,2023,Q4
Best watch ever,Under 18,F," Kurukshetra, Haryana",Student,August,2024,Q3
Looks premium,25-34,F," Tirupati,Andhra Pradesh",Homemaker,July,2024,Q3
Very good product..,55 and above,M," South East Delhi, Delhi",Retired,November,2021,Q4
The watch is value for money watch is awesome,25-34,F," Patiala, Punjab",Homemaker,June,2021,Q2
Nice,55 and above,M," Gurgaon, Haryana",Retired,September,2020,Q3
This a best valuable prodact.. Such a nice smart watch with smart look.. 👍🏻👍🏻,25-34,M," Beliatore, West Bengal",Working Professional,January,2020,Q1
"Amazing watch, value for money... Highly recommend 😍",25-34,F," Mumbai, Maharashtra",Homemaker,February,2024,Q1
Value for money best h,18-24,F," Kanpur, Uttar Pradesh",Working Professional,August,2020,Q3
Really nice can use calling options and darling options speaker also,55 and above,M," Hyderabad, Telangana",Retired,December,2024,Q4
Good quality,45-54,M," Patna, Bihar",Freelancer,December,2021,Q4
It's so useful 😍go for it guyes🎉 amazing watch ❣️there are lots off features also speaker it too good also 1 year warrenty card available ❣️😘,55 and above,M," Katihar, Bihar",Retired,October,2020,Q4
Good 👍,45-54,M," Anand, Gujarat",Working Professional,January,2023,Q1
Wow Nice,Under 18,F," Siliguri, West Bengal",Student,January,2020,Q1
Nice looking watch. I love it.,25-34,M," Jatani, Odisha",Working Professional,November,2022,Q4
Nice watch,18-24,M," Agra, Uttar Pradesh",Working Professional,August,2020,Q3
Best product,55 and above,M," Achalpur, Maharashtra",Retired,June,2020,Q2
This watch is so preety I love it❤️👌👌,Under 18,F," Darbhanga, Bihar",Student,April,2023,Q2
It's a very good for me very useful,45-54,F," Ludhiana, Punjab ",Homemaker,July,2020,Q3
Nice watch Value for money.,55 and above,M," Dehri, Bihar",Retired,October,2021,Q4
Its really amazing. Easy to use. Beautiful on the wrist. Safely delivered by ekart. Box was opened in front of us. Lot of features. Speaker is too good.,18-24,M," Bengaluru, Karnataka",Freelancer,September,2024,Q3
Not bad value for money.....,55 and above,M," Hyderabad, Telangana",Retired,March,2020,Q1
Too good I am very proud to buying this product thanks fire bollt ❤️,Under 18,M," Vasco Da Gama, Goa",Student,February,2021,Q1
Awesome features and battery life amazing,55 and above,F," Hajipur, Bihar",Homemaker,May,2020,Q2
"It is the best product at a good price for boys and for girls too, and the features are also good 👍",55 and above,M," Gandhinagar, Gujarat",Retired,November,2023,Q4
"1. Battery and design is good ✅
2. Body/case is light weight✅
3. Connectivity is good✅
4. Display isn't square, it's rectangle❎
5. Cloud faces gets deleted when downloading new ones on Da fit app, maximum 8 faces only❎
6. Tracking and activitiy is good✅
7. For music it's not clear, but for calls it's pretty good✅
8. Touch sensitivity isn't good❎
9. Crown is not for rotating/scrolling options, it's just a press button with crown design❎
10. Single mic and speaker
OVERALL GOOD 👍🏻",18-24,M," Manugur, Telangana",Working Professional,June,2022,Q2
"Awesom quality
Rubber is expensive all over design great
Battry run 8 days without calling
Fast charging 😍(.) (.) =( . ) ( . ) 😅
🤪",55 and above,M," Asansol, West Bengal",Retired,December,2020,Q4
Amazing budget smartwatch for calling and sport/activities,18-24,M," Muzaffarpur, Bihar",Freelancer,June,2024,Q2
"Very nice watch Fire Bolt is better than what I thought
I liked it very much, you also use it",45-54,M," Mainpuri, Uttar Pradesh ",Freelancer,July,2020,Q3
All over this products I love it's.it's very nice wach. Thnks flipcart.,18-24,M," Kanpur, Uttar Pradesh",Working Professional,December,2020,Q4
Cristal clear display.calling is very good and sound also very good.value for money.best in this price range.Go for it without hesitation.display is also big and clear.overall good performance.battry back up also good,25-34,M," Nagapattinam, Tamil Nadu",Freelancer,July,2022,Q3
Great experience but little bit lagging.,25-34,M," Irongmara, Assam",Working Professional,May,2022,Q2
Nice product and music sound is awesome.,55 and above,F," Bhadravati, Maharashtra",Homemaker,September,2024,Q3
"Good product, got today, I m very excited to use",45-54,F," Howrah, West Bengal",Homemaker,August,2021,Q3
look and design perfectly osm 😍,18-24,F," Kapadvanj, Gujarat",Freelancer,March,2023,Q1
Nice product 😊,45-54,M," Bengaluru, Karnataka",Working Professional,October,2022,Q4
Great stuff has good features works well best,35-44,M," Raniganj, West Bengal",Freelancer,October,2023,Q4
Nice Product Quality,Under 18,M," Kannad, Maharashtra",Student,April,2022,Q2
When I connect smart and mobile via Bluetooth than battery backup is 2days but without connect battary backup is 14-15 days over all is good product in this amount and desgin and screen tuch is very good quality.,55 and above,M," Bhopal, Madhya Pradesh",Retired,November,2022,Q4
It's amazing but the battery is going very fast.,25-34,F," Gandhinagar, Gujarat",Homemaker,March,2022,Q1
"Nice 👍 smart watch at this price range.
Best feature:-
- Big screen 2.01
- 120+ sport modes
-15 day stand by battery
- best Audio Quality

Thanks for flipkart for delivery within 15 hr",55 and above,M," Nashik, Maharashtra",Retired,June,2020,Q2
"Pretty good great design, build quality, features and display. Bluetooth calling works pretty well, better than expected to be precise. Activity: sensors can be improved. Battery backup is also good so far. it is very good for its s price.",55 and above,M," Alipurduar, West Bengal",Retired,October,2024,Q4
"I really happy with this product, just too good .worth it 😀",35-44,F," Chakdaha, West Bengal",Homemaker,May,2023,Q2
Phenomenal in this price range. Outstanding features big display and marathon battery. Strip could have been better but in this price range this Will be a better choice,55 and above,M," Purnia, Bihar",Retired,December,2024,Q4
"Wow, its worth for price the features also good please go for it... If anybody looking for smart watch i will suggest them to buy this.... Seriously its hosam😘 I love it....❤",18-24,F," Bengaluru, Karnataka",Freelancer,October,2022,Q4
very nice product 👍👍,35-44,M," Ramgarh, Rajasthan ",Working Professional,August,2023,Q3
Good product,35-44,M," West Godavari, Andhra Pradesh ",Working Professional,March,2022,Q1
"Very good product
Worth for money
Value for money",18-24,M," Bengaluru, Karnataka",Freelancer,May,2021,Q2
"I like this product so much😄,but as mentioned calculator is not there in its features and only two games are present(young bird and 2048)
The microphone and speaker quality is nice",Under 18,F," Rajahmundry, Andhra Pradesh",Student,November,2020,Q4
"Sooper amoled display and
Quality is very good 👍👍👍👍👍😊😊😊😊",Under 18,M," Dabra, Madhya Pradesh",Student,November,2022,Q4
I am very proud of this watch,25-34,M," Bengaluru, Karnataka",Working Professional,August,2024,Q3
"Very nice watch in this price range. Display is good. Battery backup is average, calling is very good 100 out of 95. Bluetooth connection was as also good , but there was a little bit problem in battery backup I give 100 out of 65. Otherwise awesome smartwatch.",25-34,M," Siwan, Bihar",Freelancer,August,2021,Q3
It was a very good experience having firevolved in job calling watch calling experience is decent and all is fine this place awesome,25-34,F," Vijayawada, Andhra Pradesh",Homemaker,February,2020,Q1
The product is nice. I like the speaker feature. But the battery 🔋 goes down fast. Its very useful for us,Under 18,F," Varanasi, Uttar Pradesh",Student,November,2023,Q4
Superb,45-54,F," Mandya, Karnataka",Homemaker,June,2022,Q2
It's good 👍 nice smartwatch valuable for that cost features are good strap is also good,18-24,F," Visakhapatnam, Andhra Pradesh",Working Professional,April,2021,Q2
Really Amazing👍 product.... Under 2000 Best one.... Battery nd Calling Function also Good nd clear voice.... I love❤ This Smart watch,35-44,M," Bhubaneswar, Odisha",Working Professional,December,2022,Q4
👌looks wise awsm nycccccc,18-24,F," Mumbai, Maharashtra",Working Professional,April,2021,Q2
"Best In Price Segment
:-Display is also big
:-Calculator is not laggy and is smooth
:-Speaker is also best
:-mic quality is also best
:-There are 4 games in all from them the Battleship game is not that best but other games are nice
:-I play those games during off period in class",35-44,M," Pauni, Maharashtra",Working Professional,December,2021,Q4
Nice,55 and above,F," Panch Mahals District, Gujarat",Homemaker,March,2021,Q1
Very good proudct,18-24,M," Varanasi, Uttar Pradesh",Working Professional,February,2020,Q1
Nice,45-54,M," Kolkata, West Bengal",Freelancer,August,2023,Q3
Good,18-24,F," Raniganj, West Bengal",Working Professional,February,2022,Q1
Really amazing 😍 product value of money,18-24,F," Kolkata, West Bengal",Working Professional,May,2022,Q2
"Just awesome 👌🏻 👍🏻 😍 product....i like it..🤩🤩🤩
Fully value of money...thanks fire boltt...and thanks flipkart......🙏🏻🙏🏻",18-24,F," Durgapur, West Bengal",Working Professional,September,2020,Q3
It's very Good......,Under 18,M," Kodarma, Jharkhand ",Student,August,2024,Q3
Very nice products,35-44,M," Thane, Maharashtra",Homemaker,May,2023,Q2
Product Quality is Excellent. 120+ watch faces are impressive. I charge 20days once in battery saving mode. Usually it works 30days once charge. I love this product.,25-34,F," Prakasam, Andhra Pradesh ",Homemaker,June,2024,Q2
nice product,25-34,M," Kolkata, West Bengal",Working Professional,December,2020,Q4
Very good product you should buy it,55 and above,M," Mahendragarh, Haryana",Retired,April,2023,Q2
Good product,45-54,M," Kheri, Uttar Pradesh ",Freelancer,January,2022,Q1
Amazing deal in Flipkart fire bolt ninja calling pro is superb,Under 18,M," Hyderabad, Telangana",Student,September,2020,Q3
Good,35-44,F," Amravati, Maharashtra ",Homemaker,September,2020,Q3
"I brought this device as a gift to my mother, she likes it, the watch has a number of satisfactory applications which are useful in daily life.",55 and above,M," Bengaluru, Karnataka",Retired,March,2022,Q1
Ach hai guys like please,18-24,F," Shamgarh, Madhya Pradesh",Working Professional,September,2020,Q3
"Worth for Money ..
Display is awesome, activity tracking is bit accurate ..overall a 4 star product.",18-24,F," Mysuru, Karnataka",Working Professional,May,2024,Q2
The product is very nice,35-44,F," Hosanagara, Karnataka",Homemaker,August,2024,Q3
Nice watch,35-44,M," Saharanpur, Uttar Pradesh",Freelancer,October,2022,Q4
Good price 😁,18-24,F," Beldanga, West Bengal",Working Professional,February,2020,Q1
"First month Salary gift from my Wife❤😍💕, Very Precious and I loved Overall Product Features.Display, Features, Calling and answering from watch all are Awesome, Must go for it, Don't miss this product❤💕✨",25-34,M," Chennai, Tamil Nadu",Freelancer,June,2023,Q2
NYC product,55 and above,M," Bhubaneswar, Odisha",Retired,February,2021,Q1
Good and lite weight,45-54,M," Mamsapuram, Tamil Nadu",Working Professional,December,2024,Q4
Nice product,Under 18,M," New Delhi, Delhi",Student,October,2020,Q4
Nice,35-44,M," Bhubaneswar, Odisha",Working Professional,December,2023,Q4
Worth value for money😍,18-24,M," Behea, Bihar",Freelancer,September,2023,Q3
Vry good,25-34,F," Kurnool, Andhra Pradesh",Homemaker,May,2023,Q2
Nice. but little audio issue,45-54,M," Mallasamudram, Tamil Nadu",Working Professional,September,2021,Q3
Good product and cost is normal,25-34,F," New Delhi, Delhi",Homemaker,November,2024,Q4
"Awesome Product. Just loved it. I didn't expect it to come so good. The best thing of the watch is the battery backup. The battery backup is going for more than 10 days, obviously it depends on the usage also.
Overall I would recommend this product, it's best in this price range. One down point is it doesn't have the feature to silence the incoming call.",Under 18,M," Bhubaneswar, Odisha",Student,November,2020,Q4
According to the price the product is too good. And the activity system is nicely working.,25-34,F," Hingoli, Maharashtra",Homemaker,November,2023,Q4
Awesome product. Its having all the necessary features. must buy.,55 and above,M,"  Pune, Maharashtra",Retired,November,2021,Q4
What a product this is the best smartwatch forever,45-54,F," Jagatsinghpur, Odisha",Homemaker,September,2023,Q3
"No 1 smart watch
No 1 quality smart watch
Best features in this watch",45-54,M," Rajkot, Gujarat",Freelancer,November,2022,Q4
This is Indian best smart watch.purchase this product and enjoy your life,Under 18,F," Bhavani, Tamil Nadu",Student,December,2020,Q4
Nice watch,35-44,M," Erode, Tamil Nadu ",Freelancer,October,2023,Q4
Nice value for 💰👍👍,45-54,F," Saharsa, Bihar",Homemaker,June,2020,Q2
"It is a very nice product
Value for money. Having all features in 1 watch at very low cost...l loved 😍 this watch....",45-54,F," Amalapuram, Andhra Pradesh",Homemaker,January,2024,Q1
Nice product,18-24,F," Chhutmalpur, Uttar Pradesh",Working Professional,June,2023,Q2
Best features in low price @rs.1799,Under 18,M," Jajapur, Odisha ",Student,July,2022,Q3
Nice working on good,35-44,M," Hyderabad, Telangana",Working Professional,June,2023,Q2
"Positive -
Good product.. Value for money.. plenty Sports tracker as specified.. Good looking.. Music Sound quality is Lovely, Voice assistant ultimate.
Negative -
NO inbuilt Calculator ad specified and Battery drained quick
Finally Very Good product for the Price",18-24,M," Bengaluru, Karnataka",Freelancer,July,2021,Q3
👌 Nice product,55 and above,M," Jodhpur, Rajasthan",Retired,December,2024,Q4
Good Smart watch in budget 👍,45-54,M," Hyderabad, Telangana",Freelancer,May,2020,Q2
Very good product but it's raise to awake doesn't work sometimes,35-44,F," Liluah, West Bengal",Homemaker,January,2021,Q1
"Nice watch, features are fun. I use it in airplane mode with wifi to maximize battery life 😊

I originally got it for backup Google maps device while riding my bike incase my phone is out of charge. GPS is accurate and will be useful in emergency situations. Has a camera which can be used to make UPI payments if you insert Sim and activate Gpay/Phonepe etc

Update : these guys have promo material in the box that claim to provide you movie vouchers for bookmyshow, it's a SCAM. Don't submit it...
READ MORE",25-34,M," Udupi, Karnataka",Working Professional,February,2024,Q1
Super Quality item. Very Nice Product. So I'm Happy,18-24,M," Angamaly, Kerala",Working Professional,March,2020,Q1
"Nice watch
Battery backup superb
Camera clarity
Charging fast",18-24,M," Lavachha, Gujarat",Freelancer,July,2021,Q3
"Product is nice, but battery backup is average, if you using it in a daily routine it works for two days. Fire bolt pro app is not working properly in this watch. Which app is perfect for this ?",Under 18,M," Ahmedabad, Gujarat",Student,June,2023,Q2
Very good build quality of the product. Smooth in operation and function. Must recommend for others also.,Under 18,F," Kolkata, West Bengal",Student,January,2021,Q1
Battery backup is very poor also calling conectivity issue,18-24,M," Korba, Chhattisgarh",Freelancer,October,2021,Q4
"The watch(4/64 GB) looks and feels really good and premium. The display quality is superb. Functioning is smooth and there is absolutely no lag while using apps. However, there are a couple of hurdles for this watch for being revolutionary. First the battery. I tried using Android apps on it but the battery drains faster (4-5 hrs) in continuous use. There are 2-3 battery optimisation settings which extend the battery for around 1 day but with limited apps usage. If you use this as a watch the...
READ MORE",18-24,M," Jalgaon, Maharashtra",Working Professional,April,2022,Q2
"Very good watch
Good to use nice quality",35-44,F," Kalyan, Maharashtra",Homemaker,October,2022,Q4
Nice watch I'm happy ☺️ ty fire bolt ⚡,18-24,F," Mumbai, Maharashtra",Working Professional,February,2023,Q1
Nice Smartwatch with amazing features,35-44,M," Bengaluru, Karnataka",Working Professional,December,2020,Q4
Ok product,18-24,M," New Delhi, Delhi",Freelancer,January,2023,Q1
"Coolest smart watch ever with 2.13 inches of huge display,loaded with best tech features and that to with 4g sim and Android support.
One of my best deals till date.",35-44,M," Hyderabad, Telangana",Working Professional,March,2024,Q1
The product is good but the battery is so bad.,35-44,F," Baripada, Odisha",Homemaker,March,2022,Q1
Good,18-24,M," Bengaluru, Karnataka ",Working Professional,October,2022,Q4
Nice watch 😊😊😊😊😊😊😊😊😊😊😊😊😊,Under 18,M," Valsad, Gujarat",Student,July,2021,Q3
Nice Watch. Camera is also fair. Strap quality is also nice,18-24,M," Jind, Haryana",Working Professional,July,2020,Q3
"Good product quality nice, effective better. I am happy to purchase it",18-24,M," Delhi Division, Delhi",Freelancer,May,2022,Q2
Battery drain problem,18-24,F," Gandhinagar, Gujarat",Working Professional,September,2022,Q3
It's good in features...but that battery is worst...just one day I used....till 60 it was okay..but from 60 it suddenly dropped to 15 and then it switched off...worst experience,Under 18,F," Satrampadu, Andhra Pradesh",Student,March,2021,Q1
"Worst experience with Fire boltt. After 2 days display stopped working. There is no direct contact to Fireboltt, we have to mail them then again have to wait for some days to reply from them. Worst customercare please think 100 times before buying their product.",55 and above,M," Bobbili, Andhra Pradesh",R,December,2023,Q4
Budget friendly with lot of features,25-34,M," Vellore, Tamil Nadu",Freelancer,April,2021,Q2
"Everything is good the touch , quality, camera, speaker, features but....
The battery life is so so so... Poor
It was 70 and suddenly it got to 0 please upgrade the battery life",25-34,M," Prayagraj, Uttar Pradesh",Freelancer,May,2023,Q2
good watch 💯💯💯💯💯💯💯💯💯,Under 18,F," Kalanwali, Haryana",Student,January,2024,Q1
very good,25-34,F," Paschim Medinipur, West Bengal ",Homemaker,August,2020,Q3
